#  Table rgs12o12_b60_c_0160362601.lc[1]  Wed 15:46:50 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     4.47      0.30 
     60     4.01      0.27 
    120     4.04      0.28 
    180     4.04      0.28 
    240     3.76      0.27 
    300     4.37      0.29 
    360     4.22      0.28 
    420     4.25      0.28 
    480     4.42      0.29 
    540     3.67      0.27 
    600     4.07      0.28 
    659     4.22      0.28 
    719     3.47      0.27 
    780     3.92      0.27 
    840     3.73      0.27 
    900     3.23      0.25 
    959     3.28      0.25 
   1020     3.35      0.25 
   1080     3.43      0.25 
   1140     3.61      0.26 
   1200     3.33      0.26 
   1260     3.36      0.25 
   1320     3.13      0.25 
   1380     3.32      0.26 
   1440     3.68      0.27 
   1500     3.25      0.25 
   1560     3.31      0.25 
   1620     3.46      0.27 
   1680     3.47      0.26 
   1740     3.29      0.25 
   1800     3.23      0.25 
   1860     3.33      0.25 
   1920     3.19      0.25 
   1980     3.48      0.26 
   2040     4.03      0.27 
   2100     3.77      0.26 
   2160     3.45      0.26 
   2220     3.34      0.26 
   2280     3.67      0.26 
   2340     3.66      0.26 
   2400     3.76      0.26 
   2460     3.11      0.25 
   2520     3.16      0.24 
   2580     3.16      0.25 
   2640     3.06      0.26 
   2700     2.92      0.24 
   2760     3.31      0.25 
   2820     3.54      0.26 
   2880     3.17      0.25 
   2940     3.03      0.23 
   3000     3.06      0.24 
   3060     3.25      0.24 
   3120     2.87      0.23 
   3180     3.13      0.24 
   3240     3.19      0.24 
   3300     3.36      0.25 
   3360     2.65      0.24 
   3420     2.92      0.24 
   3480     3.30      0.25 
   3540     3.16      0.25 
   3600     2.49      0.24 
   3660     3.58      0.26 
   3720     2.87      0.23 
   3780     3.11      0.24 
   3840     3.28      0.25 
   3900     3.08      0.24 
   3960     3.09      0.24 
   4020     3.20      0.24 
   4080     3.19      0.24 
   4140     2.76      0.22 
   4200     3.11      0.24 
   4260     2.79      0.22 
   4320     2.82      0.23 
   4380     2.81      0.23 
   4440     3.16      0.25 
   4500     3.00      0.24 
   4560     2.91      0.24 
   4620     3.21      0.25 
   4680     2.86      0.25 
   4740     3.08      0.25 
   4800     2.69      0.24 
   4860     2.92      0.23 
   4920     2.94      0.24 
   4979     2.51      0.23 
   5040     3.04      0.25 
   5100     3.15      0.24 
   5160     3.54      0.27 
   5220     3.15      0.27 
   5279     2.95      0.25 
   5340     2.79      0.25 
   5400     3.07      0.25 
   5460     3.19      0.26 
   5520     2.80      0.25 
   5580     3.07      0.24 
   5639     2.55      0.22 
   5700     3.42      0.26 
   5759     2.86      0.24 
   5820     3.16      0.25 
   5879     2.87      0.23 
   5939     2.94      0.23 
   6000     2.79      0.23 
   6060     3.29      0.24 
   6119     2.98      0.23 
   6179     2.76      0.22 
   6239     2.95      0.23 
   6300     3.00      0.23 
   6360     2.75      0.23 
   6420     3.09      0.24 
   6479     2.37      0.21 
   6540     3.26      0.24 
   6599     2.94      0.23 
   6659     2.76      0.23 
   6720     2.95      0.24 
   6779     3.35      0.25 
   6840     3.19      0.24 
   6900     3.10      0.24 
   6959     3.21      0.25 
   7020     2.94      0.23 
   7079     3.90      0.40 
   7140     3.48      0.28 
   7199     3.15      0.24 
   7259     3.25      0.24 
   7319     2.64      0.22 
   7379     3.21      0.24 
   7439     3.26      0.24 
   7500     3.30      0.24 
   7560     3.25      0.24 
   7620     3.29      0.25 
   7680     3.13      0.24 
   7740     3.28      0.24 
   7800     3.07      0.23 
   7859     2.99      0.23 
   7920     2.81      0.22 
   7979     2.75      0.22 
   8040     3.01      0.23 
   8099     3.07      0.23 
   8160     2.58      0.22 
   8220     3.07      0.24 
   8279     3.01      0.23 
   8339     2.94      0.23 
   8400     3.36      0.24 
   8459     3.17      0.23 
   8519     2.89      0.23 
   8579     3.16      0.23 
   8640     3.34      0.24 
   8699     3.09      0.24 
   8760     3.12      0.23 
   8820     2.97      0.23 
   8879     2.95      0.23 
   8940     3.10      0.24 
   9000     2.70      0.22 
   9059     3.29      0.24 
   9120     2.95      0.23 
   9179     3.27      0.24 
   9240     2.98      0.24 
   9300     3.06      0.23 
   9359     3.57      0.25 
   9419     2.92      0.23 
   9480     3.37      0.25 
   9540     3.31      0.25 
   9599     3.16      0.24 
   9659     3.22      0.24 
   9720     2.89      0.23 
   9779     2.99      0.24 
   9839     3.13      0.24 
   9899     3.20      0.24 
   9959     3.59      0.25 
  10020     2.78      0.23 
  10080     3.18      0.25 
  10140     2.85      0.24 
  10200     3.01      0.26 
  10260     3.27      0.25 
  10320     3.39      0.24 
  10380     3.07      0.24 
  10440     3.14      0.24 
  10500     2.73      0.22 
  10560     2.49      0.21 
  10620     2.88      0.23 
  10680     2.94      0.23 
  10740     3.14      0.24 
  10800     2.79      0.24 
  10860     3.16      0.24 
  10920     3.02      0.24 
  10980     3.01      0.24 
  11040     3.14      0.24 
  11100     3.04      0.24 
  11160     2.69      0.24 
  11220     2.83      0.26 
  11280     2.49      0.24 
  11340     3.06      0.27 
  11400     2.88      0.27 
  11460     2.41      0.24 
  11520     2.72      0.25 
  11580     2.59      0.24 
  11640     2.85      0.23 
  11700     2.54      0.22 
  11760     2.75      0.23 
  11820     3.09      0.24 
  11880     2.94      0.23 
  11940     2.88      0.23 
  12000     3.01      0.24 
  12060     2.86      0.24 
  12120     2.80      0.23 
  12180     2.78      0.23 
  12240     2.45      0.22 
  12300     3.17      0.24 
  12360     2.66      0.22 
  12420     2.66      0.22 
  12480     2.68      0.22 
  12540     2.42      0.21 
  12600     2.61      0.22 
  12660     2.42      0.21 
  12720     2.46      0.21 
  12780     2.43      0.21 
  12840     2.48      0.22 
  12900     2.51      0.23 
  12960     2.45      0.21 
  13020     2.20      0.20 
  13080     2.10      0.20 
  13140     2.32      0.21 
  13200     2.46      0.22 
  13260     2.14      0.21 
  13320     2.41      0.22 
  13380     2.44      0.22 
  13440     2.92      0.24 
  13500     2.71      0.23 
  13560     2.66      0.23 
  13620     2.33      0.21 
  13680     2.47      0.22 
  13740     2.68      0.22 
  13800     2.35      0.22 
  13860     2.80      0.23 
  13920     2.70      0.24 
  13980     2.37      0.22 
  14040     2.57      0.22 
  14100     2.36      0.21 
  14160     2.47      0.22 
  14220     2.84      0.22 
  14280     2.35      0.21 
  14340     2.42      0.21 
  14400     2.58      0.22 
  14460     2.33      0.21 
  14520     2.56      0.33 
  14580     2.19      0.25 
  14640     1.82      0.19 
  14700     2.37      0.21 
  14760     2.24      0.21 
  14820     2.38      0.21 
  14880     2.54      0.21 
  14940     2.39      0.20 
  15000     2.17      0.20 
  15060     2.25      0.20 
  15120     2.34      0.20 
  15180     2.10      0.20 
  15240     2.18      0.20 
  15300     2.03      0.19 
  15360     2.22      0.20 
  15420     2.33      0.21 
  15480     2.12      0.20 
  15540     2.17      0.20 
  15600     2.66      0.23 
  15660     2.03      0.21 
  15720     2.33      0.22 
  15780     2.11      0.20 
  15840     2.50      0.22 
  15900     2.22      0.21 
  15960     2.21      0.21 
  16020     2.48      0.22 
  16080     2.79      0.22 
  16140     2.38      0.21 
  16200     2.53      0.23 
  16260     2.03      0.20 
  16320     2.32      0.21 
  16380     2.37      0.21 
  16440     2.33      0.21 
  16500     2.53      0.22 
  16560     2.32      0.21 
  16620     2.22      0.22 
  16680     2.41      0.22 
  16740     2.40      0.22 
  16800     2.72      0.23 
  16860     2.19      0.22 
  16920     2.59      0.22 
  16980     2.41      0.23 
  17040     2.40      0.23 
  17100     2.32      0.22 
  17160     2.18      0.21 
  17220     2.10      0.21 
  17280     2.07      0.21 
  17340     2.04      0.22 
  17400     2.24      0.21 
  17460     2.14      0.20 
  17520     2.09      0.20 
  17580     2.45      0.21 
  17640     2.46      0.21 
  17700     1.84      0.18 
  17760     2.38      0.20 
  17820     1.94      0.19 
  17880     2.36      0.20 
  17940     2.17      0.20 
  18000     2.02      0.19 
  18060     2.20      0.20 
  18120     2.34      0.20 
  18180     2.29      0.21 
  18240     2.37      0.21 
  18300     2.33      0.21 
  18360     2.16      0.21 
  18420     1.93      0.21 
  18480     1.97      0.20 
  18540     2.27      0.20 
  18600     2.20      0.21 
  18660     2.03      0.20 
  18720     2.23      0.21 
  18780     2.21      0.20 
  18840     1.99      0.19 
  18900     2.48      0.21 
  18960     2.28      0.21 
  19020     2.31      0.28 
  19080     2.24      0.26 
  19140     1.78      0.19 
  19200     2.03      0.29 
  19320     2.26      0.23 
  19380     2.44      0.21 
  19440     2.32      0.22 
  19500     1.92      0.19 
  19560     2.14      0.20 
  19620     2.59      0.21 
  19680     2.55      0.21 
  19740     2.00      0.19 
  19800     2.71      0.22 
  19860     2.30      0.20 
  19920     2.00      0.19 
  19980     2.15      0.19 
  20040     2.50      0.21 
  20100     2.89      0.23 
  20160     1.97      0.19 
  20220     2.39      0.20 
  20280     2.67      0.22 
  20340     2.22      0.20 
  20400     2.35      0.21 
  20460     2.23      0.20 
  20520     2.30      0.21 
  20580     2.08      0.20 
  20640     2.52      0.22 
  20700     2.29      0.21 
  20760     2.24      0.20 
  20820     2.46      0.21 
  20880     2.22      0.20 
  20940     2.19      0.20 
  21000     2.25      0.20 
  21060     1.97      0.19 
  21120     2.31      0.21 
  21180     2.23      0.20 
  21240     2.50      0.21 
  21300     2.15      0.20 
  21360     2.79      0.22 
  21420     2.28      0.20 
  21480     1.91      0.19 
  21540     2.48      0.21 
  21600     2.26      0.20 
  21660     2.32      0.20 
  21720     2.35      0.21 
  21780     2.09      0.20 
  21840     2.23      0.20 
  21900     2.63      0.22 
  21960     2.56      0.21 
  22020     2.21      0.19 
  22080     2.22      0.20 
  22140     2.40      0.21 
  22200     2.50      0.21 
  22260     2.33      0.21 
  22320     2.61      0.22 
  22380     2.47      0.21 
  22440     2.35      0.21 
  22500     2.39      0.21 
  22560     1.98      0.19 
  22620     2.00      0.19 
  22680     1.96      0.19 
  22740     2.49      0.21 
  22800     2.35      0.21 
  22860     2.24      0.20 
  22920     2.03      0.19 
  22980     2.20      0.20 
  23040     2.54      0.22 
  23100     2.38      0.21 
  23160     2.18      0.20 
  23220     2.34      0.20 
  23280     2.23      0.20 
  23340     2.07      0.20 
  23400     2.35      0.20 
  23460     1.96      0.19 
  23520     2.01      0.20 
  23580     2.12      0.20 
  23640     2.02      0.19 
  23700     2.53      0.21 
  23760     2.57      0.21 
  23820     2.07      0.25 
