#  Table rgs12o12_b80_01_0123720201.lc[1]  Mon 12:16:42 02-Dec-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     2.51      0.20 
     80     2.24      0.20 
    160     2.23      0.19 
    240     2.45      0.19 
    320     2.38      0.19 
    400     2.14      0.19 
    480     2.72      0.22 
    559     2.52      0.19 
    640     2.64      0.22 
    719     2.30      0.19 
    800     2.61      0.21 
    880     2.61      0.20 
    959     2.13      0.19 
   1040     2.29      0.20 
   1120     2.66      0.19 
   1200     2.39      0.19 
   1280     2.64      0.20 
   1360     2.34      0.20 
   1440     2.58      0.20 
   1520     2.51      0.20 
   1600     2.75      0.20 
   1680     2.52      0.20 
   1760     2.78      0.21 
   1840     2.80      0.20 
   1920     2.69      0.21 
   2000     2.47      0.21 
   2080     2.97      0.22 
   2160     2.90      0.22 
   2240     2.62      0.20 
   2320     2.66      0.21 
   2400     2.65      0.20 
   2480     2.69      0.22 
   2560     2.65      0.21 
   2640     2.29      0.20 
   2720     2.77      0.21 
   2800     2.57      0.22 
   2880     2.92      0.22 
   2960     2.79      0.22 
   3040     2.95      0.22 
   3120     2.86      0.22 
   3200     2.51      0.20 
   3280     2.78      0.22 
   3360     3.00      0.24 
   3440     2.64      0.20 
   3520     2.19      0.19 
   3600     2.60      0.22 
   3680     2.60      0.21 
   3760     2.72      0.22 
   3840     2.38      0.21 
   3920     2.31      0.20 
   4000     2.46      0.24 
   4080     2.73      0.22 
   4160     2.40      0.19 
   4240     2.78      0.21 
   4320     2.58      0.22 
   4400     2.15      0.20 
   4480     2.60      0.20 
   4560     2.65      0.21 
   4640     2.99      0.22 
   4720     2.85      0.20 
   4800     2.63      0.21 
   4880     2.91      0.22 
   4960     2.85      0.21 
   5040     2.88      0.23 
   5120     2.70      0.21 
   5200     2.72      0.21 
   5279     2.71      0.22 
   5360     2.55      0.22 
   5439     2.96      0.22 
   5520     2.72      0.21 
   5599     2.50      0.21 
   5679     3.35      0.23 
   5759     2.81      0.21 
   5839     2.66      0.20 
   5919     2.66      0.22 
   6000     2.75      0.22 
   6079     2.70      0.21 
   6159     2.74      0.20 
   6239     2.58      0.20 
   6320     2.26      0.19 
   6400     2.68      0.20 
   6479     2.80      0.22 
   6559     2.30      0.19 
   6640     2.71      0.21 
   6720     2.28      0.20 
   6799     2.61      0.20 
   6879     2.58      0.20 
   6959     2.51      0.20 
   7040     2.82      0.20 
   7119     2.88      0.20 
   7199     2.69      0.21 
   7279     2.86      0.21 
   7359     2.69      0.22 
   7439     2.74      0.19 
   7520     2.78      0.20 
   7600     2.71      0.20 
   7680     2.60      0.19 
   7760     2.40      0.18 
   7840     2.22      0.18 
   7920     2.77      0.22 
   8000     2.41      0.18 
   8080     2.66      0.20 
   8160     2.24      0.19 
   8240     2.44      0.19 
   8320     2.33      0.18 
   8400     2.46      0.21 
   8480     2.52      0.19 
   8559     2.40      0.18 
   8640     2.76      0.20 
   8720     2.39      0.18 
   8800     2.28      0.18 
   8879     2.28      0.18 
   8959     2.63      0.19 
   9040     2.24      0.19 
   9120     2.31      0.19 
   9199     2.39      0.21 
   9279     2.64      0.19 
   9359     2.65      0.19 
   9440     2.31      0.18 
   9519     2.47      0.19 
   9599     2.37      0.20 
   9679     2.27      0.18 
   9759     2.23      0.18 
   9839     2.34      0.18 
   9919     2.15      0.18 
  10000     1.98      0.17 
  10080     2.06      0.18 
  10160     2.35      0.18 
  10240     2.46      0.18 
  10320     1.95      0.19 
  10400     2.47      0.19 
  10480     2.43      0.19 
  10560     2.42      0.18 
  10640     2.40      0.19 
  10720     2.74      0.19 
  10800     2.34      0.18 
  10880     2.35      0.19 
  10960     2.37      0.20 
  11040     2.52      0.19 
  11120     2.61      0.20 
  11200     2.56      0.19 
  11280     2.99      0.22 
  11360     2.75      0.20 
  11440     2.98      0.21 
  11520     2.80      0.22 
  11600     2.78      0.20 
  11680     2.98      0.21 
  11760     3.31      0.23 
  11840     2.79      0.20 
  11920     3.02      0.21 
  12000     2.74      0.20 
  12080     2.86      0.20 
  12160     2.66      0.20 
  12240     2.96      0.21 
  12320     2.50      0.20 
  12400     2.88      0.23 
  12480     2.89      0.20 
  12560     2.70      0.21 
  12640     2.83      0.21 
  12720     3.07      0.21 
  12800     2.90      0.22 
  12880     2.80      0.21 
  12960     3.19      0.22 
  13040     2.50      0.20 
  13120     2.60      0.21 
  13200     2.65      0.22 
  13280     2.82      0.20 
  13360     2.93      0.22 
  13440     3.01      0.20 
  13520     2.88      0.21 
  13600     3.23      0.23 
  13680     2.79      0.20 
  13760     2.69      0.20 
  13840     3.10      0.22 
  13920     2.78      0.20 
  14000     2.79      0.20 
  14080     2.18      0.18 
  14160     2.79      0.21 
  14240     3.23      0.22 
  14320     3.17      0.21 
  14400     2.51      0.21 
  14480     2.80      0.21 
  14560     3.07      0.24 
  14640     2.96      0.22 
  14720     2.91      0.21 
  14800     3.20      0.22 
  14880     2.59      0.20 
  14960     2.58      0.20 
  15040     3.20      0.22 
  15120     2.63      0.20 
  15200     2.86      0.22 
  15280     2.57      0.19 
  15360     2.71      0.20 
  15440     2.63      0.21 
  15520     2.91      0.21 
  15600     2.64      0.20 
  15680     2.55      0.19 
  15760     2.55      0.20 
  15840     2.67      0.19 
  15920     2.69      0.19 
  16000     2.64      0.19 
  16080     2.79      0.20 
  16160     2.62      0.21 
  16240     2.26      0.18 
  16320     2.64      0.19 
  16400     2.49      0.19 
  16480     2.38      0.19 
  16560     2.48      0.18 
