#  Table mos_b70_04c_0133120201.lc[1]  Wed 10:13:25 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     9.79      0.43 
     69     10.34      0.43 
    140     9.34      0.41 
    210     8.96      0.40 
    280     10.14      0.43 
    350     9.82      0.42 
    420     9.70      0.42 
    490     10.84      0.44 
    559     10.10      0.42 
    630     9.63      0.41 
    699     9.52      0.41 
    770     9.48      0.41 
    840     9.80      0.42 
    909     9.70      0.42 
    980     10.27      0.43 
   1050     9.50      0.41 
   1120     9.82      0.42 
   1190     9.96      0.42 
   1260     9.47      0.41 
   1330     9.90      0.42 
   1400     9.91      0.42 
   1470     9.97      0.42 
   1540     9.96      0.42 
   1610     10.60      0.43 
   1680     10.80      0.44 
   1750     11.81      0.46 
   1820     11.56      0.45 
   1890     12.78      0.48 
   1960     11.39      0.45 
   2030     12.09      0.46 
   2100     12.80      0.48 
   2170     12.96      0.48 
   2240     13.10      0.48 
   2310     13.48      0.49 
   2380     13.24      0.49 
   2450     14.29      0.50 
   2520     14.41      0.51 
   2590     13.57      0.49 
   2660     13.73      0.49 
   2730     13.45      0.49 
   2800     14.89      0.51 
   2870     14.82      0.51 
   2940     14.46      0.51 
   3010     14.72      0.51 
   3080     15.66      0.53 
   3150     14.73      0.51 
   3220     14.90      0.52 
   3290     14.39      0.51 
   3360     13.87      0.50 
   3430     14.25      0.50 
   3500     14.49      0.51 
   3570     13.07      0.48 
   3640     14.19      0.50 
   3710     14.19      0.50 
   3780     14.16      0.50 
   3850     13.98      0.50 
   3920     14.54      0.51 
   3990     14.45      0.51 
   4060     13.50      0.49 
   4130     13.32      0.49 
   4200     14.73      0.51 
   4270     12.95      0.48 
   4340     12.99      0.48 
   4410     13.86      0.50 
   4480     12.81      0.48 
   4550     13.57      0.49 
   4620     12.43      0.47 
   4690     13.11      0.48 
   4760     13.96      0.50 
   4830     13.33      0.49 
   4900     12.88      0.48 
   4970     13.34      0.49 
   5040     12.97      0.48 
   5110     12.36      0.47 
   5180     12.89      0.48 
   5250     12.16      0.46 
   5320     13.09      0.48 
   5389     12.40      0.47 
   5460     12.17      0.46 
   5529     13.79      0.50 
   5599     13.06      0.48 
   5669     13.17      0.48 
   5740     12.07      0.46 
   5810     12.74      0.48 
   5879     13.13      0.48 
   5949     13.72      0.50 
   6020     13.40      0.49 
   6089     13.32      0.49 
   6159     12.38      0.74 
