#  Table pn_b60_04c_0133120201.lc[1]  Mon 10:27:48 02-Dec-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     22.06      0.71 
     60     20.39      0.68 
    120     22.49      0.72 
    180     22.03      0.70 
    240     20.53      0.68 
    300     21.56      0.70 
    360     21.05      0.69 
    420     20.75      0.68 
    480     21.53      0.70 
    540     20.58      0.68 
    600     21.23      0.70 
    659     21.30      0.69 
    719     21.64      0.70 
    780     21.53      0.70 
    840     21.53      0.70 
    900     21.02      0.69 
    959     20.77      0.69 
   1020     20.54      0.68 
   1080     20.26      0.68 
   1140     20.92      0.69 
   1200     22.01      0.71 
   1260     20.76      0.69 
   1320     19.53      0.67 
   1380     20.70      0.69 
   1440     21.11      0.69 
   1500     20.97      0.70 
   1560     21.02      0.69 
   1620     20.47      0.68 
   1680     21.48      0.69 
   1740     21.16      0.69 
   1800     20.38      0.67 
   1860     21.45      0.70 
   1920     21.43      0.69 
   1980     21.42      0.70 
   2040     20.99      0.69 
   2100     20.76      0.68 
   2160     21.18      0.69 
   2220     20.32      0.67 
   2280     20.21      0.68 
   2340     19.86      0.67 
   2400     21.53      0.70 
   2460     22.25      0.71 
   2520     20.25      0.68 
   2580     19.74      0.67 
   2640     21.29      0.69 
   2700     22.34      0.71 
   2760     22.12      0.72 
   2820     22.37      0.72 
   2880     20.65      0.68 
   2940     21.05      0.69 
   3000     20.81      0.69 
   3060     19.98      0.67 
   3120     21.17      0.69 
   3180     20.32      0.68 
   3240     20.65      0.68 
   3300     20.99      0.69 
   3360     21.39      0.69 
   3420     21.12      0.69 
   3480     21.62      0.70 
   3540     21.23      0.69 
   3600     20.73      0.69 
   3660     20.75      0.68 
   3720     22.98      0.72 
   3780     21.84      0.70 
   3840     21.49      0.70 
   3900     20.28      0.68 
   3960     21.66      0.70 
   4020     22.16      0.70 
   4080     21.28      0.69 
   4140     22.56      0.72 
   4200     47.56      23.78 
