#  Table rgs12o12_b50_04c_0133120201.lc[1]  Wed 15:44:45 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     3.24      0.31 
     50     3.07      0.24 
    100     2.96      0.32 
    150     3.17      0.26 
    200     3.43      0.30 
    250     3.35      0.24 
    300     3.06      0.29 
    350     3.13      0.28 
    400     2.89      0.35 
    450     3.35      0.25 
    500     3.03      0.32 
    550     3.06      0.23 
    600     3.12      0.29 
    650     3.48      0.25 
    699     2.95      0.29 
    750     3.43      0.27 
    800     2.84      0.28 
    849     2.75      0.22 
    900     2.88      0.28 
    949     2.80      0.25 
   1000     2.89      0.28 
   1050     2.86      0.23 
   1100     2.74      0.28 
   1150     3.09      0.25 
   1200     2.73      0.28 
   1250     3.45      0.25 
   1300     2.80      0.28 
   1350     2.73      0.22 
   1400     2.65      0.28 
   1450     3.43      0.26 
   1500     2.67      0.27 
   1550     3.03      0.23 
   1600     3.10      0.29 
   1650     2.88      0.23 
   1700     3.24      0.29 
   1750     2.98      0.25 
   1800     2.77      0.27 
   1850     3.23      0.24 
   1900     2.95      0.32 
   1950     2.84      0.25 
   2000     3.17      0.34 
   2050     3.37      0.24 
   2100     2.62      0.27 
   2150     3.23      0.24 
   2200     2.58      0.27 
   2250     3.76      0.26 
   2300     3.52      0.37 
   2350     3.39      0.25 
   2400     2.98      0.29 
   2450     3.59      0.25 
   2500     3.15      0.32 
   2550     3.14      0.26 
   2600     3.48      0.31 
   2650     3.72      0.25 
   2700     3.12      0.29 
   2750     2.95      0.26 
   2800     3.30      0.31 
   2850     3.20      0.25 
   2900     3.52      0.30 
   2950     3.22      0.24 
   3000     3.56      0.36 
   3050     3.68      0.27 
   3100     3.35      0.30 
   3150     3.34      0.24 
   3200     3.09      0.29 
   3250     3.56      0.29 
   3300     3.54      0.39 
   3350     2.81      0.22 
   3400     2.65      0.30 
   3450     3.09      0.23 
   3500     2.62      0.27 
   3550     3.16      0.23 
   3600     3.89      0.32 
   3650     3.39      0.24 
   3700     3.59      0.31 
   3750     3.21      0.24 
   3800     2.91      0.28 
   3850     3.82      0.28 
   3900     3.30      0.30 
   3950     3.65      0.26 
   4000     3.62      0.33 
   4050     2.90      0.23 
   4100     3.02      0.29 
   4150     3.15      0.25 
   4200     3.35      0.30 
   4250     3.33      0.24 
   4300     2.95      0.28 
   4349     3.28      0.24 
   4400     3.45      0.31 
   4450     2.90      0.25 
   4500     2.86      0.28 
   4550     3.27      0.24 
   4600     3.32      0.30 
   4650     2.92      0.23 
   4700     3.64      0.36 
   4750     3.28      0.24 
   4800     3.41      0.30 
   4850     3.03      0.26 
   4900     3.08      0.29 
   4950     3.43      0.27 
   5000     3.07      0.29 
   5050     3.07      0.23 
   5100     3.26      0.30 
   5150     3.16      0.24 
   5200     3.28      0.29 
   5250     3.24      0.24 
   5300     3.03      0.29 
   5349     3.09      0.23 
   5400     3.05      0.35 
   5450     3.07      0.23 
   5500     3.38      0.30 
   5549     2.94      0.24 
   5599     2.67      0.27 
   5650     3.09      0.25 
   5700     2.63      0.27 
   5749     3.01      0.23 
   5799     2.68      0.30 
   5849     3.09      0.23 
   5900     3.10      0.29 
   5949     2.85      0.22 
   6000     2.90      0.28 
   6049     2.91      0.24 
   6099     3.13      0.29 
   6149     3.30      0.24 
   6199     3.24      0.29 
   6250     3.59      0.26 
   6300     2.94      0.29 
   6350     3.25      0.24 
   6400     4.07      0.33 
   6450     3.63      0.25 
   6500     2.74      0.28 
   6550     3.23      0.26 
   6599     3.28      0.30 
   6650     2.61      0.23 
   6700     3.30      0.33 
   6750     3.46      0.25 
   6799     3.00      0.28 
   6849     3.03      0.26 
   6900     3.42      0.30 
   6950     3.31      0.24 
   6999     3.03      0.28 
   7049     2.91      0.23 
   7099     3.44      0.35 
   7150     3.53      0.25 
   7199     3.55      0.31 
   7249     3.27      0.24 
   7299     3.47      0.30 
   7349     2.78      0.24 
   7399     2.89      0.28 
   7449     3.03      0.23 
   7500     2.93      0.28 
   7550     3.06      0.23 
   7600     3.33      0.33 
   7650     3.47      0.25 
   7700     2.93      0.28 
   7750     3.50      0.25 
   7800     3.23      0.30 
   7849     2.60      0.24 
   7900     3.28      0.29 
   7950     3.11      0.23 
   8000     3.49      0.30 
   8050     3.03      0.25 
   8099     2.77      0.28 
   8150     3.64      0.27 
   8199     3.33      0.35 
   8249     3.37      0.26 
   8300     3.48      0.30 
   8349     3.55      0.25 
   8400     2.51      0.27 
   8449     3.20      0.25 
   8499     3.39      0.30 
   8550     3.60      0.25 
   8599     3.05      0.28 
   8649     3.69      0.28 
   8699     3.20      0.34 
   8750     3.17      0.23 
