#  Table mos_b50_06_0134520701.lc[1]  Wed 10:13:26 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     10.30      0.49 
     50     9.22      0.45 
    100     9.70      0.46 
    150     10.26      0.47 
    200     9.95      0.47 
    250     10.55      0.48 
    300     9.74      0.46 
    350     10.04      0.47 
    400     9.67      0.46 
    450     10.13      0.47 
    500     10.95      0.49 
    550     10.71      0.48 
    600     9.93      0.47 
    650     9.99      0.47 
    699     9.45      0.45 
    750     9.76      0.46 
    800     9.96      0.47 
    849     10.56      0.48 
    900     10.09      0.47 
    949     10.95      0.49 
   1000     10.36      0.48 
   1050     10.63      0.48 
   1100     10.72      0.49 
   1150     11.16      0.49 
   1200     9.87      0.46 
   1250     10.25      0.47 
   1300     9.57      0.46 
   1350     10.37      0.48 
   1400     10.56      0.48 
   1450     10.20      0.47 
   1500     10.75      0.48 
   1550     10.90      0.49 
   1600     10.30      0.47 
   1650     9.83      0.46 
   1700     10.31      0.47 
   1750     10.18      0.47 
   1800     10.42      0.48 
   1850     9.72      0.46 
   1900     9.77      0.46 
   1950     9.63      0.46 
   2000     10.06      0.47 
   2050     9.70      0.46 
   2100     9.43      0.45 
   2150     10.74      0.48 
   2200     9.84      0.46 
   2250     10.85      0.49 
   2300     9.96      0.47 
   2350     10.49      0.48 
   2400     10.82      0.49 
   2450     10.41      0.48 
   2500     10.37      0.47 
   2550     10.99      0.49 
   2600     9.89      0.46 
   2650     10.02      0.47 
   2700     10.05      0.47 
   2750     9.80      0.46 
   2800     10.31      0.48 
   2850     9.87      0.47 
   2900     9.88      0.46 
   2950     9.71      0.46 
   3000     10.65      0.48 
   3050     9.66      0.46 
   3100     9.88      0.46 
   3150     10.20      0.47 
   3200     10.46      0.48 
   3250     9.57      0.46 
   3300     10.25      0.47 
   3350     10.66      0.48 
   3400     10.80      0.49 
   3450     10.32      0.47 
   3500     10.39      0.48 
   3550     11.42      0.50 
   3600     10.09      0.47 
   3650     10.37      0.47 
   3700     10.88      0.49 
   3750     10.22      0.47 
   3800     9.69      0.46 
   3850     9.88      0.46 
   3900     9.55      0.46 
   3950     9.88      0.46 
   4000     9.55      0.46 
   4050     10.07      0.47 
   4100     10.26      0.47 
   4150     10.12      0.47 
   4200     10.02      0.47 
   4250     9.80      0.46 
   4300     9.79      0.46 
   4349     10.22      0.47 
   4400     10.63      0.48 
   4450     9.96      0.47 
   4500     10.36      0.48 
   4550     10.58      0.48 
   4600     10.14      0.47 
   4650     10.39      0.48 
   4700     10.53      0.48 
   4750     10.90      0.49 
   4800     8.92      0.44 
   4850     11.37      0.50 
   4900     9.84      0.46 
   4950     10.26      0.47 
   5000     10.60      0.48 
   5050     10.30      0.48 
   5100     9.55      0.46 
   5150     10.81      0.49 
   5200     10.34      0.48 
   5250     10.84      0.49 
   5300     10.19      0.47 
   5349     10.13      0.47 
   5400     10.12      0.47 
   5450     10.00      0.47 
   5500     11.34      0.50 
   5549     10.90      0.49 
   5599     9.53      0.46 
   5650     10.26      0.47 
   5700     10.28      0.47 
   5749     10.73      0.48 
   5799     10.95      0.49 
   5849     10.73      0.48 
   5900     10.93      0.49 
   5949     11.06      0.49 
   6000     10.85      0.49 
   6049     11.33      0.50 
   6099     12.97      0.53 
   6149     12.17      0.52 
   6199     12.30      0.52 
   6250     12.81      0.53 
   6300     11.89      0.51 
   6350     12.28      0.52 
   6400     11.07      0.49 
   6450     12.42      0.52 
   6500     11.65      0.50 
   6550     11.59      0.50 
   6599     11.57      0.50 
   6650     11.90      0.51 
   6700     12.36      0.52 
   6750     11.09      0.49 
   6799     11.62      0.51 
   6849     11.56      0.50 
   6900     11.88      0.51 
   6950     10.99      0.49 
   6999     11.60      0.51 
   7049     10.99      0.49 
   7099     11.39      0.50 
   7150     11.67      0.50 
   7199     11.12      0.49 
   7249     11.34      0.50 
   7299     10.85      0.49 
   7349     10.87      0.49 
   7399     11.79      0.51 
   7449     11.03      0.49 
   7500     11.81      0.51 
   7550     10.95      0.49 
   7600     10.45      0.48 
   7650     11.05      0.49 
   7700     10.56      0.48 
   7750     11.52      0.50 
   7800     10.70      0.48 
   7849     10.65      0.48 
   7900     10.46      0.48 
   7950     10.69      0.48 
   8000     10.32      0.47 
   8050     10.75      0.48 
   8099     10.26      0.47 
   8150     10.28      0.47 
   8199     10.19      0.47 
   8249     10.35      0.48 
   8300     10.91      0.49 
   8349     10.84      0.49 
   8400     10.59      0.48 
   8449     9.97      0.47 
   8499     10.18      0.47 
   8550     10.95      0.49 
   8599     10.46      0.48 
   8649     10.08      0.47 
   8699     10.31      0.47 
   8750     10.67      0.48 
   8800     10.48      0.48 
   8850     10.22      0.47 
   8900     10.69      0.48 
   8949     10.41      0.48 
   9000     10.55      0.48 
   9050     9.87      0.46 
   9099     10.51      0.48 
   9150     10.75      0.48 
   9199     9.76      0.46 
   9250     10.47      0.48 
   9300     9.27      0.45 
   9349     11.00      0.49 
   9400     10.85      0.49 
   9449     10.65      0.48 
   9499     9.97      0.47 
   9550     10.44      0.48 
   9599     10.59      0.48 
   9650     9.91      0.46 
   9699     10.35      0.48 
   9749     10.47      0.48 
   9800     9.61      0.46 
   9849     9.87      0.46 
   9899     10.01      0.47 
   9949     10.10      0.47 
  10000     10.25      0.47 
  10050     10.61      0.48 
  10100     9.66      0.46 
  10150     9.30      0.45 
  10200     10.45      0.48 
  10250     10.32      0.48 
  10300     9.25      0.45 
  10350     9.27      0.45 
  10400     9.14      0.45 
  10450     10.56      0.48 
  10500     10.57      0.48 
  10550     9.69      0.46 
  10600     9.76      0.46 
  10650     9.70      0.46 
  10700     9.70      0.46 
  10750     10.54      0.48 
  10800     10.13      0.47 
  10850     9.29      0.45 
  10900     10.36      0.48 
  10950     9.62      0.46 
  11000     9.15      0.45 
  11050     9.10      0.45 
  11100     9.95      0.47 
  11150     9.69      0.46 
  11200     10.25      0.47 
  11250     9.74      0.46 
  11300     10.52      0.48 
  11350     9.45      0.46 
  11400     10.23      0.47 
  11450     9.37      0.45 
  11500     10.65      0.48 
  11550     10.26      0.47 
  11600     9.38      0.46 
  11650     10.84      0.48 
  11700     9.33      0.45 
  11750     10.07      0.47 
  11800     9.87      0.47 
  11850     9.89      0.47 
  11900     9.98      0.46 
  11950     10.82      0.49 
  12000     9.46      0.45 
  12050     9.76      0.46 
  12100     9.29      0.45 
  12150     9.69      0.46 
  12200     9.20      0.45 
  12250     10.53      0.48 
  12300     10.29      0.47 
  12350     10.39      0.48 
  12400     10.35      0.48 
  12450     10.51      0.48 
  12500     10.25      0.47 
  12550     10.44      0.48 
  12600     11.25      0.50 
  12650     9.79      0.46 
  12700     9.85      0.46 
  12750     9.95      0.47 
  12800     10.83      0.49 
  12850     10.48      0.48 
  12900     10.07      0.47 
  12950     10.65      0.48 
  13000     10.70      0.48 
  13050     9.82      0.46 
  13100     11.24      0.49 
  13150     11.49      0.50 
  13200     11.04      0.49 
  13250     11.67      0.51 
  13300     10.15      0.47 
  13350     11.30      0.49 
  13400     11.11      0.49 
  13450     11.19      0.50 
  13500     10.46      0.48 
  13550     10.85      0.49 
  13600     9.98      0.47 
  13650     10.79      0.48 
  13700     10.05      0.47 
  13750     10.59      0.48 
  13800     11.72      0.50 
  13850     10.88      0.49 
  13900     10.29      0.47 
  13950     11.23      0.50 
  14000     10.89      0.49 
  14050     11.19      0.50 
  14100     11.02      0.49 
  14150     11.13      0.49 
  14200     10.47      0.48 
  14250     10.85      0.49 
  14300     11.22      0.49 
  14350     11.60      0.50 
  14400     10.41      0.48 
  14450     10.34      0.48 
  14500     10.72      0.49 
  14550     10.79      0.49 
  14600     9.93      0.47 
  14650     10.89      0.49 
  14700     10.58      0.48 
  14750     10.16      0.47 
  14800     10.40      0.48 
  14850     10.60      0.48 
  14900     10.38      0.48 
  14950     10.62      0.48 
  15000     10.30      0.47 
  15050     10.29      0.48 
  15100     9.66      0.46 
  15150     10.55      0.48 
  15200     9.79      0.46 
  15250     10.36      0.48 
  15300     10.71      0.48 
  15350     10.70      0.48 
  15400     10.31      0.47 
  15450     11.18      0.49 
  15500     9.90      0.47 
  15550     9.71      0.46 
  15600     9.60      0.46 
  15650     10.49      0.48 
  15700     9.61      0.46 
  15750     10.14      0.47 
  15800     9.94      0.47 
  15850     9.63      0.46 
  15900     9.51      0.46 
  15950     10.15      0.47 
  16000     11.04      0.49 
  16050     10.48      0.48 
  16100     10.02      0.47 
  16150     10.46      0.48 
  16200     11.42      0.50 
  16250     9.91      0.46 
  16300     9.59      0.46 
  16350     9.54      0.46 
  16400     10.03      0.47 
  16450     9.52      0.46 
  16500     9.78      0.46 
  16550     9.95      0.47 
  16600     9.65      0.46 
  16650     9.76      0.46 
  16700     10.37      0.48 
  16750     10.24      0.47 
  16800     9.66      0.46 
  16850     9.92      0.47 
  16900     9.31      0.45 
  16950     9.65      0.46 
  17000     9.76      0.46 
  17050     9.45      0.46 
  17100     9.26      0.45 
  17150     9.50      0.46 
  17200     10.15      0.47 
  17250     9.66      0.46 
  17300     9.06      0.44 
  17350     9.92      0.46 
  17400     9.95      0.47 
  17450     9.67      0.46 
  17500     10.06      0.47 
  17550     9.66      0.46 
  17600     8.93      0.44 
  17650     9.26      0.45 
  17700     8.61      0.43 
  17750     9.34      0.45 
  17800     8.92      0.44 
  17850     9.66      0.46 
  17900     9.42      0.45 
  17950     9.22      0.45 
  18000     8.86      0.44 
  18050     9.51      0.46 
  18100     9.76      0.46 
  18150     8.82      0.44 
  18200     8.33      0.43 
  18250     9.22      0.45 
  18300     9.03      0.44 
  18350     9.21      0.45 
  18400     8.28      0.43 
  18450     8.86      0.44 
  18500     8.54      0.43 
  18550     8.59      0.43 
  18600     9.65      0.46 
  18650     9.27      0.45 
  18700     9.00      0.44 
  18750     8.22      0.42 
  18800     8.91      0.44 
  18850     9.22      0.45 
  18900     8.70      0.44 
  18950     8.84      0.44 
  19000     8.81      0.44 
  19050     9.07      0.45 
  19100     8.89      0.44 
  19150     8.63      0.44 
  19200     8.86      0.44 
  19250     9.24      0.45 
  19300     9.19      0.45 
  19350     8.27      0.42 
  19400     8.94      0.44 
  19450     9.46      0.45 
  19500     9.17      0.45 
  19550     8.62      0.43 
  19600     8.43      0.43 
  19650     9.57      0.46 
  19700     9.19      0.45 
  19750     8.21      0.43 
  19800     9.09      0.45 
  19850     9.42      0.45 
  19900     8.53      0.43 
  19950     8.57      0.43 
  20000     8.92      0.44 
  20050     8.46      0.43 
  20100     9.22      0.45 
  20150     8.45      0.43 
  20200     8.64      0.44 
  20250     8.27      0.43 
  20300     8.87      0.44 
  20350     8.23      0.43 
  20400     8.36      0.43 
  20450     8.78      0.44 
  20500     8.34      0.43 
  20550     8.21      0.42 
  20600     8.71      0.44 
  20650     8.90      0.44 
  20700     8.59      0.43 
  20750     8.59      0.43 
  20800     8.75      0.44 
  20850     8.10      0.42 
  20900     8.46      0.43 
  20950     9.25      0.45 
  21000     8.33      0.43 
  21050     8.85      0.44 
  21100     9.02      0.44 
  21150     8.27      0.42 
  21200     9.22      0.45 
  21250     9.07      0.45 
  21300     8.49      0.43 
  21350     8.26      0.43 
  21400     7.89      0.42 
  21450     8.38      0.43 
  21500     7.76      0.41 
  21550     8.54      0.43 
  21600     7.63      0.41 
  21650     7.47      0.40 
  21700     8.32      0.43 
  21750     8.52      0.43 
  21800     8.01      0.42 
  21850     8.74      0.44 
  21900     7.90      0.42 
  21950     8.15      0.42 
  22000     9.30      0.45 
  22050     8.96      0.44 
  22100     8.65      0.44 
  22150     8.41      0.43 
  22200     8.31      0.43 
  22250     8.24      0.71 
  22300     8.35      0.49 
  22350     8.23      0.42 
  22400     8.80      0.44 
  22450     8.65      0.43 
  22500     8.35      0.43 
  22550     7.78      0.41 
  22600     8.27      0.42 
  22650     7.63      0.41 
  22700     8.54      0.43 
  22750     8.32      0.43 
  22800     7.53      0.41 
  22850     7.81      0.41 
  22900     8.11      0.42 
  22950     8.24      0.42 
  23000     7.19      0.40 
  23050     7.98      0.42 
  23100     8.03      0.42 
  23150     7.50      0.41 
  23200     8.19      0.42 
  23250     7.97      0.42 
  23300     8.06      0.42 
  23350     7.81      0.41 
  23400     7.02      0.39 
  23450     8.16      0.42 
  23500     8.67      0.44 
  23550     8.07      0.42 
  23600     8.53      0.43 
  23650     8.33      0.43 
  23700     8.47      0.43 
  23750     8.37      0.43 
  23800     7.95      0.42 
  23850     8.59      0.43 
  23900     8.04      0.42 
  23950     8.58      0.43 
  24000     8.84      0.44 
