#  Table mos_b50_10a_0155150101.lc[1]  Mon 11:18:08 02-Dec-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     52.87      1.29 
     50     53.51      1.27 
    100     51.02      1.24 
    150     52.02      1.25 
    200     51.94      1.25 
    250     49.07      1.21 
    300     49.79      1.21 
    350     52.75      1.25 
    400     48.23      1.22 
    450     49.63      1.23 
    500     50.01      1.24 
    550     48.79      1.21 
    600     49.38      1.21 
    650     48.17      1.22 
    699     48.50      1.21 
    750     49.75      1.22 
    800     48.03      1.21 
    849     51.04      1.24 
    900     48.61      1.24 
    949     48.09      1.21 
   1000     48.69      1.21 
   1050     49.51      1.23 
   1100     51.37      1.25 
   1150     49.58      1.22 
   1200     51.18      1.26 
   1250     50.90      1.26 
   1300     50.39      1.24 
   1350     50.38      1.24 
   1400     49.89      1.23 
   1450     49.20      1.22 
   1500     48.83      1.22 
   1550     52.50      1.25 
   1600     49.83      1.23 
   1650     50.15      1.23 
   1700     51.26      1.25 
   1750     47.13      1.20 
   1800     49.30      1.23 
   1850     50.48      1.23 
   1900     49.53      1.22 
   1950     50.77      1.24 
   2000     49.05      1.22 
   2050     45.92      1.18 
   2100     49.44      1.23 
   2150     50.18      1.24 
   2200     48.49      1.22 
   2250     46.96      1.20 
   2300     47.08      1.20 
   2350     49.20      1.21 
   2400     46.50      1.18 
   2450     46.75      1.19 
   2500     48.13      1.20 
   2550     44.64      1.18 
   2600     44.86      1.18 
   2650     45.24      1.16 
   2700     47.72      1.21 
   2750     45.51      1.17 
   2800     43.28      1.15 
   2850     48.58      1.21 
   2900     46.19      1.18 
   2950     43.54      1.16 
   3000     45.96      1.18 
   3050     46.22      1.16 
   3100     44.51      1.16 
   3150     42.71      1.13 
   3200     43.87      1.15 
   3250     43.64      1.14 
   3300     44.41      1.16 
   3350     43.16      1.14 
   3400     44.56      1.15 
   3450     42.16      1.13 
   3500     42.69      1.14 
   3550     42.38      1.14 
   3600     43.10      1.14 
   3650     41.93      1.12 
   3700     42.10      1.14 
   3750     42.81      1.15 
   3800     39.97      1.10 
   3850     44.54      1.16 
   3900     43.50      1.14 
   3950     43.19      1.15 
   4000     42.79      1.14 
   4050     39.95      1.11 
   4100     40.86      1.11 
   4150     41.50      1.11 
   4200     43.04      1.14 
   4250     42.05      1.13 
   4300     40.22      1.12 
   4349     41.67      1.12 
   4400     41.42      1.13 
   4450     41.15      1.11 
   4500     41.30      1.11 
   4550     39.35      1.09 
   4600     37.30      1.07 
   4650     40.03      1.10 
   4700     39.70      1.10 
   4750     38.15      1.08 
   4800     38.54      1.08 
   4850     37.33      1.06 
   4900     38.21      1.08 
   4950     39.69      1.09 
   5000     38.38      1.07 
   5050     39.02      1.08 
   5100     36.53      1.05 
   5150     38.70      1.09 
   5200     38.83      1.07 
   5250     38.39      1.08 
   5300     39.27      1.09 
   5349     37.64      1.08 
   5400     36.60      1.05 
   5450     36.60      1.06 
   5500     37.11      1.06 
   5549     39.37      1.09 
   5599     39.38      1.09 
   5650     39.32      1.07 
   5700     35.82      1.04 
   5749     36.08      1.05 
   5799     36.21      1.06 
   5849     37.27      1.07 
   5900     36.39      1.05 
   5949     37.80      1.06 
   6000     36.33      1.07 
   6049     34.78      1.24 
