#  Table rgs12o12_b50_10a_0155150101.lc[1]  Wed 15:45:03 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     3.50      0.31 
     50     2.95      0.25 
    100     3.28      0.29 
    150     3.25      0.24 
    200     3.63      0.35 
    250     3.59      0.25 
    300     3.33      0.30 
    350     3.21      0.24 
    400     3.69      0.31 
    450     3.33      0.24 
    500     3.78      0.32 
    550     3.77      0.28 
    600     3.69      0.37 
    650     3.27      0.24 
    699     3.48      0.31 
    750     3.11      0.24 
    800     3.21      0.29 
    849     3.43      0.25 
    900     3.25      0.30 
    949     3.24      0.24 
   1000     3.74      0.35 
   1050     3.45      0.25 
   1100     3.23      0.29 
   1150     3.15      0.25 
   1200     3.26      0.30 
   1250     3.77      0.29 
   1300     3.11      0.29 
   1350     3.60      0.25 
   1400     4.14      0.36 
   1450     3.54      0.26 
   1500     3.65      0.36 
   1550     3.23      0.24 
   1600     3.64      0.32 
   1650     4.05      0.29 
   1700     4.35      0.35 
   1750     3.90      0.27 
   1800     3.97      0.36 
   1850     3.89      0.27 
   1900     4.24      0.33 
   1950     3.96      0.27 
   2000     4.06      0.33 
   2050     4.15      0.27 
   2100     3.98      0.33 
   2150     3.75      0.29 
   2200     4.73      0.36 
   2250     4.41      0.30 
   2300     3.97      0.34 
   2350     4.09      0.27 
   2400     3.69      0.32 
   2450     3.99      0.26 
   2500     4.06      0.38 
   2550     4.19      0.28 
   2600     4.02      0.35 
   2650     4.16      0.27 
   2700     4.23      0.33 
   2750     3.74      0.26 
   2800     4.76      0.36 
   2850     3.71      0.28 
   2900     3.99      0.33 
   2950     4.16      0.27 
   3000     4.12      0.33 
   3050     4.02      0.29 
   3100     4.69      0.35 
   3150     3.81      0.26 
   3200     3.92      0.33 
   3250     4.05      0.30 
   3300     4.17      0.33 
   3350     4.18      0.29 
   3400     3.76      0.31 
   3450     4.21      0.28 
   3500     4.49      0.35 
   3550     4.68      0.29 
   3600     4.29      0.34 
   3650     4.34      0.28 
   3700     4.25      0.41 
   3750     4.80      0.29 
   3800     4.50      0.35 
   3850     3.96      0.27 
   3900     4.34      0.34 
   3950     4.51      0.29 
   4000     4.16      0.34 
   4050     4.33      0.28 
   4100     5.09      0.37 
   4150     4.24      0.30 
   4200     3.73      0.36 
   4250     4.58      0.32 
   4300     4.32      0.38 
   4349     4.06      0.28 
   4400     4.30      0.35 
   4450     4.91      0.30 
   4500     4.24      0.35 
   4550     4.50      0.31 
   4600     5.08      0.37 
   4650     4.92      0.30 
   4700     4.55      0.35 
   4750     4.75      0.33 
   4800     4.61      0.40 
   4850     4.10      0.28 
   4900     4.89      0.43 
   4950     4.92      0.30 
   5000     4.65      0.36 
   5050     4.85      0.32 
   5100     4.84      0.39 
   5150     4.45      0.33 
   5200     4.87      0.37 
   5250     4.85      0.33 
   5300     4.54      0.35 
   5349     5.17      0.30 
   5400     4.45      0.34 
   5450     4.52      0.32 
   5500     4.50      0.35 
   5549     4.79      0.29 
   5599     4.73      0.42 
   5650     4.89      0.29 
   5700     4.28      0.35 
   5749     4.01      0.29 
   5799     4.48      0.35 
   5849     4.95      0.29 
   5900     4.64      0.35 
   5949     4.79      0.29 
   6000     4.28      0.35 
   6049     3.96      0.27 
   6099     4.63      0.41 
   6149     4.78      0.29 
   6199     5.02      0.36 
   6250     5.00      0.30 
   6300     4.78      0.35 
   6350     4.93      0.30 
   6400     4.45      0.35 
   6450     4.54      0.28 
   6500     4.87      0.36 
   6550     4.73      0.32 
   6599     4.94      0.36 
   6650     4.01      0.27 
   6700     4.33      0.34 
   6750     5.09      0.30 
   6799     4.98      0.37 
   6849     5.66      0.32 
   6900     4.78      0.41 
   6950     4.59      0.31 
   6999     5.20      0.37 
   7049     4.87      0.29 
   7099     4.51      0.38 
   7150     5.27      0.32 
   7199     5.03      0.37 
   7249     5.15      0.30 
   7299     4.70      0.35 
   7349     4.96      0.30 
   7399     4.84      0.36 
   7449     4.54      0.29 
   7500     4.39      0.34 
   7550     4.56      0.29 
   7600     4.95      0.36 
   7650     4.75      0.32 
   7700     4.67      0.36 
   7750     4.99      0.30 
   7800     5.50      0.43 
   7849     4.95      0.30 
   7900     5.21      0.38 
   7950     5.02      0.32 
   8000     4.67      0.36 
   8050     5.04      0.30 
   8099     4.93      0.36 
   8150     4.69      0.32 
   8199     5.29      0.38 
   8249     4.73      0.29 
   8300     5.43      0.38 
   8349     5.29      0.33 
   8400     4.66      0.36 
   8449     5.10      0.31 
   8499     4.92      0.40 
   8550     4.98      0.32 
   8599     5.93      0.40 
   8649     5.63      0.35 
   8699     5.24      0.37 
   8750     5.02      0.30 
   8800     5.06      0.37 
   8850     5.27      0.31 
   8900     4.38      0.42 
   8949     5.25      0.31 
   9000     4.67      0.35 
   9050     5.21      0.30 
   9099     5.53      0.38 
   9150     5.29      0.34 
   9199     5.39      0.38 
   9250     4.79      0.29 
   9300     5.00      0.36 
   9349     4.87      0.32 
   9400     4.84      0.43 
   9449     5.64      0.32 
   9499     5.82      0.47 
   9550     5.28      0.31 
   9599     5.42      0.38 
   9650     5.50      0.31 
   9699     5.59      0.38 
   9749     5.53      0.33 
   9800     5.17      0.37 
   9849     5.23      0.33 
   9899     6.18      0.40 
   9949     5.33      0.31 
  10000     4.88      0.36 
  10050     6.63      0.37 
  10100     6.28      0.49 
  10150     6.01      0.32 
  10200     5.32      0.37 
  10250     5.88      0.32 
  10300     5.67      0.42 
  10350     6.17      0.33 
  10400     6.66      0.42 
  10450     5.50      0.34 
  10500     5.82      0.39 
  10550     6.05      0.34 
  10600     6.61      0.42 
  10650     5.87      0.33 
  10700     6.98      0.42 
  10750     5.94      0.32 
  10800     7.03      0.43 
  10850     6.47      0.34 
  10900     6.60      0.42 
  10950     6.76      0.34 
  11000     7.23      0.43 
  11050     7.13      0.39 
  11100     7.26      0.44 
  11150     7.69      0.44 
  11200     7.55      0.49 
  11250     7.14      0.35 
  11300     7.46      0.44 
  11350     7.76      0.37 
  11400     8.17      0.52 
  11450     6.64      0.34 
  11500     7.46      0.50 
  11550     7.76      0.41 
  11600     7.71      0.45 
  11650     7.61      0.37 
  11700     7.74      0.46 
  11750     8.36      0.45 
  11800     8.31      0.47 
  11850     8.86      0.39 
  11900     7.75      0.45 
  11950     8.65      0.39 
  12000     9.29      0.55 
  12050     8.20      0.38 
  12100     8.35      0.47 
  12150     8.70      0.39 
  12200     9.33      0.50 
  12250     8.42      0.43 
  12300     9.23      0.53 
  12350     8.23      0.39 
  12400     8.80      0.48 
  12450     8.42      0.38 
  12500     8.59      0.48 
  12550     8.40      0.39 
  12600     8.42      0.55 
  12650     8.15      0.38 
  12700     9.03      0.48 
  12750     8.64      0.39 
  12800     8.58      0.48 
  12850     8.84      0.39 
  12900     9.07      0.48 
  12950     9.54      0.41 
  13000     9.72      0.56 
  13050     8.61      0.39 
  13100     8.43      0.47 
  13150     9.54      0.43 
  13200     8.03      0.47 
  13250     9.65      0.44 
  13300     8.97      0.48 
  13350     8.63      0.39 
  13400     8.88      0.48 
  13450     8.48      0.42 
  13500     9.48      0.50 
  13550     9.32      0.40 
  13600     8.62      0.47 
  13650     8.18      0.38 
  13700     7.44      0.58 
  13750     8.35      0.38 
  13800     7.75      0.46 
  13850     8.54      0.44 
  13900     9.14      0.49 
  13950     9.20      0.40 
  14000     8.11      0.54 
  14050     9.80      0.45 
  14100     8.14      0.46 
  14150     8.41      0.38 
  14200     8.21      0.52 
  14250     8.62      0.39 
  14300     8.57      0.47 
  14350     8.50      0.38 
  14400     8.68      0.55 
  14450     7.50      0.41 
  14500     7.70      0.45 
  14550     8.48      0.42 
  14600     8.18      0.47 
  14650     8.00      0.40 
  14700     8.36      0.47 
  14750     8.18      0.38 
  14800     8.41      0.47 
  14850     8.04      0.38 
  14900     7.99      0.46 
  14950     8.20      0.38 
  15000     8.64      0.55 
  15050     7.62      0.40 
  15100     7.66      0.45 
  15150     7.89      0.37 
  15200     8.47      0.47 
  15250     8.05      0.43 
  15300     8.00      0.46 
  15350     8.49      0.38 
  15400     7.96      0.45 
  15450     8.52      0.41 
  15500     7.67      0.45 
  15550     7.87      0.37 
  15600     8.40      0.47 
  15650     8.58      0.39 
  15700     8.46      0.47 
  15750     7.95      0.40 
  15800     8.47      0.54 
  15850     8.40      0.42 
  15900     8.25      0.46 
  15950     8.24      0.38 
  16000     8.77      0.48 
  16050     8.13      0.38 
  16100     7.73      0.45 
  16150     7.68      0.37 
  16200     8.54      0.47 
  16250     8.37      0.38 
  16300     8.82      0.48 
  16350     8.05      0.37 
  16400     7.41      0.44 
  16450     8.06      0.38 
  16500     7.49      0.45 
  16550     7.58      0.38 
  16600     7.47      0.44 
  16650     7.38      0.39 
  16700     7.75      0.45 
  16750     7.28      0.36 
  16800     8.12      0.46 
  16850     7.95      0.40 
  16900     7.15      0.44 
  16950     7.79      0.40 
  17000     8.36      0.47 
  17050     6.41      0.34 
  17100     7.64      0.45 
  17150     7.50      0.36 
  17200     6.74      0.44 
  17250     6.60      0.35 
  17300     7.36      0.44 
  17350     7.06      0.35 
  17400     6.85      0.43 
  17450     7.65      0.36 
  17500     7.52      0.44 
  17550     7.34      0.36 
  17600     7.57      0.45 
  17650     6.94      0.35 
  17700     7.54      0.44 
  17750     6.72      0.35 
  17800     7.12      0.48 
  17850     7.29      0.36 
  17900     6.95      0.50 
  17950     6.67      0.34 
  18000     7.02      0.43 
  18050     6.52      0.36 
  18100     6.50      0.41 
  18150     7.27      0.36 
  18200     6.44      0.49 
  18250     6.65      0.34 
  18300     6.32      0.41 
  18350     7.00      0.35 
  18400     6.95      0.42 
  18450     7.22      0.35 
  18500     6.26      0.41 
  18550     6.88      0.37 
  18600     6.86      0.42 
  18650     6.78      0.38 
  18700     6.30      0.41 
  18750     6.87      0.35 
  18800     6.86      0.43 
  18850     5.93      0.37 
  18900     6.50      0.48 
  18950     6.65      0.34 
  19000     5.90      0.44 
  19050     6.06      0.33 
  19100     6.65      0.42 
  19150     6.25      0.34 
  19200     6.06      0.40 
  19250     6.29      0.35 
  19300     5.92      0.40 
  19350     7.06      0.39 
  19400     6.15      0.40 
  19450     5.98      0.33 
  19500     6.17      0.40 
  19550     5.80      0.35 
  19600     6.31      0.41 
  19650     6.30      0.33 
  19700     6.15      0.41 
  19750     7.07      0.35 
  19800     6.81      0.42 
  19850     6.36      0.34 
  19900     6.23      0.41 
  19950     6.82      0.37 
  20000     6.83      0.42 
  20050     6.47      0.33 
  20100     6.27      0.41 
  20150     6.04      0.32 
  20200     6.57      0.41 
  20250     7.00      0.35 
  20300     6.17      0.40 
  20350     7.43      0.63 
