#  Table mos_b60_10b_0134521601.lc[1]  Wed 10:13:28 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     12.74      0.51 
     60     12.15      0.49 
    120     13.18      0.51 
    180     12.41      0.49 
    240     13.17      0.51 
    300     12.93      0.50 
    360     12.76      0.50 
    420     12.13      0.49 
    480     12.67      0.50 
    540     12.20      0.49 
    600     11.23      0.47 
    659     11.96      0.48 
    719     12.94      0.50 
    780     12.72      0.50 
    840     12.89      0.50 
    900     12.58      0.50 
    959     13.19      0.51 
   1020     12.99      0.50 
   1080     13.34      0.51 
   1140     12.83      0.50 
   1200     12.21      0.49 
   1260     13.21      0.51 
   1320     12.50      0.50 
   1380     12.38      0.49 
   1440     12.45      0.49 
   1500     13.33      0.51 
   1560     12.78      0.50 
   1620     12.12      0.49 
   1680     12.84      0.50 
   1740     12.08      0.49 
   1800     12.45      0.49 
   1860     13.35      0.51 
   1920     12.65      0.50 
   1980     12.42      0.49 
   2040     12.65      0.50 
   2100     12.10      0.49 
   2160     12.58      0.50 
   2220     12.94      0.50 
   2280     12.34      0.49 
   2340     12.73      0.50 
   2400     12.56      0.50 
   2460     11.99      0.49 
   2520     12.01      0.49 
   2580     12.06      0.49 
   2640     11.60      0.48 
   2700     12.04      0.49 
   2760     12.09      0.49 
   2820     12.79      0.50 
   2880     12.11      0.49 
   2940     12.36      0.49 
   3000     11.79      0.48 
   3060     12.21      0.49 
   3120     12.74      0.50 
   3180     13.21      0.51 
   3240     12.92      0.50 
   3300     11.78      0.48 
   3360     12.48      0.50 
   3420     12.38      0.49 
   3480     12.48      0.49 
   3540     13.15      0.51 
   3600     12.30      0.49 
   3660     11.83      0.48 
   3720     11.88      0.48 
   3780     12.63      0.50 
   3840     12.09      0.49 
   3900     12.60      0.50 
   3960     12.24      0.49 
   4020     13.11      0.51 
   4080     11.64      0.48 
   4140     12.08      0.49 
   4200     12.83      0.50 
   4260     13.02      0.51 
   4320     12.77      0.50 
   4380     12.30      0.49 
   4440     12.38      0.49 
   4500     11.99      0.48 
   4560     12.56      0.50 
   4620     12.22      0.49 
   4680     12.85      0.50 
   4740     12.05      0.49 
   4800     12.64      0.50 
   4860     11.69      0.48 
   4920     12.08      0.49 
   4979     13.03      0.51 
   5040     12.24      0.49 
   5100     12.63      0.50 
   5160     12.91      0.50 
   5220     11.63      0.48 
   5279     12.04      0.49 
   5340     12.67      0.50 
   5400     12.12      0.49 
   5460     11.82      0.48 
   5520     12.49      0.49 
   5580     12.44      0.49 
   5639     11.86      0.48 
   5700     12.27      0.49 
   5759     11.75      0.48 
   5820     12.27      0.49 
   5879     11.66      0.48 
   5939     11.94      0.48 
   6000     12.08      0.49 
   6060     12.03      0.49 
   6119     12.19      0.49 
   6179     11.85      0.48 
   6239     11.50      0.47 
   6300     11.84      0.48 
   6360     12.42      0.49 
   6420     12.43      0.49 
   6479     12.38      0.49 
   6540     11.99      0.48 
   6599     11.32      0.47 
   6659     12.01      0.49 
   6720     12.30      0.49 
   6779     11.46      0.47 
   6840     12.09      0.49 
   6900     11.98      0.48 
   6959     11.75      0.48 
   7020     12.52      0.50 
   7079     12.97      0.51 
   7140     11.68      0.48 
   7199     12.69      0.50 
   7259     11.70      0.48 
   7319     12.04      0.49 
   7379     12.70      0.50 
   7439     12.56      0.50 
   7500     12.46      0.49 
   7560     11.99      0.48 
   7620     12.11      0.49 
   7680     12.07      0.49 
   7740     12.76      0.50 
   7800     12.47      0.50 
   7859     11.96      0.49 
   7920     13.59      0.52 
   7979     13.73      0.52 
   8040     12.03      0.49 
   8099     12.57      0.50 
   8160     12.36      0.49 
   8220     12.13      0.49 
   8279     12.36      0.49 
   8339     11.92      0.48 
   8400     12.80      0.50 
   8459     12.43      0.49 
   8519     11.28      0.47 
   8579     11.50      0.48 
   8640     11.27      0.47 
   8699     11.08      0.47 
   8760     12.31      0.49 
   8820     11.56      0.48 
   8879     11.96      0.49 
   8940     12.25      0.49 
   9000     11.54      0.48 
   9059     11.42      0.47 
   9120     12.83      0.50 
   9179     11.39      0.47 
   9240     12.05      0.49 
   9300     11.77      0.48 
   9359     12.07      0.49 
   9419     12.34      0.49 
   9480     11.98      0.48 
   9540     13.74      0.52 
   9599     13.65      0.52 
   9659     13.73      0.52 
   9720     13.57      0.52 
   9779     13.24      0.51 
   9839     12.18      0.49 
   9899     14.33      0.53 
   9959     14.43      0.53 
  10020     14.64      0.54 
  10080     13.73      0.52 
  10140     14.75      0.54 
  10200     14.55      0.54 
  10260     15.30      0.55 
  10320     14.29      0.53 
  10380     14.16      0.53 
  10440     15.21      0.55 
  10500     15.16      0.55 
  10560     15.05      0.54 
  10620     14.05      0.53 
  10680     15.16      0.54 
  10740     15.36      0.55 
  10800     15.26      0.55 
  10860     14.81      0.54 
  10920     14.57      0.53 
  10980     15.26      0.55 
  11040     14.48      0.53 
  11100     14.70      0.54 
  11160     15.25      0.55 
  11220     15.19      0.55 
  11280     14.37      0.53 
  11340     15.28      0.55 
  11400     14.71      0.54 
  11460     14.52      0.53 
  11520     14.16      0.53 
  11580     15.86      0.56 
  11640     14.18      0.53 
  11700     15.60      0.55 
  11760     14.66      0.54 
  11820     16.08      0.57 
  11880     14.10      0.54 
  11940     14.85      0.54 
  12000     15.04      0.55 
  12060     15.26      0.55 
  12120     15.34      0.55 
  12180     14.59      0.54 
  12240     14.65      0.55 
  12300     15.73      0.57 
  12360     14.19      0.54 
  12420     15.27      0.56 
  12480     15.33      0.56 
  12540     15.34      0.55 
  12600     16.28      0.57 
  12660     16.84      0.58 
  12720     14.51      0.54 
  12780     15.95      0.58 
  12840     15.59      0.56 
  12900     14.93      0.55 
  12960     15.43      0.55 
  13020     15.19      0.55 
  13080     15.58      0.57 
  13140     16.11      0.57 
  13200     15.51      0.57 
  13260     14.89      0.55 
  13320     16.54      0.58 
  13380     15.49      0.55 
  13440     15.49      0.57 
  13500     15.56      0.57 
  13560     15.89      0.58 
  13620     15.59      0.57 
  13680     15.76      0.56 
  13740     15.29      0.56 
  13800     15.47      0.56 
  13860     15.89      0.57 
  13920     15.35      0.56 
  13980     15.48      0.55 
  14040     15.11      0.55 
  14100     15.60      0.56 
  14160     16.18      0.57 
  14220     16.35      0.58 
  14280     15.28      0.56 
  14340     15.99      0.57 
  14400     15.06      0.56 
  14460     14.65      0.54 
  14520     14.34      0.53 
  14580     15.46      0.56 
  14640     16.03      0.58 
  14700     15.71      0.57 
  14760     15.71      0.57 
  14820     15.06      0.55 
  14880     15.86      0.57 
  14940     15.81      0.56 
  15000     16.48      0.58 
  15060     15.37      0.57 
  15120     15.10      0.55 
  15180     14.26      0.55 
  15240     14.94      0.55 
  15300     16.15      0.57 
  15360     13.81      0.62 
  15480     13.86      0.69 
  15540     14.59      0.55 
  15600     14.53      0.55 
  15660     16.02      0.58 
  15720     14.70      0.55 
  15780     15.01      0.56 
  15840     14.73      1.53 
