#  Table pn_b70_10b_0134521601.lc[1]  Wed 10:13:29 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     37.76      0.93 
     69     37.57      0.93 
    140     38.42      0.94 
    210     37.33      0.93 
    280     38.16      0.94 
    350     36.99      0.92 
    420     38.32      0.94 
    490     37.77      0.94 
    559     37.96      0.94 
    630     37.79      0.93 
    699     36.04      0.91 
    770     38.37      0.94 
    840     35.53      0.90 
    909     37.18      0.93 
    980     38.03      0.94 
   1050     37.11      0.93 
   1120     36.63      0.92 
   1190     35.27      0.90 
   1260     35.30      0.90 
   1330     36.49      0.92 
   1400     36.94      0.92 
   1470     36.17      0.91 
   1540     35.39      0.90 
   1610     36.01      0.91 
   1680     35.65      0.91 
   1750     35.09      0.90 
   1820     35.94      0.91 
   1890     36.47      0.92 
   1960     37.25      0.93 
   2030     37.11      0.93 
   2100     36.54      0.92 
   2170     36.07      0.91 
   2240     37.57      0.93 
   2310     35.43      0.90 
   2380     37.02      0.92 
   2450     36.23      0.91 
   2520     38.57      0.94 
   2590     35.58      0.91 
   2660     37.60      0.93 
   2730     36.55      0.92 
   2800     37.44      0.93 
   2870     37.53      0.93 
   2940     36.78      0.92 
   3010     36.88      0.92 
   3080     36.86      0.92 
   3150     38.41      0.94 
   3220     36.26      0.91 
   3290     37.67      0.93 
   3360     37.43      0.93 
   3430     37.64      0.93 
   3500     37.00      0.92 
   3570     37.27      0.93 
   3640     35.14      0.90 
   3710     36.24      0.92 
   3780     36.01      0.91 
   3850     35.60      0.91 
   3920     35.09      0.90 
   3990     37.49      0.93 
   4060     34.39      0.89 
   4130     35.80      0.91 
   4200     35.10      0.90 
   4270     35.76      0.91 
   4340     34.62      0.89 
   4410     35.79      0.91 
   4480     33.90      0.88 
   4550     34.75      0.90 
   4620     34.79      0.90 
   4690     35.17      0.90 
   4760     33.69      0.88 
   4830     35.85      0.91 
   4900     35.53      0.90 
   4970     35.41      0.90 
   5040     35.07      0.90 
   5110     34.41      0.89 
   5180     35.10      0.90 
   5250     35.40      0.90 
   5320     34.34      0.89 
   5389     37.76      0.93 
   5460     35.33      0.90 
   5529     33.90      0.89 
   5599     36.16      0.91 
   5669     34.73      0.90 
   5740     34.84      0.90 
   5810     35.85      0.91 
   5879     36.85      0.92 
   5949     36.92      0.92 
   6020     36.75      0.92 
   6089     34.88      0.90 
   6159     38.63      0.94 
   6229     37.66      0.93 
   6300     38.77      0.95 
   6370     37.55      0.93 
   6440     37.15      0.93 
   6510     37.14      0.93 
   6580     37.65      0.93 
   6650     36.95      0.92 
   6720     35.25      0.90 
   6790     36.25      0.91 
   6859     35.32      0.90 
   6929     36.21      0.92 
   6999     36.21      0.91 
   7070     37.26      0.93 
   7140     36.22      0.92 
   7209     36.66      0.92 
   7279     34.73      0.90 
   7349     34.04      0.89 
   7419     36.59      0.92 
   7489     35.55      0.91 
   7560     35.51      0.91 
   7630     34.80      0.90 
   7700     34.14      0.89 
   7770     35.54      0.91 
   7840     35.39      0.90 
   7909     35.69      0.91 
   7979     36.42      0.92 
   8050     38.57      0.94 
   8120     37.90      0.94 
   8190     40.49      0.97 
   8259     40.38      0.97 
   8329     41.82      0.98 
   8400     42.36      0.99 
   8470     42.98      1.00 
   8540     42.93      1.00 
   8609     44.88      1.02 
   8679     45.95      1.03 
   8750     46.75      1.04 
   8820     46.58      1.04 
   8890     49.99      1.08 
   8959     48.70      1.06 
   9029     47.98      1.05 
   9099     46.86      1.04 
   9170     47.73      1.05 
   9240     45.54      1.03 
   9309     46.43      1.03 
   9379     48.58      1.06 
   9449     48.60      1.06 
   9519     49.09      1.07 
   9589     46.34      1.04 
   9659     48.36      1.06 
   9730     48.44      1.06 
   9800     49.63      1.07 
   9870     46.84      1.04 
   9940     47.93      1.05 
  10010     47.01      1.04 
  10080     50.22      1.08 
  10150     47.42      1.05 
  10220     47.41      1.05 
  10290     47.45      1.05 
  10360     45.69      1.03 
  10430     48.85      1.07 
  10500     48.67      1.07 
  10570     47.44      1.05 
  10640     45.61      1.03 
  10710     47.60      1.05 
  10780     46.80      1.06 
  10850     47.77      1.07 
  10920     46.54      1.06 
  10990     49.14      1.09 
  11060     48.08      1.08 
  11130     46.82      1.06 
  11200     47.46      1.06 
  11270     49.36      1.08 
  11340     49.67      1.09 
  11410     48.38      1.09 
  11480     47.78      1.07 
  11550     48.14      1.06 
  11620     46.83      1.05 
  11690     46.90      1.05 
  11760     46.60      1.07 
  11830     50.08      1.10 
  11900     47.15      1.07 
  11970     48.26      1.07 
  12040     47.25      1.06 
  12110     47.12      1.08 
  12180     46.74      1.08 
  12250     47.92      1.08 
  12320     47.46      1.07 
  12390     47.22      1.06 
  12460     46.88      1.05 
  12530     44.96      1.05 
  12600     46.87      1.05 
  12670     47.77      1.06 
  12740     46.15      1.04 
  12810     48.03      1.07 
  12880     43.99      1.04 
  12950     45.47      1.05 
  13020     45.76      1.06 
  13090     44.33      1.03 
  13160     47.31      1.06 
  13230     45.95      1.06 
  13300     46.28      1.07 
  13370     46.80      1.07 
  13440     45.76      1.06 
  13510     45.22      1.05 
  13580     46.22      1.05 
  13650     44.56      1.04 
