#  Table rgs12o12_b60_10b_0134521601.lc[1]  Wed 15:45:06 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     6.62      0.40 
     60     6.50      0.37 
    120     6.27      0.33 
    180     6.28      0.33 
    240     6.04      0.35 
    300     5.98      0.34 
    360     6.24      0.34 
    420     6.93      0.35 
    480     6.75      0.34 
    540     6.87      0.35 
    600     7.24      0.36 
    659     6.92      0.38 
    719     6.26      0.33 
    780     6.96      0.35 
    840     6.75      0.34 
    900     6.70      0.34 
    959     6.39      0.33 
   1020     6.07      0.33 
   1080     6.83      0.35 
   1140     6.57      0.37 
   1200     6.21      0.37 
   1260     6.51      0.34 
   1320     7.02      0.36 
   1380     6.21      0.35 
   1440     6.33      0.33 
   1500     5.79      0.32 
   1560     5.80      0.32 
   1620     5.66      0.34 
   1680     6.31      0.36 
   1740     6.38      0.33 
   1800     6.94      0.35 
   1860     6.21      0.37 
   1920     7.23      0.38 
   1980     6.27      0.33 
   2040     6.17      0.33 
   2100     6.92      0.35 
   2160     6.65      0.34 
   2220     6.21      0.37 
   2280     6.24      0.38 
   2340     6.54      0.34 
   2400     5.91      0.32 
   2460     5.59      0.32 
   2520     5.83      0.33 
   2580     5.93      0.37 
   2640     6.38      0.33 
   2700     6.16      0.34 
   2760     5.28      0.32 
   2820     5.82      0.35 
   2880     5.17      0.33 
   2940     5.26      0.31 
   3000     5.03      0.30 
   3060     4.65      0.29 
   3120     4.87      0.30 
   3180     4.49      0.31 
   3240     4.82      0.33 
   3300     4.94      0.30 
   3360     4.27      0.29 
   3420     4.58      0.29 
   3480     4.51      0.28 
   3540     4.09      0.27 
   3600     3.88      0.26 
   3660     4.55      0.31 
   3720     4.17      0.27 
   3780     3.65      0.26 
   3840     3.68      0.26 
   3900     4.08      0.27 
   3960     3.76      0.27 
   4020     4.01      0.29 
   4080     4.15      0.30 
   4140     3.89      0.26 
   4200     4.23      0.31 
   4260     3.67      0.26 
   4320     3.51      0.25 
   4380     3.90      0.26 
   4440     3.86      0.31 
   4500     3.68      0.26 
   4560     3.37      0.27 
   4620     3.83      0.26 
   4680     4.05      0.29 
   4740     3.65      0.26 
   4800     3.42      0.25 
   4860     3.89      0.26 
   4920     3.78      0.26 
   4979     4.10      0.27 
   5040     3.97      0.27 
   5100     3.96      0.29 
   5160     4.00      0.28 
   5220     3.91      0.29 
   5279     3.66      0.25 
   5340     4.09      0.29 
   5400     3.98      0.26 
   5460     3.40      0.25 
   5520     3.84      0.26 
   5580     4.02      0.30 
   5639     3.71      0.28 
   5700     3.63      0.28 
   5759     4.06      0.29 
   5820     3.75      0.26 
   5879     3.84      0.26 
   5939     3.99      0.27 
   6000     3.80      0.26 
   6060     3.45      0.27 
   6119     3.76      0.26 
   6179     3.56      0.26 
   6239     3.43      0.25 
   6300     4.11      0.29 
   6360     4.22      0.27 
   6420     4.25      0.28 
   6479     3.93      0.27 
   6540     3.50      0.26 
   6599     3.84      0.28 
   6659     3.66      0.28 
   6720     3.69      0.26 
   6779     3.41      0.25 
   6840     3.83      0.26 
   6900     3.37      0.27 
