#  Table mos_b60_14_0134522101.lc[1]  Mon 11:32:37 02-Dec-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     33.16      0.86 
     60     32.61      0.82 
    120     33.65      0.83 
    180     32.27      0.82 
    240     32.43      0.82 
    300     32.07      0.82 
    360     33.66      0.83 
    420     32.92      0.83 
    480     34.62      0.84 
    540     34.54      0.84 
    600     32.34      0.82 
    659     32.36      0.82 
    719     34.22      0.84 
    780     34.47      0.85 
    840     33.99      0.83 
    900     34.45      0.84 
    959     33.69      0.84 
   1020     32.24      0.82 
   1080     33.82      0.84 
   1140     32.93      0.83 
   1200     32.84      0.83 
   1260     33.24      0.83 
   1320     33.47      0.83 
   1380     32.39      0.82 
   1440     34.44      0.85 
   1500     31.29      0.81 
   1560     32.22      0.81 
   1620     33.44      0.83 
   1680     32.29      0.81 
   1740     33.31      0.83 
   1800     33.52      0.82 
   1860     33.70      0.83 
   1920     32.60      0.82 
   1980     32.88      0.82 
   2040     32.62      0.82 
   2100     33.41      0.83 
   2160     32.31      0.82 
   2220     31.33      0.82 
   2280     31.19      0.80 
   2340     31.78      0.82 
   2400     32.32      0.81 
   2460     31.92      0.81 
   2520     30.15      0.79 
   2580     30.98      0.80 
   2640     30.21      0.79 
   2700     30.59      0.79 
   2760     29.51      0.77 
   2820     31.19      0.80 
   2880     31.93      0.81 
   2940     30.26      0.80 
   3000     30.45      0.80 
   3060     29.32      0.78 
   3120     28.82      0.77 
   3180     30.65      0.80 
   3240     28.64      0.76 
   3300     29.21      0.78 
   3360     27.54      0.75 
   3420     30.14      0.79 
   3480     28.95      0.77 
   3540     29.70      0.78 
   3600     28.67      0.77 
   3660     27.91      0.76 
   3720     28.54      0.77 
   3780     29.42      0.78 
   3840     29.24      0.77 
   3900     27.67      0.76 
   3960     27.94      0.76 
   4020     29.01      0.77 
   4080     28.93      0.77 
   4140     28.34      0.76 
   4200     29.58      0.78 
   4260     28.07      0.76 
   4320     27.66      0.75 
   4380     27.84      0.76 
   4440     26.79      0.74 
   4500     27.24      0.75 
   4560     28.37      0.76 
   4620     27.88      0.75 
   4680     27.02      0.75 
   4740     27.10      0.75 
   4800     27.55      0.75 
   4860     27.86      0.76 
   4920     26.32      0.73 
   4979     27.82      0.75 
   5040     26.44      0.74 
   5100     27.93      0.76 
   5160     27.56      0.76 
   5220     27.28      0.75 
   5279     27.18      0.75 
   5340     27.07      0.74 
   5400     26.17      0.74 
   5460     26.81      0.74 
   5520     26.81      0.74 
   5580     25.09      0.72 
   5639     26.34      0.74 
   5700     26.91      0.74 
   5759     26.58      0.74 
   5820     25.17      0.73 
   5879     25.21      0.72 
   5939     26.08      0.74 
   6000     24.21      0.70 
   6060     24.10      0.71 
   6119     26.00      0.73 
   6179     25.71      0.72 
   6239     25.41      0.72 
   6300     25.21      0.73 
   6360     23.87      0.70 
   6420     25.78      0.72 
   6479     23.31      0.70 
   6540     24.48      0.71 
   6599     25.12      0.72 
   6659     24.16      0.70 
   6720     23.53      0.70 
   6779     23.20      0.69 
   6840     22.84      0.68 
   6900     23.62      0.70 
   6959     23.06      0.69 
   7020     22.92      0.69 
   7079     23.15      0.68 
   7140     21.97      0.67 
   7199     23.64      0.69 
   7259     20.72      0.65 
   7319     23.74      0.69 
   7379     22.55      0.68 
   7439     22.16      0.68 
   7500     23.02      0.68 
   7560     23.42      0.68 
   7620     23.01      0.69 
   7680     22.14      0.68 
   7740     22.00      0.67 
   7800     21.69      0.67 
   7859     22.62      0.68 
   7920     22.89      0.68 
   7979     22.14      0.68 
   8040     22.10      0.67 
   8099     21.84      0.67 
   8160     22.43      0.67 
   8220     22.04      0.67 
   8279     21.84      0.67 
   8339     22.15      0.68 
   8400     20.39      0.66 
   8459     20.87      0.65 
   8519     22.22      0.67 
   8579     21.53      0.67 
   8640     21.79      0.67 
   8699     21.30      0.66 
   8760     21.17      0.65 
   8820     20.54      0.65 
   8879     20.82      0.66 
   8940     20.60      0.64 
   9000     21.44      0.67 
   9059     18.88      0.63 
   9120     21.31      0.65 
   9179     19.50      0.63 
   9240     19.60      0.63 
   9300     21.51      0.67 
   9359     20.54      0.65 
   9419     20.95      0.66 
   9480     20.02      0.64 
   9540     19.97      0.63 
   9599     20.00      0.64 
   9659     19.65      0.64 
   9720     19.79      0.63 
   9779     20.79      0.65 
   9839     20.65      0.65 
   9899     20.54      0.64 
   9959     19.38      0.63 
  10020     19.97      0.64 
  10080     21.03      0.66 
  10140     19.51      0.63 
  10200     19.83      0.63 
  10260     21.02      0.66 
  10320     19.67      0.64 
  10380     19.91      0.64 
  10440     19.26      0.62 
  10500     19.60      0.63 
  10560     17.67      0.60 
  10620     18.33      0.60 
  10680     18.28      0.62 
  10740     19.04      0.62 
  10800     18.89      0.62 
  10860     17.80      0.61 
  10920     18.07      0.61 
  10980     17.45      0.60 
  11040     18.20      0.61 
  11100     17.33      0.59 
  11160     18.35      0.60 
  11220     18.09      0.60 
  11280     17.79      0.60 
  11340     18.01      0.61 
  11400     18.08      0.60 
  11460     17.13      0.60 
  11520     16.53      0.58 
  11580     16.85      0.59 
  11640     16.39      0.57 
  11700     17.69      0.60 
  11760     18.73      0.62 
  11820     18.36      0.61 
  11880     17.83      0.60 
  11940     17.44      0.60 
  12000     17.71      0.61 
  12060     17.36      0.60 
  12120     17.18      0.60 
  12180     18.83      0.63 
  12240     17.64      0.60 
  12300     16.43      0.58 
  12360     18.35      0.62 
  12420     18.39      0.60 
  12480     17.18      0.59 
  12540     16.85      0.60 
  12600     16.30      0.59 
  12660     17.80      0.61 
  12720     16.95      0.58 
  12780     17.28      0.60 
  12840     16.96      0.59 
  12900     16.62      0.58 
  12960     17.06      0.59 
  13020     18.00      0.60 
  13080     17.40      0.61 
  13140     16.11      0.58 
  13200     16.57      0.58 
  13260     17.92      0.60 
  13320     16.23      0.57 
  13380     16.36      0.57 
  13440     14.99      0.57 
  13500     17.67      0.60 
  13560     16.44      0.58 
  13620     15.10      0.56 
  13680     14.96      0.55 
  13740     15.22      0.57 
  13800     16.04      0.58 
  13860     14.93      0.56 
  13920     15.45      0.56 
  13980     15.35      0.56 
  14040     15.64      0.57 
  14100     14.40      0.55 
  14160     15.14      0.56 
  14220     14.93      0.54 
  14280     15.01      0.55 
  14340     14.97      0.55 
  14400     16.50      0.58 
  14460     15.30      0.55 
  14520     15.22      0.56 
  14580     15.54      0.56 
  14640     17.16      0.60 
  14700     16.89      0.59 
  14760     15.72      0.57 
  14820     15.43      0.56 
  14880     16.60      0.58 
  14940     15.61      0.56 
  15000     15.03      0.55 
  15060     15.09      0.55 
  15120     15.09      0.56 
  15180     15.08      0.56 
  15240     14.37      0.54 
  15300     13.95      0.53 
  15360     14.53      0.55 
  15420     13.17      0.53 
  15480     14.47      0.53 
  15540     13.71      0.53 
  15600     12.71      0.52 
  15660     13.72      0.52 
  15720     14.12      0.54 
  15780     14.36      0.53 
  15840     13.57      0.53 
  15900     13.61      0.53 
  15960     14.43      0.54 
  16020     15.18      0.56 
  16080     13.33      0.52 
  16140     13.25      0.51 
  16200     13.49      0.52 
  16260     13.78      0.53 
  16320     12.96      0.51 
  16380     13.30      0.52 
  16440     13.46      0.53 
  16500     14.15      0.53 
  16560     13.63      0.53 
  16620     13.41      0.52 
  16680     12.62      0.51 
  16740     14.11      0.52 
  16800     13.23      0.52 
  16860     13.23      0.52 
  16920     13.35      0.51 
  16980     13.73      0.53 
  17040     13.33      0.53 
  17100     14.11      0.54 
  17160     14.44      0.53 
  17220     14.52      0.55 
  17280     13.30      0.52 
  17340     13.84      0.53 
  17400     13.41      0.53 
  17460     12.93      0.52 
  17520     12.84      0.51 
  17580     13.29      0.53 
  17640     13.54      0.52 
  17700     13.92      0.53 
  17760     13.86      0.53 
  17820     14.68      0.55 
  17880     13.78      0.53 
  17940     13.71      0.53 
  18000     12.98      0.52 
  18060     13.97      0.54 
  18120     14.49      0.54 
  18180     14.64      0.55 
  18240     13.83      0.53 
  18300     14.37      0.55 
  18360     13.42      0.53 
  18420     14.74      0.55 
  18480     14.52      0.55 
  18540     13.82      0.54 
  18600     14.19      0.54 
  18660     14.20      0.54 
  18720     14.16      0.54 
  18780     14.11      0.53 
  18840     13.76      0.53 
  18900     15.28      0.55 
  18960     14.53      0.54 
  19020     14.03      0.54 
  19080     14.33      0.55 
  19140     14.14      0.54 
  19200     14.85      0.56 
  19260     14.17      0.54 
  19320     14.82      0.55 
  19380     14.59      0.55 
  19440     15.29      0.56 
  19500     15.57      0.56 
  19560     14.79      0.56 
  19620     14.82      0.54 
  19680     15.24      0.55 
  19740     14.31      0.54 
  19800     15.18      0.55 
  19860     15.32      0.55 
  19920     14.29      0.54 
  19980     15.42      0.57 
  20040     14.27      0.54 
  20100     15.49      0.56 
  20160     13.96      0.53 
  20220     15.13      0.55 
  20280     16.32      0.57 
  20340     15.53      0.56 
  20400     15.34      0.56 
  20460     14.30      0.55 
  20520     14.81      0.54 
  20580     14.47      0.55 
  20640     15.74      0.56 
  20700     15.25      0.56 
  20760     14.30      0.54 
  20820     15.06      0.56 
  20880     16.22      0.57 
  20940     14.36      0.54 
  21000     15.39      0.56 
  21060     15.46      0.56 
  21120     15.31      0.55 
  21180     14.91      0.55 
  21240     14.50      0.54 
  21300     14.38      0.55 
  21360     15.61      0.56 
  21420     15.30      0.56 
  21480     15.48      0.56 
  21540     14.53      0.55 
  21600     14.00      0.54 
  21660     14.36      0.55 
  21720     15.64      0.56 
  21780     14.87      0.55 
  21840     14.36      0.54 
  21900     14.45      0.55 
  21960     14.99      0.55 
  22020     15.43      0.55 
  22080     14.85      0.56 
  22140     15.81      0.57 
  22200     14.12      0.54 
  22260     15.88      0.56 
  22320     15.39      0.55 
  22380     14.88      0.55 
  22440     15.37      0.56 
  22500     15.81      0.57 
  22560     14.83      0.55 
  22620     14.97      0.55 
  22680     14.95      0.55 
  22740     14.61      0.55 
  22800     15.42      0.56 
  22860     15.30      0.56 
  22920     15.66      0.57 
  22980     15.24      0.56 
  23040     16.25      0.58 
  23100     15.12      0.56 
  23160     15.98      0.57 
  23220     16.37      0.57 
  23280     15.60      0.56 
  23340     14.80      0.55 
  23400     14.48      0.55 
  23460     15.64      0.56 
  23520     15.58      0.57 
  23580     14.19      0.54 
  23640     15.97      0.57 
  23700     15.80      0.56 
  23760     15.32      0.56 
  23820     15.58      0.56 
  23880     14.19      0.54 
  23940     14.91      0.55 
  24000     15.10      0.55 
  24060     14.44      0.55 
  24120     15.18      0.55 
  24180     15.10      0.56 
  24240     14.68      0.55 
  24300     15.60      0.57 
  24360     16.05      0.58 
  24420     14.84      0.56 
  24480     14.41      0.54 
  24540     15.83      0.57 
  24600     15.91      0.56 
  24660     14.73      0.55 
  24720     14.69      0.55 
  24780     15.42      0.57 
  24840     15.31      0.56 
  24900     15.63      0.57 
  24960     14.94      0.55 
  25020     14.33      0.55 
  25080     15.37      0.56 
  25140     15.06      0.54 
  25200     14.77      0.55 
  25260     14.69      0.55 
  25320     13.82      0.53 
  25380     14.82      0.54 
  25440     14.96      0.55 
  25500     16.29      0.58 
  25560     14.50      0.55 
  25620     14.19      0.53 
  25680     15.01      0.55 
  25740     14.88      0.54 
  25800     14.32      0.54 
  25860     14.91      0.56 
  25920     15.00      0.55 
  25980     15.14      0.55 
  26040     14.05      0.53 
  26100     15.49      0.57 
  26160     14.14      0.53 
  26220     14.58      0.54 
  26280     14.89      0.55 
  26340     15.93      0.57 
  26400     14.51      0.55 
  26460     15.26      0.57 
  26520     15.91      0.57 
  26580     15.94      0.57 
  26640     15.60      0.58 
  26700     15.77      0.57 
  26760     14.92      0.57 
  26820     15.24      0.56 
  26880     16.34      0.58 
  26940     16.37      0.58 
  27000     16.72      0.58 
  27060     16.38      0.58 
  27120     15.45      0.56 
  27180     16.65      0.57 
  27240     15.82      0.57 
  27300     16.58      0.58 
  27360     15.80      0.57 
  27420     15.94      0.57 
  27480     15.27      0.56 
  27540     15.05      0.55 
  27600     14.93      0.55 
  27660     16.12      0.57 
  27720     15.82      0.57 
  27780     16.61      0.58 
  27840     15.85      0.57 
  27900     16.07      0.57 
  27960     15.56      0.57 
  28020     15.69      0.57 
  28080     15.40      0.58 
  28140     14.78      0.54 
  28200     14.88      0.56 
  28260     15.68      0.56 
  28320     15.19      0.55 
  28380     15.45      0.56 
  28440     15.78      0.57 
  28500     15.40      0.56 
  28560     16.08      0.56 
  28620     14.65      0.55 
  28680     16.09      0.57 
  28740     15.02      0.55 
  28800     16.09      0.57 
  28860     15.87      0.57 
  28920     14.53      0.54 
  28980     15.31      0.55 
  29040     14.12      0.54 
  29100     15.73      0.56 
  29160     15.13      0.56 
  29220     15.71      0.57 
  29280     15.17      0.57 
  29340     14.79      0.55 
  29400     15.17      0.57 
  29460     15.94      0.57 
  29520     15.61      0.57 
  29580     15.93      0.58 
  29639     15.94      0.57 
  29700     15.27      0.55 
  29760     14.81      0.55 
  29820     16.10      0.57 
  29880     15.95      0.57 
  29940     16.17      0.58 
  30000     15.15      0.56 
  30060     14.52      0.54 
  30120     15.12      0.54 
  30180     14.84      0.55 
