#  Table pn_b60_26_0412580401.lc[1]  Wed 10:13:25 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     21.10      0.76 
     60     19.65      0.73 
    120     19.75      0.73 
    180     21.61      0.76 
    240     22.31      0.78 
    300     20.72      0.75 
    360     21.99      0.77 
    420     21.32      0.76 
    480     21.01      0.75 
    540     22.06      0.77 
    600     21.04      0.75 
    659     21.51      0.76 
    719     21.45      0.76 
    780     20.24      0.74 
    840     22.02      0.77 
    900     20.72      0.75 
    959     21.32      0.76 
   1020     22.47      0.78 
   1080     21.22      0.76 
   1140     22.12      0.77 
   1200     22.67      0.78 
   1260     22.71      0.78 
   1320     22.60      0.78 
   1380     21.64      0.76 
   1440     22.05      0.77 
   1500     21.95      0.77 
   1560     21.85      0.77 
   1620     21.55      0.76 
   1680     21.43      0.76 
   1740     22.60      0.78 
   1800     21.85      0.77 
   1860     19.85      0.73 
   1920     21.22      0.76 
   1980     21.12      0.75 
   2040     20.53      0.74 
   2100     21.53      0.76 
   2160     21.44      0.76 
   2220     20.13      0.74 
   2280     19.69      0.73 
   2340     21.76      0.77 
   2400     19.63      0.73 
   2460     20.36      0.74 
   2520     21.19      0.76 
   2580     19.74      0.73 
   2640     20.53      0.75 
   2700     20.65      0.75 
   2760     21.12      0.75 
   2820     19.80      0.73 
   2880     21.14      0.76 
   2940     20.67      0.75 
   3000     20.53      0.74 
   3060     20.20      0.74 
   3120     21.02      0.75 
   3180     20.48      0.74 
   3240     21.20      0.76 
   3300     21.40      0.76 
   3360     21.52      0.76 
   3420     21.56      0.76 
   3480     21.81      0.77 
   3540     20.42      0.74 
   3600     21.76      0.77 
   3660     20.55      0.74 
   3720     22.11      0.77 
   3780     20.86      0.75 
   3840     20.31      0.74 
   3900     19.48      0.73 
   3960     21.01      0.75 
   4020     21.83      0.77 
   4080     19.70      0.73 
   4140     20.06      0.74 
   4200     17.92      0.70 
   4260     18.84      0.72 
   4320     19.32      0.72 
   4380     18.62      0.71 
   4440     18.77      0.71 
   4500     18.36      0.71 
   4560     19.50      0.72 
   4620     19.63      0.73 
   4680     19.82      0.73 
   4740     20.55      0.74 
   4800     20.37      0.74 
   4860     20.45      0.74 
   4920     21.56      0.76 
   4979     21.02      0.76 
   5040     21.21      0.76 
   5100     21.32      0.76 
   5160     21.60      0.76 
   5220     20.67      0.75 
   5279     19.89      0.73 
   5340     21.11      0.75 
   5400     20.89      0.75 
   5460     19.59      0.73 
   5520     19.96      0.73 
   5580     19.68      0.73 
   5639     19.75      0.73 
   5700     19.05      0.72 
   5759     20.13      0.74 
   5820     20.66      0.75 
   5879     19.21      0.72 
   5939     19.97      0.74 
   6000     19.89      0.73 
   6060     18.74      0.71 
   6119     18.72      0.71 
   6179     20.58      0.74 
   6239     20.03      0.74 
   6300     18.67      0.71 
   6360     18.68      0.71 
   6420     18.75      0.71 
   6479     19.59      0.73 
   6540     19.05      0.72 
   6599     18.23      0.70 
   6659     18.38      0.71 
   6720     18.45      0.71 
   6779     19.96      0.73 
   6840     18.88      0.72 
   6900     19.14      0.72 
   6959     18.39      0.71 
   7020     18.16      0.70 
   7079     19.84      0.73 
   7140     19.31      0.72 
   7199     18.67      0.71 
   7259     19.61      0.73 
   7319     19.37      0.72 
   7379     18.30      0.70 
   7439     18.86      0.71 
   7500     19.43      0.72 
   7560     18.19      0.70 
   7620     19.13      0.72 
   7680     19.61      0.73 
   7740     19.10      0.72 
   7800     18.66      0.71 
   7859     18.02      0.70 
   7920     17.84      0.70 
   7979     20.03      0.74 
   8040     19.06      0.72 
   8099     18.95      0.72 
   8160     20.71      0.75 
   8220     19.74      0.73 
   8279     20.32      0.74 
   8339     19.97      0.73 
   8400     20.87      0.75 
   8459     20.08      0.74 
   8519     20.07      0.74 
   8579     21.08      0.75 
   8640     20.67      0.75 
   8699     19.43      0.73 
   8760     20.36      0.74 
   8820     21.19      0.76 
   8879     21.37      0.76 
   8940     22.21      0.77 
   9000     21.36      0.76 
   9059     22.51      0.78 
   9120     21.54      0.76 
   9179     21.53      0.76 
   9240     22.69      0.78 
   9300     21.77      0.77 
   9359     21.64      0.77 
   9419     21.56      0.76 
   9480     21.89      0.77 
   9540     21.67      0.76 
   9599     23.05      0.79 
   9659     23.09      0.79 
   9720     22.01      0.77 
   9779     22.49      0.78 
   9839     23.42      0.80 
   9899     23.36      0.79 
   9959     24.50      4.91 
