#  Table rgs12o12_b80_27_0602240201.lc[1]  Wed 15:46:44 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     2.72      0.22 
     80     2.12      0.21 
    160     2.30      0.21 
    240     2.55      0.21 
    320     2.32      0.22 
    400     2.71      0.22 
    480     2.38      0.20 
    559     2.77      0.21 
    640     2.63      0.21 
    719     2.40      0.19 
    800     2.28      0.18 
    880     2.44      0.18 
    959     2.55      0.19 
   1040     2.60      0.21 
   1120     2.29      0.20 
   1200     2.26      0.21 
   1280     2.62      0.21 
   1360     2.27      0.19 
   1440     2.40      0.20 
   1520     2.77      0.21 
   1600     2.62      0.20 
   1680     2.42      0.19 
   1760     2.21      0.18 
   1840     2.33      0.18 
   1920     2.77      0.21 
   2000     2.33      0.19 
   2080     2.22      0.18 
   2160     2.50      0.19 
   2240     2.26      0.18 
   2320     2.43      0.18 
   2400     2.20      0.18 
   2480     2.64      0.19 
   2560     2.44      0.18 
   2640     2.63      0.19 
   2720     2.62      0.19 
   2800     2.16      0.17 
   2880     2.40      0.18 
   2960     3.01      0.20 
   3040     2.30      0.18 
   3120     2.57      0.19 
   3200     2.20      0.18 
   3280     2.41      0.18 
   3360     2.64      0.19 
   3440     1.93      0.17 
   3520     2.25      0.18 
   3600     2.23      0.18 
   3680     2.42      0.18 
   3760     2.40      0.18 
   3840     2.56      0.19 
   3920     2.24      0.18 
   4000     2.30      0.18 
   4080     2.47      0.19 
   4160     2.26      0.18 
   4240     2.34      0.18 
   4320     1.93      0.16 
   4400     2.10      0.17 
   4480     2.10      0.17 
   4560     1.90      0.17 
   4640     1.70      0.16 
   4720     2.11      0.17 
   4800     2.24      0.18 
   4880     2.08      0.17 
   4960     1.96      0.16 
   5040     2.43      0.18 
   5120     2.34      0.18 
   5200     2.34      0.18 
   5279     2.24      0.17 
   5360     2.05      0.17 
   5439     2.30      0.18 
   5520     2.09      0.17 
   5599     2.46      0.18 
   5679     2.03      0.17 
   5759     2.11      0.17 
   5839     1.87      0.16 
   5919     2.02      0.17 
   6000     1.98      0.17 
   6079     2.16      0.17 
   6159     2.07      0.18 
   6239     2.30      0.18 
   6320     2.06      0.17 
   6400     2.28      0.18 
   6479     1.85      0.16 
   6559     1.91      0.17 
   6640     2.16      0.17 
   6720     1.97      0.16 
   6799     2.05      0.17 
   6879     1.99      0.17 
   6959     2.32      0.18 
   7040     2.22      0.18 
   7119     1.82      0.16 
   7199     2.08      0.18 
   7279     2.04      0.17 
   7359     1.90      0.17 
   7439     2.07      0.18 
   7520     2.04      0.17 
   7600     2.21      0.17 
   7680     1.86      0.16 
   7760     2.17      0.17 
   7840     2.19      0.18 
   7920     1.88      0.17 
   8000     2.05      0.17 
   8080     2.04      0.17 
   8160     1.90      0.16 
   8240     2.21      0.18 
   8320     2.02      0.17 
   8400     2.11      0.17 
   8480     2.28      0.18 
   8559     1.98      0.16 
   8640     2.31      0.18 
   8720     1.83      0.16 
   8800     2.04      0.17 
   8879     2.06      0.17 
   8959     2.12      0.17 
   9040     1.89      0.17 
   9120     2.12      0.17 
   9199     1.94      0.17 
   9279     2.09      0.17 
   9359     2.26      0.18 
   9440     2.16      0.17 
   9519     1.96      0.17 
   9599     1.95      0.16 
   9679     2.03      0.17 
   9759     2.13      0.17 
   9839     2.05      0.17 
   9919     1.93      0.17 
  10000     2.01      0.17 
  10080     2.21      0.17 
  10160     2.11      0.17 
  10240     2.08      0.17 
  10320     2.21      0.18 
  10400     2.30      0.18 
  10480     2.15      0.17 
  10560     1.90      0.16 
  10640     2.01      0.17 
  10720     2.24      0.17 
  10800     2.17      0.17 
  10880     2.18      0.17 
  10960     1.97      0.17 
  11040     2.02      0.17 
  11120     1.99      0.16 
  11200     2.09      0.17 
  11280     1.93      0.17 
  11360     1.98      0.17 
  11440     2.10      0.17 
  11520     2.10      0.17 
  11600     2.01      0.17 
  11680     1.81      0.16 
  11760     1.91      0.16 
  11840     1.97      0.17 
  11920     1.85      0.16 
  12000     2.05      0.17 
  12080     1.99      0.17 
  12160     1.92      0.17 
  12240     2.26      0.18 
  12320     1.89      0.16 
  12400     2.25      0.18 
  12480     2.13      0.17 
  12560     1.88      0.16 
  12640     2.00      0.16 
  12720     2.17      0.18 
  12800     2.01      0.17 
  12880     1.98      0.17 
  12960     1.92      0.16 
  13040     1.98      0.17 
  13120     1.94      0.16 
  13200     2.00      0.17 
  13280     2.17      0.17 
  13360     2.03      0.17 
  13440     2.28      0.18 
  13520     1.86      0.17 
  13600     2.05      0.17 
  13680     2.04      0.17 
  13760     2.13      0.17 
  13840     1.58      0.15 
  13920     1.91      0.16 
  14000     2.06      0.17 
  14080     1.67      0.15 
  14160     2.30      0.17 
  14240     2.06      0.17 
  14320     2.30      0.18 
  14400     1.99      0.17 
  14480     2.19      0.17 
  14560     1.95      0.16 
  14640     2.04      0.17 
  14720     2.11      0.17 
  14800     2.18      0.17 
  14880     1.93      0.17 
  14960     2.06      0.17 
  15040     1.91      0.16 
  15120     1.71      0.16 
  15200     2.25      0.17 
  15280     1.94      0.17 
  15360     1.97      0.17 
  15440     2.01      0.17 
  15520     1.91      0.16 
  15600     2.03      0.17 
  15680     2.27      0.18 
  15760     2.32      0.18 
  15840     2.11      0.18 
  15920     2.38      0.18 
  16000     2.16      0.17 
  16080     2.05      0.17 
  16160     2.02      0.17 
  16240     2.21      0.18 
  16320     2.45      0.19 
  16400     2.30      0.18 
  16480     2.17      0.17 
  16560     2.30      0.18 
  16640     2.53      0.19 
  16720     2.47      0.19 
  16800     2.18      0.18 
  16880     2.43      0.18 
  16960     2.40      0.18 
  17040     2.60      0.19 
  17120     2.40      0.18 
  17200     2.51      0.19 
  17280     2.59      0.19 
  17360     2.54      0.19 
  17440     2.67      0.19 
  17520     2.58      0.19 
  17600     2.35      0.18 
  17680     1.97      0.17 
  17760     2.51      0.18 
  17840     2.66      0.19 
  17920     2.46      0.18 
  18000     2.55      0.19 
  18080     2.58      0.19 
  18160     2.32      0.18 
  18240     2.41      0.18 
  18320     2.49      0.18 
  18400     2.48      0.19 
  18480     1.90      0.17 
  18560     2.45      0.18 
  18640     2.61      0.19 
  18720     2.60      0.19 
  18800     2.57      0.19 
  18880     2.69      0.19 
  18960     2.38      0.18 
  19040     2.01      0.17 
  19120     2.45      0.18 
  19200     2.19      0.17 
  19280     2.57      0.19 
  19360     2.45      0.18 
  19440     2.16      0.18 
  19520     2.37      0.18 
  19600     2.27      0.17 
  19680     2.28      0.18 
  19760     2.27      0.18 
  19840     2.52      0.19 
  19920     2.58      0.19 
  20000     2.33      0.18 
  20080     2.29      0.18 
  20160     2.36      0.18 
  20240     2.13      0.18 
  20320     2.41      0.18 
  20400     2.27      0.18 
  20480     2.27      0.17 
  20560     2.51      0.19 
  20640     2.39      0.18 
  20720     2.23      0.18 
  20800     2.18      0.17 
  20880     2.57      0.19 
  20960     2.28      0.18 
  21040     2.19      0.18 
  21120     2.64      0.19 
  21200     2.18      0.17 
  21280     2.75      0.19 
  21360     2.38      0.18 
  21440     2.52      0.19 
  21520     2.59      0.19 
  21600     2.49      0.19 
  21680     2.92      0.20 
  21760     3.27      0.21 
  21840     3.76      0.22 
  21920     4.20      0.24 
  22000     4.35      0.24 
  22080     4.15      0.23 
  22160     4.72      0.25 
  22240     5.01      0.26 
  22320     4.67      0.25 
  22400     4.73      0.25 
  22480     4.74      0.26 
  22560     5.31      0.27 
  22640     4.71      0.25 
  22720     5.07      0.26 
  22800     5.34      0.27 
  22880     4.98      0.26 
  22960     5.62      0.27 
  23040     5.28      0.26 
  23120     5.75      0.28 
  23200     5.29      0.26 
  23280     5.28      0.27 
  23360     4.71      0.25 
  23440     5.24      0.26 
  23520     4.60      0.25 
  23600     4.55      0.25 
  23680     4.41      0.24 
  23760     4.72      0.25 
  23840     4.78      0.25 
  23920     4.54      0.25 
  24000     4.77      0.25 
  24080     4.82      0.25 
  24160     4.45      0.24 
  24240     4.25      0.24 
  24320     4.25      0.24 
  24400     3.99      0.24 
  24480     4.03      0.23 
  24560     4.03      0.23 
  24640     4.22      0.24 
  24720     3.78      0.22 
  24800     4.13      0.24 
  24880     4.36      0.24 
  24960     3.93      0.23 
  25040     3.99      0.23 
  25120     4.23      0.24 
  25200     3.81      0.23 
  25280     4.13      0.24 
  25360     4.03      0.23 
  25440     4.16      0.23 
  25520     4.40      0.24 
  25600     4.23      0.24 
  25680     3.99      0.23 
  25760     3.81      0.23 
  25840     4.11      0.24 
  25920     4.22      0.24 
  26000     4.25      0.24 
  26080     3.88      0.23 
  26160     3.71      0.23 
  26240     4.18      0.24 
  26320     4.03      0.24 
  26400     4.18      0.24 
  26480     3.81      0.23 
  26560     4.00      0.23 
  26640     4.03      0.23 
  26720     4.20      0.24 
  26800     4.08      0.23 
