#  Table rgs12o12_b60_29_0412580701.lc[1]  Fri 17:45:40 06-Dec-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     4.64      0.34 
     60     5.14      0.31 
    120     5.07      0.31 
    180     5.74      0.33 
    240     4.85      0.31 
    300     4.72      0.30 
    360     4.77      0.31 
    420     5.15      0.32 
    480     5.26      0.32 
    540     5.89      0.34 
    600     4.59      0.31 
    659     4.17      0.30 
    719     4.71      0.31 
    780     4.80      0.32 
    840     4.13      0.30 
    900     4.07      0.29 
    959     4.25      0.30 
   1020     3.99      0.30 
   1080     3.90      0.30 
   1140     4.10      0.29 
   1200     4.07      0.30 
   1260     3.41      0.29 
   1320     3.48      0.29 
   1380     4.03      0.61 
   6000     2.36      0.23 
   6060     3.01      0.23 
   6119     2.70      0.22 
   6179     2.38      0.21 
   6239     2.47      0.21 
   6300     2.79      0.22 
   6360     2.64      0.21 
   6420     3.05      0.24 
   6479     2.87      0.23 
   6540     2.97      0.24 
   6599     2.83      0.23 
   6659     2.90      0.23 
   6720     2.51      0.22 
   6779     3.12      0.23 
   6840     2.92      0.23 
   6900     2.81      0.23 
   6959     2.83      0.23 
   7020     2.96      0.23 
   7079     2.86      0.23 
   7140     3.21      0.24 
   7199     2.91      0.23 
   7259     2.51      0.22 
   7319     2.81      0.22 
   7379     2.49      0.22 
   7439     2.37      0.21 
   7500     2.26      0.20 
   7560     2.40      0.21 
   7620     2.65      0.22 
   7680     2.37      0.21 
   7740     2.28      0.21 
   7800     2.82      0.23 
   7859     2.68      0.22 
   7920     2.61      0.21 
   7979     2.27      0.20 
   8040     2.42      0.21 
   8099     2.56      0.21 
   8160     2.70      0.22 
   8220     2.97      0.23 
   8279     2.27      0.20 
   8339     2.51      0.21 
   8400     2.52      0.21 
   8459     2.43      0.21 
   8519     2.71      0.22 
   8579     2.52      0.21 
   8640     2.88      0.23 
   8699     2.69      0.22 
   8760     2.73      0.22 
   8820     2.97      0.23 
   8879     2.71      0.22 
   8940     2.53      0.22 
   9000     2.55      0.22 
   9059     2.23      0.20 
   9120     2.49      0.21 
   9179     2.55      0.22 
   9240     2.52      0.22 
   9300     2.90      0.23 
   9359     2.80      0.23 
   9419     2.80      0.22 
   9480     2.42      0.21 
   9540     2.72      0.23 
   9599     2.53      0.21 
   9659     2.46      0.22 
   9720     2.73      0.23 
   9779     2.77      0.23 
   9839     2.49      0.21 
   9899     2.74      0.22 
   9959     2.55      0.22 
  10020     2.41      0.21 
  10080     2.45      0.21 
  10140     2.35      0.21 
  10200     2.64      0.22 
  10260     2.73      0.22 
  10320     2.70      0.22 
  10380     2.54      0.22 
  10440     2.43      0.21 
  10500     2.45      0.21 
  10560     2.59      0.22 
  10620     2.53      0.21 
  10680     2.49      0.22 
  10740     2.66      0.22 
  10800     3.02      0.23 
  10860     2.36      0.21 
  10920     2.62      0.21 
  10980     2.45      0.21 
  11040     2.46      0.21 
  11100     2.35      0.21 
  11160     2.67      0.22 
  11220     2.77      0.22 
  11280     2.78      0.22 
  11340     2.60      0.22 
  11400     2.12      0.20 
  11460     2.85      0.23 
  11520     2.34      0.21 
  11580     2.85      0.23 
  11640     2.77      0.23 
  11700     3.03      0.23 
  11760     2.70      0.22 
  11820     2.62      0.22 
  11880     2.54      0.22 
  11940     2.80      0.23 
  12000     2.90      0.23 
  12060     2.72      0.23 
  12120     2.71      0.22 
  12180     2.90      0.23 
  12240     2.77      0.22 
  12300     2.82      0.23 
  12360     2.69      0.23 
  12420     3.14      0.24 
  12480     2.45      0.21 
  12540     2.71      0.22 
  12600     2.72      0.22 
  12660     2.64      0.22 
  12720     2.54      0.22 
  12780     2.84      0.23 
  12840     2.56      0.22 
  12900     2.75      0.23 
  12960     3.17      0.24 
  13020     2.29      0.20 
  13080     2.68      0.22 
  13140     2.95      0.23 
  13200     2.65      0.22 
  13260     2.40      0.21 
  13320     2.89      0.23 
  13380     2.98      0.23 
  13440     2.84      0.22 
  13500     2.41      0.21 
  13560     2.88      0.23 
  13620     2.87      0.23 
  13680     2.54      0.21 
  13740     3.05      0.23 
  13800     2.90      0.23 
  13860     2.84      0.23 
  13920     2.92      0.23 
  13980     3.09      0.24 
  14040     2.49      0.21 
  14100     2.63      0.22 
  14160     2.60      0.22 
  14220     3.03      0.24 
  14280     3.03      0.23 
  14340     2.86      0.23 
  14400     2.98      0.23 
  14460     2.80      0.23 
  14520     2.73      0.22 
  14580     2.99      0.23 
  14640     3.01      0.23 
  14700     2.90      0.23 
  14760     2.82      0.23 
  14820     2.84      0.23 
  14880     2.84      0.22 
  14940     3.17      0.24 
  15000     2.35      0.21 
  15060     2.91      0.23 
  15120     2.35      0.21 
  15180     2.84      0.23 
  15240     2.78      0.22 
  15300     2.63      0.22 
  15360     2.72      0.22 
  15420     2.85      0.23 
  15480     2.78      0.23 
  15540     2.80      0.22 
  15600     2.70      0.22 
  15660     2.73      0.22 
  15720     2.66      0.22 
  15780     2.66      0.22 
  15840     2.59      0.22 
  15900     2.52      0.22 
  15960     2.56      0.22 
  16020     2.39      0.21 
  16080     3.01      0.23 
  16140     2.46      0.21 
  16200     2.45      0.21 
  16260     2.49      0.21 
  16320     2.60      0.22 
  16380     2.52      0.21 
  16440     2.70      0.22 
  16500     2.60      0.21 
  16560     2.50      0.21 
  16620     2.86      0.23 
  16680     2.52      0.22 
  16740     2.44      0.21 
  16800     2.24      0.21 
  16860     2.80      0.23 
  16920     2.61      0.21 
  16980     2.41      0.21 
  17040     2.06      0.20 
  17100     2.47      0.21 
  17160     2.72      0.23 
  17220     2.60      0.22 
  17280     2.46      0.21 
  17340     2.70      0.22 
  17400     2.63      0.22 
  17460     2.51      0.22 
  17520     2.62      0.22 
  17580     2.42      0.21 
  17640     2.22      0.20 
  17700     2.48      0.21 
  17760     2.64      0.22 
  17820     2.34      0.21 
  17880     2.79      0.22 
  17940     2.44      0.21 
  18000     2.48      0.22 
  18060     2.76      0.22 
  18120     2.37      0.21 
  18180     2.34      0.21 
  18240     2.45      0.21 
  18300     2.45      0.21 
  18360     2.49      0.21 
  18420     2.66      0.22 
  18480     2.47      0.21 
  18540     2.45      0.21 
  18600     2.49      0.21 
  18660     2.49      0.21 
  18720     2.33      0.21 
  18780     2.77      0.23 
  18840     2.71      0.22 
  18900     2.75      0.22 
  18960     2.25      0.20 
  19020     2.69      0.22 
  19080     2.69      0.22 
  19140     2.77      0.22 
  19200     2.31      0.21 
  19260     2.40      0.21 
  19320     2.37      0.21 
  19380     2.22      0.21 
  19440     2.51      0.21 
  19500     2.50      0.21 
  19560     2.53      0.22 
  19620     2.65      0.22 
  19680     2.21      0.20 
  19740     2.64      0.21 
  19800     2.59      0.22 
  19860     2.34      0.21 
  19920     2.71      0.22 
  19980     2.43      0.21 
  20040     2.55      0.21 
  20100     2.39      0.21 
  20160     2.18      0.20 
  20220     2.44      0.21 
  20280     2.44      0.22 
  20340     2.55      0.21 
  20400     2.16      0.20 
  20460     2.62      0.22 
  20520     2.11      0.20 
  20580     2.70      0.22 
  20640     2.47      0.21 
  20700     2.57      0.22 
  20760     2.34      0.21 
  20820     2.38      0.21 
  20880     2.11      0.20 
  20940     2.66      0.22 
  21000     2.56      0.21 
  21060     2.26      0.20 
  21120     2.72      0.22 
  21180     2.41      0.21 
  21240     2.47      0.21 
  21300     2.35      0.21 
  21360     2.52      0.22 
  21420     2.30      0.21 
  21480     2.01      0.19 
  21540     2.20      0.21 
  21600     2.27      0.21 
  21660     2.32      0.21 
  21720     2.46      0.21 
  21780     2.20      0.20 
  21840     2.35      0.20 
  21900     2.59      0.22 
  21960     2.28      0.20 
  22020     2.18      0.20 
  22080     2.46      0.21 
  22140     2.53      0.21 
  22200     2.30      0.21 
  22260     2.38      0.21 
  22320     2.27      0.21 
  22380     2.22      0.20 
  22440     2.56      0.21 
  22500     2.40      0.21 
  22560     2.26      0.20 
  22620     1.95      0.19 
  22680     2.36      0.20 
  22740     2.73      0.22 
  22800     2.31      0.21 
  22860     2.60      0.22 
  22920     2.53      0.21 
  22980     2.55      0.21 
  23040     2.31      0.21 
  23100     2.38      0.21 
  23160     2.62      0.22 
  23220     2.73      0.22 
  23280     2.16      0.21 
  23340     2.19      0.20 
  23400     2.64      0.22 
  23460     2.50      0.21 
  23520     2.05      0.20 
  23580     2.47      0.21 
  23640     2.33      0.21 
  23700     2.75      0.23 
  23760     2.46      0.21 
  23820     1.93      0.19 
  23880     2.34      0.21 
  23940     2.85      0.22 
  24000     2.25      0.20 
  24060     2.43      0.21 
  24120     2.24      0.21 
  24180     2.14      0.20 
  24240     2.06      0.20 
  24300     2.26      0.21 
  24360     2.58      0.22 
  24420     2.19      0.20 
  24480     2.19      0.20 
  24540     2.51      0.21 
  24600     2.26      0.21 
  24660     2.24      0.20 
  24720     2.30      0.21 
  24780     2.50      0.21 
  24840     2.72      0.22 
  24900     2.26      0.20 
  24960     2.02      0.19 
  25020     2.22      0.20 
  25080     2.25      0.21 
  25140     2.10      0.20 
  25200     2.10      0.20 
  25260     2.39      0.21 
  25320     2.48      0.21 
  25380     2.48      0.21 
  25440     2.53      0.21 
  25500     2.13      0.20 
  25560     2.21      0.21 
  25620     2.17      0.20 
  25680     2.18      0.20 
  25740     2.44      0.22 
  25800     2.41      0.21 
  25860     2.24      0.20 
  25920     2.41      0.21 
  25980     2.47      0.21 
  26040     2.03      0.20 
  26100     2.41      0.22 
  26160     2.54      0.21 
  26220     2.30      0.21 
  26280     2.20      0.21 
  26340     2.09      0.20 
  26400     2.55      0.21 
  26460     2.41      0.21 
  26520     2.51      0.22 
  26580     1.82      0.19 
  26640     2.20      0.21 
  26700     2.45      0.21 
  26760     2.15      0.21 
  26820     2.58      0.21 
  26880     2.57      0.23 
  26940     2.06      0.21 
  27000     2.33      0.22 
  27060     2.75      0.22 
  27120     2.64      0.22 
  27180     2.14      0.20 
  27240     2.19      0.21 
  27300     2.15      0.20 
  27360     2.02      0.19 
  27420     2.40      0.21 
  27480     2.66      0.22 
  27540     2.18      0.20 
  27600     2.82      0.23 
  27660     2.25      0.21 
  27720     2.37      0.21 
  27780     2.82      0.23 
  27840     2.40      0.21 
  27900     2.07      0.20 
  27960     2.80      0.22 
  28020     2.41      0.21 
  28080     2.71      0.22 
  28140     2.54      0.21 
  28200     2.42      0.22 
  28260     2.05      0.20 
  28320     2.59      0.21 
  28380     2.45      0.21 
  28440     2.55      0.21 
  28500     2.47      0.22 
  28560     2.78      0.22 
  28620     2.49      0.21 
  28680     2.18      0.20 
  28740     2.86      0.22 
  28800     2.49      0.21 
  28860     2.09      0.20 
  28920     2.80      0.23 
  28980     2.56      0.22 
  29040     2.89      0.23 
  29100     2.40      0.21 
  29160     2.67      0.23 
  29220     2.15      0.20 
  29280     2.39      0.21 
  29340     2.50      0.22 
  29400     2.48      0.21 
  29460     2.51      0.21 
  29520     2.49      0.21 
  29580     2.34      0.21 
  29639     2.44      0.21 
  29700     2.63      0.22 
  29760     2.36      0.20 
  29820     2.68      0.22 
  29880     2.67      0.22 
  29940     2.30      0.21 
  30000     2.43      0.21 
  30060     2.37      0.21 
  30120     2.92      0.23 
  30180     2.90      0.23 
  30240     2.94      0.23 
  30300     2.49      0.22 
  30360     2.66      0.22 
  30420     2.71      0.22 
  30480     2.45      0.21 
  30540     2.66      0.22 
  30600     2.82      0.23 
  30660     2.79      0.23 
  30720     2.33      0.21 
  30780     2.80      0.23 
  30840     2.56      0.22 
  30900     2.72      0.22 
  30960     2.41      0.22 
  31020     2.88      0.23 
  31080     2.68      0.22 
  31140     2.76      0.22 
  31200     2.22      0.20 
  31260     2.81      0.23 
  31320     2.61      0.22 
  31380     2.92      0.23 
  31440     2.96      0.23 
  31500     2.79      0.23 
  31560     2.68      0.22 
  31620     2.60      0.22 
  31680     2.30      0.20 
  31740     2.69      0.22 
  31800     2.57      0.22 
  31860     2.96      0.23 
  31920     2.58      0.22 
  31980     2.67      0.22 
  32040     2.76      0.23 
  32100     2.91      0.23 
  32160     2.57      0.22 
  32220     2.64      0.22 
  32280     2.54      0.22 
  32340     2.92      0.23 
  32400     2.65      0.22 
  32460     2.56      0.22 
  32520     2.73      0.22 
  32580     2.75      0.23 
  32640     2.74      0.22 
  32700     2.66      0.22 
  32760     2.52      0.21 
  32820     3.02      0.23 
  32880     2.37      0.21 
  32940     2.52      0.22 
  33000     2.71      0.22 
  33060     2.49      0.21 
  33120     2.85      0.22 
  33180     2.82      0.22 
  33239     2.30      0.21 
  33300     3.04      0.23 
  33360     2.25      0.21 
  33420     2.55      0.22 
  33480     2.68      0.22 
  33540     2.78      0.23 
  33600     2.60      0.22 
  33660     2.52      0.21 
  33720     2.71      0.22 
  33780     2.68      0.22 
  33839     2.87      0.23 
  33900     2.61      0.22 
  33960     2.54      0.21 
  34020     2.92      0.22 
  34080     2.38      0.21 
  34140     2.59      0.22 
  34200     2.53      0.22 
  34260     2.61      0.22 
  34320     2.42      0.21 
  34380     2.56      0.21 
  34440     2.58      0.21 
  34500     2.88      0.23 
  34560     2.57      0.22 
  34620     2.67      0.22 
  34680     2.48      0.21 
  34739     2.82      0.23 
  34800     2.66      0.22 
  34860     2.04      0.20 
  34920     2.59      0.22 
  34980     2.58      0.22 
  35040     2.58      0.22 
  35100     2.48      0.21 
  35160     3.11      0.23 
  35220     2.52      0.21 
  35280     3.18      0.24 
  35340     2.97      0.23 
  35400     2.48      0.21 
  35460     2.43      0.21 
  35520     2.69      0.22 
  35580     2.56      0.22 
  35640     3.06      0.23 
  35700     2.89      0.22 
  35760     2.61      0.22 
  35820     2.60      0.22 
  35880     2.91      0.23 
  35940     2.80      0.23 
  36000     2.53      0.21 
  36060     2.27      0.20 
  36120     2.77      0.22 
  36180     2.45      0.21 
  36239     2.16      0.20 
  36300     2.76      0.22 
  36360     2.39      0.21 
  36420     2.99      0.23 
  36480     2.71      0.22 
  36540     2.60      0.22 
  36600     2.73      0.22 
  36660     2.85      0.23 
  36720     2.36      0.21 
  36780     2.61      0.22 
  36840     2.58      0.22 
  36900     2.30      0.21 
  36960     2.60      0.22 
  37020     3.10      0.24 
  37080     2.81      0.22 
  37140     2.84      0.23 
  37200     2.49      0.21 
  37260     2.58      0.21 
  37320     3.00      0.23 
  37380     2.85      0.22 
  37440     2.84      0.22 
  37500     2.93      0.23 
  37560     2.75      0.22 
  37620     2.48      0.21 
  37680     2.87      0.23 
  37740     2.64      0.22 
  37800     2.81      0.23 
  37860     2.33      0.21 
  37920     3.05      0.23 
  37980     3.20      0.24 
  38040     2.94      0.23 
  38100     2.46      0.21 
  38160     2.66      0.22 
  38220     2.55      0.21 
  38280     2.81      0.23 
  38340     3.00      0.23 
  38400     2.66      0.22 
  38460     2.63      0.22 
  38519     2.26      0.20 
  38580     2.73      0.22 
  38640     2.81      0.23 
  38700     2.69      0.22 
  38760     2.70      0.22 
