,period,damping time
0,40.13,31.22
1,50.01,49.57
2,45.52,39.71
3,56.7,44.62
4,22.94,78.6
5,46.58,112.11
6,54.55,99.52
7,63.25,236.03
8,51.78,38.02
9,40.66,57.23
10,50.17,61.47
11,56.76,51.39
12,15.86,75.98
13,46.14,100.49
14,59.39,51.63
15,45.94,34.65235
16,120.54,292.014
17,20.22,21.93
18,13.13,25.94
19,43.46,192.64
20,38.32,39.52
21,55.35,188.54
22,25.39,34.04
23,101.97,145.35
24,102.16,125.09
25,91.86,89.49
26,44.84,53.17
27,47.46,99.78
28,24.5,43.12
29,48.28,97.51
30,22.22,44.09
31,26.9,23.05
32,88.75,122.73
33,219.72,489.97
34,21.47,37.24
35,41.28,54.78
36,33.44,123.97
37,15.01,22.72
38,87.3,278.19
39,48.8,50.98
40,149.49,84.5
41,42.69,96.12
42,67.07,143.62
43,75.35,86.84
44,48.14,63.97
45,53.51,53.21
46,87.25,73.68
47,10.89,18.88
48,43.69,35.62
49,96.39,131.41
50,100.05,147.61
51,147.13,206.73
52,57.89,83.19
53,36.94,76.12
54,50.99,46.1
55,18.47,34.42
56,54.86,163.55
57,39.21,67.65
58,92.52,162.25
59,27.67,26.64
60,19.51,13.58
61,30.07,437.69
62,69.15,90.09
63,124.04,577.67
64,408.77,968.9
65,29.56,43.29
66,57.54,78.32
67,51.84,55.69
68,42.19,59.0
69,25.86,45.27
70,36.19,84.04
71,37.7,87.22
72,79.06,186.56
73,63.49,132.87
74,8.24,17.17
75,21.89,19.88
76,28.73,40.83
