Period of QPP detected from IMF in minutes,Damping of the QPP detected from IMF in minutes,Type of CCD/Detector
1.689907938290907, 3.42056436548552, stellar
1.962447788234422, 2.5336213023591174, stellar
2.1292038231373818, 3.492611435004052, stellar
2.3867339687308133, 4.560603639655348, stellar
2.6107485960368537, 4.895542722188917, stellar
2.8172338916741477, 4.715267512922412, stellar
3.0153577333290182, 4.338067633133704, stellar
3.717473949786099, 6.446053484603313, stellar
5.165413303677296, 7.647587272656433, stellar
6.031167871155145, 5.8080638493587955, stellar
5.236104006025387, 9.380780760360796, stellar
7.915259746298189, 10.85441739273456, stellar
9.092382259947113, 9.658562455628372, stellar
8.023583173260953, 13.203834141485437, stellar
7.557781515513772, 17.027097213434388, stellar
8.334840330794247, 15.86215174313367, stellar
8.65817202111715, 15.928416422381366, stellar
8.824511490905596, 35.76101004997766, stellar
11.148732667974219, 23.570005625585814, stellar
10.908885952324749, 16.885721176513197, stellar
12.294997743389782, 16.46859723473595, stellar
13.93278002534283, 16.46859723473595, stellar
15.116696950995982, 21.866066767852573, stellar
21.061761332799787, 19.215210294685303, stellar
19.7851808156421, 27.272642389242883, stellar
18.18612868129319, 33.593268654078656, stellar
18.384965105447073, 36.81995751393926, stellar
20.33042226415236, 30.905960486874672, stellar
24.59184014760027, 35.31655018966109, stellar
30.732883225297297, 29.15380417706611, stellar
36.772688570474834, 49.91715777156137, stellar
28.557888398986215, 72.64319390985838, stellar
34.54384849148918, 76.36967483196406, stellar
51.93574332899738, 69.96815505777548, stellar
55.73948194672812, 112.06939430757609, stellar
65.08175685237308, 114.42990286109114, stellar
