#  Table pn_b50_03_0123720301_flare2_decay.lc[1]  Rotational modulation not present

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
     
   8499     52.53      1.30 
   8550     50.59      1.28 
   8599     50.51      1.28 
   8649     52.38      1.30 
   8699     51.60      1.29 
   8750     51.09      1.28 
   8800     50.96      1.28 
   8850     51.55      1.29 
   8900     50.55      1.28 
   8949     50.63      1.28 
   9000     49.85      1.27 
   9050     51.14      1.28 
   9099     50.37      1.28 
   9150     51.76      1.29 
   9199     47.56      1.24 
   9250     49.60      1.26 
   9300     49.26      1.26 
   9349     46.68      1.23 
   9400     48.77      1.25 
   9449     49.99      1.27 
   9499     48.14      1.25 
   9550     48.77      1.25 
   9599     48.92      1.26 
   9650     49.49      1.26 
   9699     45.60      1.21 
   9749     47.43      1.24 
   9800     45.47      1.21 
   9849     47.78      1.24 
   9899     46.14      1.22 
   9949     45.96      1.22 
  10000     47.44      1.24 
  10050     45.18      1.21 
  10100     46.06      1.22 
  10150     46.44      1.22 
  10200     43.00      1.18 
  10250     42.79      1.17 
  10300     45.20      1.21 
  10350     42.22      1.17 
  10400     42.95      1.18 
  10450     43.19      1.18 
  10500     41.75      1.16 
  10550     40.52      1.14 
  10600     38.70      1.12 
  10650     40.63      1.15 
  10700     37.55      1.10 
  10750     39.54      1.13 
  10800     41.34      1.15 
  10850     42.91      1.18 
  10900     39.66      1.13 
  10950     40.22      1.14 
  11000     38.15      1.11 
  11050     39.89      1.13 
  11100     39.50      1.13 
  11150     38.16      1.11 
  11200     38.61      1.12 
  11250     37.38      1.10 
  11300     37.53      1.10 
  11350     37.10      1.09 
  11400     36.13      1.08 
  11450     35.94      1.08 
  11500     36.86      1.09 
  11550     36.41      1.08 
  11600     36.10      1.08 
  11650     35.54      1.07 
  11700     35.89      1.08 
  11750     36.50      1.08 
  11800     33.86      1.05 
  11850     36.27      1.08 
  11900     34.95      1.06 
  11950     32.69      1.03 
  12000     34.63      1.06 
  12050     35.96      1.08 
  12100     35.48      1.07 
  12150     32.95      1.03 
  12200     35.56      1.07 
  12250     34.74      1.06 
  12300     34.21      1.05 
  12350     35.78      1.07 
  12400     33.77      1.04 
  12450     34.57      1.06 
  12500     34.81      1.06 
  12550     34.94      1.06 
  12600     34.35      1.05 
  12650     33.20      1.04 
  12700     32.36      1.02 
  12750     32.45      1.03 
  12800     32.22      1.03 
  12850     32.35      1.02 
  12900     33.93      1.05 
  12950     34.44      1.05 
  13000     34.45      1.05 
  13050     33.40      1.04 
  13100     32.13      1.02 
  13150     32.19      1.02 
  13200     32.66      1.03 
  13250     30.07      0.98 
  13300     32.49      1.03 
  13350     30.94      1.00 
  13400     32.59      1.03 
  13450     30.70      0.99 
  13500     31.07      1.00 
  13550     31.09      1.00 
  13600     31.43      1.01 
  13650     30.05      0.98 
  13700     30.20      0.99 
  13750     31.01      1.00 
  13800     32.16      1.02 
  13850     32.32      1.02 
  13900     30.43      0.99 
  13950     31.12      1.00 
  14000     32.07      1.02 
  14050     29.46      0.98 
  14100     32.30      1.02 
  14150     32.04      1.02 
  14200     30.97      1.00 
  14250     30.97      1.00 
  14300     31.21      1.00 
  14350     32.19      1.02 
  14400     32.94      1.03 
  14450     31.88      1.01 
  14500     30.88      1.00 
  14550     31.69      1.01 
  14600     29.91      0.98 
  14650     29.26      0.97 
  14700     29.23      0.97 
  14750     31.46      1.01 
  14800     30.81      1.00 
  14850     29.23      0.97 
  14900     28.68      0.96 
  14950     31.39      1.01 
  15000     27.71      0.95 
  15050     29.68      0.98 
  15100     29.77      0.98 
  15150     30.04      0.98 
  15200     30.00      0.98 
  15250     28.95      0.97 
  15300     29.42      0.97 
  15350     30.80      1.00 
  15400     29.33      0.97 
  15450     30.16      0.99 
  15500     30.70      1.00 
  15550     30.32      0.99 
  15600     31.72      1.01 
  15650     30.46      0.99 
  15700     28.72      0.96 
  15750     29.16      0.97 
  15800     26.89      0.93 
  15850     28.55      0.96 
  15900     29.89      0.98 
  15950     27.46      0.94 
  16000     29.87      0.98 
  16050     27.39      0.94 
  16100     26.58      0.93 
  16150     27.33      0.94 
  16200     28.46      0.96 
  16250     28.24      0.95 
  16300     26.85      0.93 
  16350     27.00      0.93 
  16400     27.50      0.94 
  16450     26.68      0.93 
  16500     27.49      0.94 
  16550     28.76      0.96 
  16600     26.78      0.93 
  16650     27.68      0.94 
  16700     28.12      0.96 
  16750     27.88      0.95 
  16800     26.04      0.92 
  16850     27.42      0.94 
  16900     26.98      0.93 
  16950     27.01      0.93 
  17000     27.88      0.95 
  17050     28.75      0.96 
  17100     28.16      0.95 
  17150     27.35      0.94 
  17200     26.43      0.92 
  17250     28.33      0.96 
  17300     26.56      0.92 
  17350     26.30      0.92 
  17400     27.33      0.94 
  17450     26.50      0.92 
  17500     25.55      0.91 
  17550     26.07      0.92 
  17600     27.43      0.94 
  17650     25.09      0.90 
  17700     26.42      0.93 
  17750     26.22      0.92 
  17800     26.28      0.92 
  17850     26.44      0.92 
  17900     27.20      0.94 
  17950     26.89      0.93 
  18000     24.96      0.90 
  18050     25.07      0.90 
  18100     24.85      0.89 
  18150     26.40      0.92 
  18200     25.99      0.91 
  18250     27.08      0.93 
  18300     25.79      0.91 
  18350     24.91      0.90 
  18400     25.50      0.91 
  18450     26.30      0.92 
  18500     24.60      0.89 
  18550     26.57      0.92 
  18600     24.92      0.90 
  18650     26.79      0.93 
  18700     26.14      0.92 
  18750     26.66      0.93 
  18800     26.27      0.93 
  18850     26.30      0.92 
  18900     27.50      0.94 
  18950     25.73      0.91 
  19000     26.10      0.92 
  19050     24.85      0.90 
  19100     25.57      0.91 
  19150     24.73      0.89 
  19200     24.14      0.88 
  19250     26.08      0.92 
  19300     26.48      0.92 
  19350     26.37      0.92 
  19400     24.53      0.89 
  19450     24.55      0.89 
  19500     27.45      0.94 
  19550     25.47      0.91 
  19600     24.77      0.90 
  19650     25.47      0.91 
  19700     27.00      0.93 
  19750     23.09      0.86 
  19800     26.37      0.92 
  19850     25.63      0.91 
  19900     24.51      0.89 
  19950     25.47      0.91 
  20000     24.47      0.89 
  20050     25.73      0.91 
  20100     23.96      0.88 
  20150     24.89      0.90 
  20200     25.08      0.90 
  20250     25.54      0.91 
  20300     24.69      0.89 
  20350     24.18      0.88 
  20400     24.02      0.88 
  20450     22.57      0.85 
  20500     25.63      0.91 
  20550     25.38      0.91 
  20600     24.08      0.88 
  20650     21.89      0.84 
  20700     24.32      0.89 
  20750     24.90      0.90 
  20800     22.69      0.85 
  20850     24.17      0.88 
  20900     25.38      0.91 
  20950     24.25      0.88 
  21000     23.78      0.88
