#  Table pn_b50_03_0123720301_flare3_pf.lc[1]  Rotational modulation not present

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
     
  36250     28.09      0.95 
  36300     28.60      0.96 
  36350     27.46      0.94 
  36400     28.86      0.97 
  36450     29.28      0.97 
  36500     29.26      0.97 
  36550     29.27      0.97 
  36600     29.46      0.98 
  36650     28.43      0.96 
  36700     29.15      0.97 
  36750     29.40      0.97 
  36800     29.38      0.97 
  36850     30.56      0.99 
  36900     29.13      0.97 
  36950     29.27      0.97 
  37000     28.83      0.96 
  37049     30.33      0.99 
  37100     29.59      0.98 
  37150     29.94      0.98 
  37200     28.45      0.96 
  37250     27.05      0.93 
  37299     29.86      0.98 
  37350     31.05      1.00 
  37400     30.05      0.98 
  37450     30.10      0.99 
  37500     28.02      0.95 
  37550     31.33      1.01 
  37600     30.84      1.00 
  37650     29.29      0.97 
  37700     29.27      0.97 
  37750     29.64      0.98 
  37800     29.91      0.98 
  37850     31.34      1.00 
  37900     28.55      0.96 
  37950     30.11      0.99 
  38000     28.03      0.95 
  38050     29.58      0.98 
  38100     29.35      0.97 
  38150     29.59      0.98 
  38200     29.81      0.98 
  38250     28.10      0.95 
  38300     29.15      0.97 
  38350     28.53      0.96 
  38400     29.09      0.97 
  38450     28.16      0.96 
  38500     27.15      0.94 
  38550     27.52      0.94 
  38600     29.38      0.97 
  38650     30.30      0.99 
  38700     31.99      1.02 
  38750     31.17      1.00 
  38800     31.26      1.00 
  38850     31.49      1.01 
  38900     32.29      1.02 
  38950     33.35      1.04 
  39000     30.80      1.00 
  39050     31.86      1.02 
  39100     32.43      1.02 
  39150     32.08      1.02 
  39200     31.97      1.02 
  39250     32.42      1.02 
  39300     32.56      1.02 
  39350     32.68      1.03 
  39400     30.13      0.99 
  39450     30.93      1.00 
  39500     32.69      1.03 
  39550     35.31      1.07 
  39600     32.82      1.03 
  39650     31.84      1.01 
  39700     32.65      1.03 
  39750     30.88      1.00 
  39800     31.62      1.01 
  39850     30.75      1.00 
  39900     34.08      1.05 
  39950     30.14      0.99 
  40000     31.17      1.00 
  40050     30.82      1.00 
  40100     32.79      1.03 
  40150     30.97      1.00 
  40200     31.90      1.02 
  40250     32.35      1.02 
  40299     32.38      1.02 
  40350     32.38      1.02 
  40400     32.76      1.03 
  40450     31.23      1.01 
  40500     31.23      1.00 
  40550     30.14      0.99 
  40600     32.17      1.02 
  40650     31.93      1.01 
  40700     31.29      1.01 
  40750     31.93      1.01 
  40800     34.82      1.06 
  40850     33.06      1.03 
  40900     30.78      1.00 
  40950     31.82      1.01 
  41000     32.43      1.02 
  41050     31.90      1.01 
  41100     31.46      1.01 
  41150     29.99      0.98 
  41200     32.09      1.02 
  41250     32.69      1.03 
  41300     32.77      1.03 
  41350     31.22      1.00 
  41400     31.65      1.01 
  41450     32.26      1.02 
  41500     34.15      1.05 
  41549     31.58      1.01 
  41600     31.19      1.00 
  41650     30.68      0.99 
  41700     30.27      0.99 
  41750     30.98      1.00 
  41800     30.83      1.00 
  41850     32.41      1.02 
  41899     31.32      1.00 
  41950     30.62      0.99 
  42000     30.84      1.00 
  42050     30.61      0.99 
  42100     30.61      0.99 
  42150     30.22      0.99 
  42200     31.07      1.00 
  42250     29.84      0.98 
  42299     30.23      0.99 
  42350     29.81      0.98 
  42400     30.79      1.00 
  42450     30.28      0.99 
  42500     31.41      1.01 
  42550     29.61      0.98 
  42600     29.78      0.98 
  42650     29.95      0.98 
  42700     26.93      0.93 
  42750     29.39      0.97 
  42799     31.42      1.01 
  42850     30.81      1.00 
  42900     30.38      0.99 
  42950     29.93      0.98 
  43000     29.94      0.98 
  43050     28.81      0.97 
  43100     31.22      1.00 
  43149     28.63      0.96 
  43200     30.13      0.98 
  43250     29.54      0.98 
  43300     30.86      1.00 
  43350     29.33      0.97 
  43400     30.46      0.99 
  43450     30.11      0.99 
  43499     31.10      1.00 
  43549     28.76      0.96 
  43600     30.76      1.00 
  43650     29.00      0.97 
  43700     27.95      0.95 
  43750     29.90      0.98 
  43800     28.07      0.95 
  43850     27.10      0.94 
  43900     28.14      0.95 
  43950     28.84      0.96 
  44000     29.74      0.98 
  44050     29.00      0.97 
  44100     29.59      0.98 
  44150     28.20      0.95 
  44200     29.19      0.97 
  44250     26.91      0.93 
  44300     28.86      0.97 
  44350     27.05      0.93 
  44400     30.33      0.99 
  44450     26.85      0.93 
  44500     26.18      0.92 
  44550     27.74      0.95 
  44600     27.98      0.95 
  44650     29.60      0.98 
  44700     29.40      0.97 
  44750     28.69      0.96 
  44800     28.54      0.96 
  44850     27.87      0.95 
  44900     28.31      0.95 
  44950     28.04      0.95 
  45000     27.94      0.95 
  45050     26.75      0.93 
  45100     28.85      0.96 
  45150     27.55      0.95 
  45200     29.06      0.97 
  45250     28.26      0.96 
  45300     28.17      0.95 
  45350     26.82      0.93 
  45400     28.11      0.95 
  45450     28.91      0.96 
  45500     27.08      0.93 
  45550     28.40      0.96 
  45600     26.48      0.93 
  45650     26.08      0.92 
  45700     28.23      0.95 
  45750     28.02      0.95 
  45800     28.57      0.96 
  45850     26.68      0.93 
  45900     27.34      0.94 
  45950     27.10      0.93 
  46000     28.04      0.95 
  46050     27.75      0.95 
  46100     28.04      0.95 
  46150     27.62      0.95 
  46200     27.92      0.95 
  46250     29.10      0.97 
  46300     27.91      0.95 
  46350     28.22      0.95 
  46400     25.62      0.91 
  46450     27.05      0.93 
  46500     28.32      0.95 
  46549     28.29      0.96 
  46600     26.01      0.92 
  46650     25.40      0.91 
  46700     27.43      0.94 
  46750     27.30      0.94 
  46800     27.05      0.93 
  46850     25.57      0.91 
  46900     28.01      0.95 
  46950     27.79      0.95 
  47000     28.55      0.96 
  47050     27.53      0.94 
  47100     29.14      0.97 
  47150     26.71      0.93 
  47200     26.90      0.93 
  47250     25.44      0.91 
  47300     28.10      0.95 
  47350     27.71      0.94 
  47400     27.02      0.94 
  47450     27.26      0.94 
  47500     26.66      0.93 
  47550     25.47      0.91 
  47600     27.40      0.94 
  47650     27.05      0.94 
  47700     26.69      0.93 
  47750     26.37      0.92 
  47799     24.44      0.89 
  47850     25.98      0.92 
  47900     26.80      0.93 
  47950     26.67      0.93 
  48000     27.15      0.94 
  48050     27.05      0.93 
  48100     26.88      0.93 
  48149     26.12      0.92 
  48200     28.15      0.96 
  48250     28.14      0.95 
