#  Table rgs12o12_b50_04a_0133120701_decay.lc[1]  Rotational modulation not present

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s    

   5700     4.52      0.35 
   5749     4.31      0.31 
   5799     3.96      0.33 
   5849     3.93      0.26 
   5900     3.16      0.29 
   5949     4.00      0.27 
   6000     3.38      0.38 
   6049     4.00      0.27 
   6099     3.59      0.31 
   6149     3.85      0.26 
   6199     4.31      0.34 
   6250     3.86      0.26 
   6300     3.54      0.31 
   6350     4.20      0.27 
   6400     3.40      0.33 
   6450     3.90      0.27 
   6500     3.98      0.33 
   6550     3.88      0.29 
   6599     3.53      0.31 
   6650     3.53      0.25 
   6700     3.59      0.31 
   6750     3.52      0.25 
   6799     3.32      0.30 
   6849     3.97      0.28 
   6900     3.61      0.30 
   6950     3.05      0.24 
   6999     3.77      0.36 
   7049     4.33      0.28 
   7099     3.24      0.35 
   7150     3.42      0.24 
   7199     3.95      0.32 
   7249     2.75      0.25 
   7299     3.22      0.30 
   7349     3.10      0.27 
   7399     3.04      0.29 
   7449     3.40      0.24 
   7500     3.77      0.36 
   7550     3.23      0.27 
   7600     3.42      0.31 
   7650     3.02      0.24 
   7700     3.18      0.29 
   7750     3.41      0.27 
   7800     3.14      0.29 
   7849     3.26      0.24 
   7900     2.76      0.31 
   7950     2.79      0.23 
   8000     3.18      0.29 
   8050     3.58      0.25 
   8099     2.95      0.30 
   8150     3.27      0.28 
   8199     3.05      0.29 
   8249     3.23      0.24 
   8300     2.90      0.28 
   8349     3.11      0.25 
   8400     3.13      0.29 
   8449     3.48      0.25 
   8499     3.53      0.36 
   8550     3.34      0.24 
   8599     3.05      0.28 
   8649     2.89      0.25 
   8699     2.66      0.27 
   8750     3.65      0.27 
   8800     3.08      0.25 
