#  Table mos_b50_04c_0133120201_decay.lc[1]  Rotational modultion is not present

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
            
   3100     15.46      0.62 
   3150     15.06      0.61 
   3200     14.53      0.60 
   3250     14.51      0.60 
   3300     14.53      0.60 
   3350     14.32      0.60 
   3400     13.59      0.58 
   3450     14.45      0.60 
   3500     14.40      0.60 
   3550     13.56      0.58 
   3600     13.51      0.58 
   3650     14.43      0.60 
   3700     13.18      0.57 
   3750     14.61      0.60 
   3800     14.44      0.60 
   3850     13.96      0.59 
   3900     14.45      0.60 
   3950     14.57      0.60 
   4000     14.40      0.60 
   4050     14.50      0.60 
   4100     12.67      0.56 
   4150     13.18      0.57 
   4200     14.35      0.60 
   4250     13.81      0.59 
   4300     13.15      0.57 
   4349     12.92      0.57 
   4400     14.04      0.59 
   4450     13.19      0.57 
   4500     12.80      0.56 
   4550     13.72      0.58 
   4600     12.57      0.56 
   4650     12.71      0.56 
   4700     13.10      0.57 
   4750     13.35      0.58 
   4800     13.77      0.59 
   4850     13.74      0.59 
   4900     12.62      0.56 
   4950     13.32      0.58 
   5000     13.22      0.58 
   5050     13.02      0.57 
   5100     12.87      0.57 
   5150     12.10      0.55 
   5200     13.06      0.57 
   5250     12.02      0.55 
   5300     12.67      0.56 
   5349     13.45      0.58 
   5400     12.42      0.56 
   5450     12.10      0.55 
   5500     12.93      0.57 
   5549     13.46      0.58 
   5599     12.74      0.56 
   5650     13.14      0.57 
   5700     12.88      0.57 
   5749     11.67      0.54 
   5799     13.39      0.58 
   5849     12.87      0.57 
   5900     13.13      0.57 
   5949     14.10      0.59 
   6000     12.98      0.57 
   6049     13.79      0.59 
   6099     12.86      0.57 
   6149     12.80      0.65 
