#  Table rgs12o12_b50_04c_0133120201_decay.lc[1]  Rotational modultion is not present

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
        
  16050     5.72      0.32 
  16100     4.78      0.35 
  16150     5.24      0.33 
  16200     4.69      0.35 
  16250     4.63      0.29 
  16300     5.20      0.37 
  16350     4.45      0.28 
  16400     5.13      0.37 
  16450     4.57      0.29 
  16500     4.94      0.36 
  16550     5.11      0.30 
  16600     4.43      0.34 
  16650     5.08      0.33 
  16700     5.00      0.39 
  16750     4.27      0.27 
  16800     5.14      0.40 
  16850     4.39      0.28 
  16900     4.45      0.35 
  16950     4.28      0.31 
  17000     4.41      0.34 
  17050     4.51      0.28 
  17100     4.23      0.33 
  17150     4.08      0.27 
  17200     4.40      0.34 
  17250     4.72      0.30 
  17300     4.67      0.36 
  17350     4.53      0.28 
  17400     4.08      0.38 
  17450     4.59      0.29 
  17500     4.72      0.39 
  17550     4.47      0.28 
  17600     4.21      0.33 
  17650     3.95      0.27 
  17700     4.19      0.34 
  17750     3.92      0.29 
  17800     4.05      0.33 
  17850     4.12      0.27 
  17900     4.33      0.39 
  17950     4.19      0.31 
  18000     3.67      0.31 
  18050     4.53      0.28 
  18100     4.11      0.33 
  18150     4.16      0.29 
  18200     4.05      0.39 
  18250     3.92      0.26 
  18300     4.17      0.33 
  18350     4.21      0.27 
  18400     4.30      0.37 
  18450     4.08      0.27 
  18500     4.46      0.34 
  18550     4.26      0.30 
  18600     3.87      0.32 
  18650     4.07      0.27 
  18700     4.06      0.33 
  18750     4.29      0.27 
  18800     4.09      0.36 
  18850     3.89      0.28 
  18900     4.68      0.35 
  18950     4.61      0.28 
  19000     3.62      0.31 
  19050     4.31      0.28 
  19100     4.38      0.34 
  19150     3.99      0.27 
  19200     3.56      0.33 
  19250     4.13      0.28 
  19300     4.13      0.39 
  19350     4.21      0.27 
  19400     4.30      0.33 
  19450     4.03      0.29 
  19500     3.63      0.31 
  19550     3.60      0.30 
