#  Table mos_b50_08_0134521401.lc[1]  Wed 10:13:27 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     5.64      0.36 
     50     5.39      0.33 
    100     5.95      0.35 
    150     5.14      0.33 
    200     5.95      0.35 
    250     5.55      0.34 
    300     5.85      0.35 
    350     5.70      0.34 
    400     5.48      0.34 
    450     6.14      0.36 
    500     5.48      0.34 
    550     5.62      0.34 
    600     6.31      0.36 
    650     5.51      0.34 
    699     6.07      0.35 
    750     5.25      0.33 
    800     5.23      0.33 
    849     5.53      0.34 
    900     5.29      0.33 
    949     5.85      0.35 
   1000     6.15      0.36 
   1050     5.51      0.34 
   1100     5.48      0.34 
   1150     5.30      0.33 
   1200     6.22      0.36 
   1250     5.63      0.34 
   1300     5.38      0.34 
   1350     5.66      0.34 
   1400     5.45      0.34 
   1450     5.07      0.33 
   1500     5.46      0.34 
   1550     5.31      0.33 
   1600     5.57      0.34 
   1650     6.05      0.35 
   1700     6.07      0.36 
   1750     5.71      0.35 
   1800     5.65      0.34 
   1850     6.12      0.36 
   1900     6.02      0.36 
   1950     5.52      0.34 
   2000     5.88      0.35 
   2050     6.02      0.35 
   2100     6.35      0.36 
   2150     5.30      0.33 
   2200     6.56      0.37 
   2250     5.81      0.35 
   2300     6.33      0.37 
   2350     5.53      0.34 
   2400     6.22      0.36 
   2450     5.29      0.33 
   2500     5.25      0.33 
   2550     5.63      0.60 
   2850     5.72      0.42 
   2900     6.23      0.36 
   2950     6.03      0.36 
   3000     6.51      0.37 
   3050     6.11      0.36 
   3100     6.16      0.36 
   3150     7.10      0.38 
   3200     6.64      0.37 
   3250     6.93      0.38 
   3300     6.38      0.36 
   3350     6.42      0.37 
   3400     6.07      0.36 
   3450     6.64      0.37 
   3500     7.07      0.39 
   3550     6.83      0.38 
   3600     6.31      0.36 
   3650     6.76      0.38 
   3700     6.52      0.37 
   3750     6.21      0.36 
   3800     6.69      0.37 
   3850     6.98      0.38 
   3900     6.59      0.37 
   3950     6.04      0.36 
   4000     5.47      0.34 
   4050     6.42      0.37 
   4100     7.27      0.39 
   4150     6.11      0.36 
   4200     7.09      0.52 
