#  Table pn_b50_10b_0134521601_f1_decay.lc[1]  Wed 10:13:28 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
 
   8900     49.84      1.27 
   8949     47.52      1.24 
   9000     48.49      1.25 
   9050     48.30      1.25 
   9099     47.12      1.23 
   9150     47.04      1.23 
   9199     47.00      1.23 
   9250     45.78      1.22 
   9300     46.43      1.23 
   9349     47.26      1.23 
   9400     48.55      1.25 
   9449     48.61      1.25 
   9499     49.05      1.26 
   9550     49.10      1.26 
   9599     46.64      1.23 
   9650     47.68      1.24 
   9699     47.53      1.24 
   9749     48.53      1.25 
   9800     49.42      1.26 
   9849     50.05      1.27 
   9899     46.07      1.22 
   9949     46.97      1.23 
  10000     47.72      1.24 
  10050     46.30      1.22 
  10100     51.74      1.29 
  10150     47.72      1.24 
  10200     47.84      1.25 
  10250     45.66      1.22 
  10300     48.88      1.26 
  10350     44.82      1.21 
  10400     48.07      1.25 
  10450     48.57      1.26 
  10500     48.49      1.27 
  10550     49.09      1.26 
  10600     45.65      1.22 
  10650     45.88      1.22 
  10700     46.98      1.24 
  10750     47.65      1.25 
  10800     46.84      1.27 
  10850     48.38      1.27 
  10900     45.00      1.23 
  10950     48.00      1.27 
  11000     49.74      1.30 
  11050     47.31      1.26 
  11100     48.28      1.28 
  11150     47.00      1.25 
  11200     47.73      1.26 
  11250     47.74      1.26 
  11300     50.18      1.28 
  11350     50.11      1.29 
  11400     47.50      1.29 
  11450     49.36      1.30 
  11500     47.09      1.26 
  11550     47.97      1.25 
  11600     46.97      1.25 
  11650     46.86      1.25 
  11700     48.30      1.26 
  11750     45.98      1.26 
  11800     47.32      1.27 
  11850     50.57      1.30 
  11900     47.72      1.26 
  11950     46.64      1.26 
  12000     49.42      1.28 
  12050     46.39      1.25 
  12100     46.89      1.27 
  12150     46.75      1.29 
  12200     47.32      1.27 
  12250     48.68      1.29 
  12300     47.67      1.28 
  12350     47.03      1.26 
  12400     47.41      1.26 
  12450     45.67      1.23 
  12500     46.37      1.24 
  12550     45.38      1.24 
  12600     46.69      1.24 
  12650     47.34      1.25 
  12700     47.92      1.26 
  12750     46.18      1.23 
  12800     48.29      1.26 
  12850     45.05      1.24 
  12900     44.47      1.24 
  12950     46.11      1.25 
  13000     44.94      1.25 
  13050     45.79      1.25 
  13100     44.03      1.21 
  13150     46.36      1.24 
  13200     46.45      1.26 
  13250     46.67      1.26 
  13300     46.84      1.27 
  13350     46.27      1.26 
  13400     46.43      1.25 
  13450     46.46      1.26 
  13500     43.10      1.21 
  13550     47.72      1.26 
  13600     45.58      1.24 
  13650     45.01      1.24 
  13700     43.62      1.22 
  13750     45.38      1.25 
  13800     45.53      1.26 
  13850     45.05      1.24 
  13900     44.00      1.22 
  13950     46.20      1.27 
  14000     43.41      1.23 
  14050     45.96      1.27 
  14100     45.98      1.25 
  14150     44.60      1.24 
  14200     43.78      1.22 
  14250     43.36      1.23 
  14300     44.30      1.25 
  14350     42.53      1.20 
  14400     44.36      1.24 
  14450     44.27      1.26 
  14500     45.31      1.26 
  14550     42.17      1.22 
