#  Table pn_b50_10b_0134521601_f1_rise.lc[1]  Wed 10:13:28 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
 
   7800     35.20      1.07 
   7849     35.23      1.07 
   7900     35.80      1.07 
   7950     35.42      1.07 
   8000     36.83      1.09 
   8050     38.10      1.11 
   8099     38.70      1.12 
   8150     37.39      1.10 
   8199     41.07      1.15 
   8249     40.87      1.15 
   8300     41.96      1.16 
   8349     40.74      1.15 
   8400     42.16      1.17 
   8449     42.89      1.18 
   8499     42.98      1.18 
   8550     43.17      1.18 
   8599     43.89      1.19 
   8649     44.43      1.20 
   8699     47.23      1.24 
   8750     46.54      1.23 
   8800     46.75      1.23 
   8850     48.56      1.25 
   8900     49.84      1.27 

