#  Table mos_b50_14_0134522101_decay.lc[1]  Mon 11:32:37 02-Dec-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
   1850     34.95      0.92 
   1900     32.67      0.90 
   1950     32.24      0.90 
   2000     31.97      0.88 
   2050     33.29      0.91 
   2100     32.80      0.90 
   2150     32.72      0.90 
   2200     32.44      0.91 
   2250     30.60      0.88 
   2300     32.35      0.89 
   2350     31.13      0.89 
   2400     32.63      0.89 
   2450     33.13      0.91 
   2500     28.83      0.84 
   2550     31.28      0.88 
   2600     30.59      0.88 
   2650     30.23      0.86 
   2700     30.61      0.86 
   2750     30.09      0.86 
   2800     30.25      0.86 
   2850     31.75      0.88 
   2900     31.38      0.88 
   2950     30.09      0.87 
   3000     29.77      0.86 
   3050     30.34      0.88 
   3100     29.56      0.86 
   3150     28.88      0.85 
   3200     30.53      0.87 
   3250     28.38      0.83 
   3300     29.30      0.86 
   3350     27.69      0.82 
   3400     29.17      0.85 
   3450     29.94      0.86 
   3500     28.91      0.84 
   3550     29.63      0.86 
   3600     28.36      0.84 
   3650     28.32      0.84 
   3700     27.87      0.84 
   3750     29.53      0.86 
   3800     29.20      0.85 
   3850     29.25      0.84 
   3900     27.65      0.83 
   3950     28.01      0.83 
   4000     27.65      0.83 
   4050     30.04      0.86 
   4100     28.40      0.84 
   4150     28.52      0.84 
   4200     29.87      0.85 
   4250     28.26      0.83 
   4300     27.65      0.82 
   4349     27.52      0.83 
   4400     27.71      0.83 
   4450     26.92      0.81 
   4500     27.88      0.83 
   4550     27.45      0.82 
   4600     28.55      0.84 
   4650     26.55      0.80 
   4700     27.95      0.84 
   4750     26.76      0.82 
   4800     27.94      0.83 
   4850     27.68      0.82 
   4900     26.70      0.81 
   4950     27.69      0.82 
   5000     26.59      0.81 
   5050     26.60      0.81 
   5100     27.87      0.83 
   5150     28.04      0.83 
   5200     27.12      0.82 
   5250     26.59      0.82 
   5300     27.85      0.82 
   5349     26.96      0.81 
   5400     26.22      0.81 
   5450     26.58      0.80 
   5500     26.79      0.82 
   5549     26.05      0.81 
   5599     26.09      0.80 
   5650     25.74      0.80 
   5700     26.91      0.82 
   5749     26.94      0.81 
   5799     25.61      0.80 
   5849     25.10      0.79 
   5900     24.70      0.78 
   5949     26.67      0.82 
   6000     24.07      0.77 
   6049     24.12      0.78 
   6099     25.07      0.78 
   6149     26.29      0.80 
   6199     25.74      0.79 
   6250     25.23      0.79 
   6300     25.31      0.80 
   6350     24.63      0.78 
   6400     25.17      0.79 
   6450     24.38      0.77 
   6500     24.15      0.78 
   6550     23.54      0.76 
   6599     24.81      0.78 
   6650     24.59      0.77 
   6700     24.22      0.77 
   6750     23.43      0.76 
   6799     23.24      0.76 
   6849     22.34      0.74 
   6900     23.24      0.76 
   6950     23.57      0.77 
   6999     23.29      0.76 
   7049     23.00      0.75 
   7099     22.86      0.75 
   7150     21.70      0.73 
   7199     23.94      0.76 
   7249     21.31      0.72 
   7299     21.73      0.73 
   7349     23.52      0.75 
   7399     22.62      0.75 
   7449     22.25      0.74 
   7500     23.02      0.75 
   7550     23.52      0.75 
   7600     23.68      0.76 
   7650     21.97      0.73 
   7700     22.57      0.75 
   7750     21.54      0.73 
   7800     21.76      0.73 
   7849     22.96      0.75 
   7900     22.53      0.74 
   7950     22.63      0.75 
   8000     21.76      0.74 
   8050     22.10      0.74 
   8099     22.23      0.74 
   8150     22.33      0.73 
   8199     21.53      0.72 
   8249     22.56      0.74 
   8300     21.89      0.74 
   8349     21.82      0.73 
   8400     20.29      0.72 
   8449     20.87      0.72 
   8499     21.80      0.73 
   8550     22.42      0.74 
   8599     20.90      0.72 
   8649     21.87      0.73 
   8699     21.25      0.73 
   8750     21.35      0.72 
   8800     21.49      0.72 
   8850     19.99      0.70 
   8900     20.88      0.72 
   8949     20.35      0.70 
   9000     21.38      0.73 
   9050     19.12      0.69 
   9099     20.63      0.71 
   9150     20.16      0.71 
   9199     20.14      0.70 
   9250     19.45      0.69 
   9300     21.73      0.73 
   9349     20.49      0.72 
   9400     20.43      0.71 
   9449     21.62      0.73 
   9499     19.41      0.70 
   9550     19.89      0.69 
   9599     19.98      0.70 
   9650     19.73      0.69 
   9699     20.00      0.71 
   9749     19.92      0.69 
   9800     20.99      0.72 
   9849     20.45      0.70 
   9899     20.33      0.70 
   9949     20.02      0.70 
  10000     19.55      0.70 
  10050     20.55      0.71 
  10100     20.75      0.72 
  10150     19.32      0.68 
  10200     20.01      0.69 
  10250     20.92      0.71 
  10300     20.34      0.72 
  10350     19.35      0.70 
  10400     19.96      0.69 
  10450     19.05      0.67 
  10500     19.33      0.68 
  10550     17.93      0.67 
  10600     17.75      0.65 
  10650     18.93      0.67 
  10700     19.09      0.69 
  10750     18.46      0.67 
  10800     18.98      0.68 
  10850     17.95      0.67 
  10900     17.90      0.66 
  10950     18.22      0.67 
  11000     17.58      0.66 
  11050     17.86      0.67 
  11100     17.23      0.64 
  11150     18.16      0.66 
  11200     17.88      0.66 
  11250     17.61      0.65 
  11300     18.41      0.67 
  11350     18.18      0.67 
  11400     17.96      0.66 
  11450     16.94      0.65 
  11500     17.20      0.65 
  11550     17.18      0.65 
  11600     16.94      0.65 
  11650     15.76      0.61 
  11700     17.54      0.65 
  11750     18.55      0.68 
  11800     18.68      0.68 
  11850     18.35      0.66 
  11900     17.60      0.65 
  11950     17.35      0.66 
  12000     17.62      0.67 
  12050     16.88      0.64 
  12100     17.79      0.67 
  12150     17.86      0.67 
  12200     18.94      0.68 
  12250     17.38      0.65 
  12300     16.64      0.64 
  12350     17.61      0.67 
  12400     18.70      0.67 
  12450     17.03      0.64 
  12500     17.72      0.66 
  12550     16.92      0.65 
  12600     16.44      0.65 
  12650     16.59      0.65 
  12700     18.44      0.67 
  12750     16.65      0.64 
  12800     17.35      0.66 
  12850     16.89      0.64 
  12900     16.32      0.63 
  12950     17.16      0.65 
  13000     17.47      0.65 
  13050     17.89      0.66 
  13100     17.12      0.66 
  13150     16.26      0.63 
  13200     16.79      0.64 
  13250     17.54      0.66 
  13300     17.27      0.64 
  13350     15.61      0.62 
  13400     16.55      0.64 
  13450     14.72      0.62 
  13500     18.08      0.66 
  13550     15.88      0.62 
  13600     16.01      0.63 
  13650     14.94      0.61 
  13700     15.02      0.60 
  13750     15.33      0.62 
  13800     15.95      0.63 
  13850     15.15      0.61 
  13900     15.48      0.62 
  13950     15.46      0.61 
  14000     15.43      0.62 
  14050     15.42      0.62 
  14100     14.28      0.60 
  14150     15.47      0.63 
  14200     14.81      0.59 
  14250     14.55      0.59 
  14300     14.84      0.60 
  14350     15.40      0.61 
  14400     16.22      0.63 
  14450     16.11      0.62 
  14500     14.98      0.61 
  14550     15.53      0.62 
  14600     15.73      0.61 
  14650     17.09      0.66 
  14700     16.85      0.64 
  14750     15.96      0.63 
  14800     16.30      0.63 
  14850     15.01      0.60 
  14900     17.25      0.65 
  14950     14.94      0.60 
  15000     15.14      0.60 
  15050     14.69      0.60 
  15100     15.97      0.61 
  15150     14.68      0.61 
  15200     14.54      0.60 
  15250     14.56      0.59 
  15300     13.94      0.59 
  15350     14.75      0.60 
  15400     13.59      0.59 
  15450     13.04      0.56 
  15500     14.79      0.59 
  15550     13.69      0.59 
  15600     12.97      0.57 
  15650     13.36      0.57 
  15700     13.68      0.58 
  15750     13.88      0.58 
  15800     15.14      0.60 
  15850     13.15      0.58 
  15900     13.47      0.58 
  15950     14.48      0.60 
  16000     14.47      0.60 
  16050     14.76      0.60 
  16100     13.48      0.57 
  16150     13.10      0.56 
  16200     13.64      0.57 
  16250     13.25      0.57 
  16300     13.57      0.57 
  16350     13.29      0.56 
  16400     13.47      0.57 
