  #  Table rgs12o12_b50_16_0134522301_decay1.lc[1]  Wed 15:45:20 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
    450     7.00      0.35 
    500     6.81      0.43 
    550     7.06      0.35 
    600     6.90      0.43 
    650     7.05      0.35 
    699     7.03      0.43 
    750     6.42      0.33 
    800     6.39      0.41 
    849     6.92      0.35 
    900     5.49      0.38 
    949     6.66      0.34 
   1000     5.66      0.39 
   1050     5.49      0.31 
   1100     5.75      0.39 
   1150     6.14      0.33 
   1200     5.35      0.38 
   1250     6.27      0.33 
   1300     5.89      0.39 
   1350     5.81      0.32 
   1400     6.09      0.40 
   1450     5.57      0.31 
   1500     5.83      0.39 
   1550     5.51      0.31 
   1600     5.42      0.38 
   1650     5.50      0.31 
   1700     6.27      0.41 
   1750     5.52      0.31 
   1800     5.20      0.37 
   1850     5.58      0.32 
   1900     5.70      0.39 
   1950     5.80      0.32 
   2000     5.87      0.39 
   2050     5.72      0.32 
   2100     5.87      0.39 
   2150     4.87      0.30 
   2200     5.11      0.37 
   2250     5.63      0.32 
   2300     6.21      0.40 
   2350     6.06      0.33 
   2400     5.39      0.37 
   2450     5.76      0.32 
   2500     5.55      0.41 
   2550     5.55      0.32 
   2600     6.25      0.40 
   2650     5.39      0.31 
   2700     5.45      0.38 
   2750     5.41      0.31 
   2800     4.84      0.36 
   2850     5.28      0.31 
   2900     5.43      0.38 
   2950     5.38      0.31 
   3000     4.98      0.37 
   3050     5.34      0.31 
   3100     5.39      0.37 
   3150     5.09      0.30 
   3200     5.67      0.39 
   3250     4.86      0.29 
   3300     5.00      0.37 
   3350     4.65      0.29 
   3400     4.93      0.36 
   3450     4.96      0.30 
   3500     4.69      0.35 
   3550     4.77      0.29 
   3600     4.72      0.35 
   3650     5.33      0.31 
   3700     4.83      0.36 
   3750     5.75      0.32 
   3800     5.64      0.38 
   3850     4.77      0.29 
   3900     4.84      0.36 
   3950     4.66      0.29 
   4000     3.98      0.33 
   4050     4.71      0.29 
   4100     5.23      0.37 
   4150     5.02      0.30 
   4200     4.42      0.34 
   4250     4.66      0.29 
   4300     5.31      0.37 
   4349     4.80      0.29 
   4400     5.18      0.37 
   4450     4.87      0.29 
   4500     5.26      0.37 
   4550     4.69      0.29 
   4600     4.50      0.35 
   4650     4.57      0.28 
   4700     4.96      0.36 
   4750     5.22      0.30 
   4800     4.91      0.36 
   4850     4.54      0.28 
   4900     4.86      0.36 
   4950     5.24      0.30 
   5000     4.79      0.36 
   5050     4.70      0.29 
   5100     4.71      0.35 
   5150     4.64      0.29 
   5200     5.10      0.36 
   5250     4.34      0.28 
   5300     4.65      0.35 
   5349     4.86      0.29 
   5400     5.16      0.37 
   5450     4.54      0.29 
   5500     4.97      0.37 
   5549     4.41      0.28 
   5599     4.72      0.35 
   5650     4.71      0.29 
   5700     4.39      0.34 
   5749     3.91      0.27 
   5799     4.41      0.35 
   5849     4.71      0.29 
   5900     4.36      0.34 
   5949     5.01      0.29 
   6000     4.44      0.34 
   6049     4.12      0.27 
   6099     5.02      0.37 
   6149     4.21      0.27 
   6199     5.43      0.38 
   6250     4.38      0.28 
   6300     4.66      0.35 
   6350     4.61      0.29 
   6400     4.32      0.34 
   6450     4.62      0.28 
   6500     5.18      0.38 
   6550     4.01      0.27 
   6599     4.35      0.34 
   6650     4.65      0.29 
   6700     4.00      0.32 
   6750     4.53      0.28 
   6799     4.27      0.34 
   6849     4.49      0.28 
   6900     4.63      0.35 
   6950     4.08      0.27 
   6999     4.81      0.36 
   7049     4.51      0.28 
   7099     4.07      0.32 
   7150     4.42      0.28 
   7199     4.60      0.35 
   7249     4.46      0.28 
   7299     4.76      0.36 
   7349     4.09      0.27 
   7399     4.32      0.34 
   7449     4.27      0.27 
   7500     4.67      0.35 
   7550     3.93      0.26 
   7600     4.65      0.35 
   7650     4.89      0.29 
   7700     4.38      0.34 
   7750     4.13      0.27 
   7800     4.03      0.33 
   7849     4.23      0.27 
   7900     4.20      0.33 
   7950     3.93      0.27 
   8000     4.37      0.34 
   8050     3.85      0.26 
   8099     3.57      0.31 
   8150     4.38      0.28 
   8199     3.80      0.32 
   8249     3.61      0.26 
   8300     3.79      0.32 
   8349     4.41      0.28 
   8400     4.30      0.34 
   8449     4.24      0.27 
   8499     4.30      0.34 
   8550     4.11      0.27 
   8599     4.12      0.33 
   8649     4.19      0.28 
   8699     4.39      0.34 
   8750     3.94      0.27 
   8800     3.59      0.31 
   8850     4.37      0.28 
   8900     4.51      0.35 
   8949     4.14      0.27 
   9000     4.31      0.34 
   9050     3.86      0.26 
   9099     4.71      0.35 
   9150     3.66      0.26 
   9199     3.47      0.31 
   9250     4.02      0.27 
   9300     4.08      0.33 
   9349     3.54      0.25 
   9400     3.54      0.31 
   9449     4.08      0.27 
   9499     4.27      0.34 
   9550     4.22      0.27 
   9599     3.65      0.31 
   9650     3.74      0.26 
   9699     4.24      0.34 
   9749     4.28      0.27 
   9800     3.47      0.30 
   9849     3.89      0.26 
   9899     3.54      0.31 
   9949     4.25      0.28 
  10000     4.90      0.36 
  10050     3.59      0.26 
  10100     4.11      0.33 
  10150     4.07      0.27 
  10200     3.63      0.32 
  10250     3.98      0.27 
  10300     3.65      0.32 
  10350     3.77      0.27 
  10400     4.00      0.32 
  10450     4.02      0.27 
  10500     3.94      0.33 
  10550     3.41      0.25 
  10600     3.78      0.32 
  10650     3.44      0.25 
  10700     3.61      0.30 
  10750     4.26      0.28 
  10800     4.71      0.35 
  10850     3.78      0.26 
  10900     4.08      0.33 
  10950     4.11      0.27 
  11000     4.63      0.35 
  11050     3.99      0.27 
  11100     4.24      0.33 
  11150     4.24      0.27 
  11200     4.63      0.35 
  11250     4.19      0.27 
  11300     3.68      0.32 
  11350     3.92      0.26 
  11400     4.04      0.33 
  11450     3.98      0.27 
