  #  Table rgs12o12_b50_16_0134522301_decay3.lc[1]  Wed 15:45:20 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
         
  40250     8.06      0.38 
  40299     8.08      0.46 
  40350     8.48      0.38 
  40400     6.84      0.42 
  40450     7.32      0.37 
  40500     6.84      0.53 
  40550     6.55      0.41 
  40600     7.05      0.50 
  40650     7.04      0.39 
  40700     6.12      0.46 
  40750     5.98      0.36 
  40800     5.55      0.42 
  40850     5.88      0.35 
  40900     6.14      0.43 
  40950     5.72      0.33 
  41000     5.70      0.41 
  41050     5.99      0.33 
  41100     6.11      0.40 
  41150     5.46      0.31 
  41200     5.14      0.37 
  41250     5.23      0.30 
  41300     5.17      0.37 
  41350     4.94      0.29 
  41400     5.31      0.38 
  41450     5.20      0.30 
  41500     5.10      0.37 
  41549     5.38      0.31 
  41600     5.37      0.37 
  41650     5.04      0.29 
  41700     4.83      0.36 
  41750     4.81      0.29 
  41800     4.80      0.36 
  41850     4.97      0.30 
  41899     4.84      0.36 
  41950     4.81      0.29 
  42000     4.55      0.35 
  42050     5.03      0.30 
  42100     5.05      0.37 
  42150     4.86      0.29 
  42200     4.68      0.35 
  42250     4.57      0.28 
  42299     4.45      0.35 
  42350     4.63      0.29 
  42400     4.63      0.35 
  42450     4.58      0.28 
  42500     4.52      0.34 
  42550     4.76      0.29 
  42600     4.98      0.38 
  42650     5.09      0.34 
  42700     4.52      0.41 
  42750     5.38      0.39 
  42799     4.13      0.48 
  42850     5.04      0.42 
  42900     5.73      0.55 
  42950     5.31      0.44 
  43000     4.69      0.54 
  43050     3.98      0.45 
  43100     4.27      0.53 
  43149     4.90      0.40 
  43200     4.44      0.38 
  43250     4.47      0.30 
  43300     4.91      0.37 
  43350     5.23      0.31 
  43400     4.54      0.36 
  43450     4.62      0.29 
  43499     5.23      0.37 
  43549     4.83      0.32 
  43600     4.77      0.41 
  43650     4.74      0.34 
  43700     4.90      0.39 
  43750     4.08      0.30 
  43800     4.36      0.35 
  43850     4.29      0.28 
  43900     4.46      0.35 
  43950     4.71      0.30 
  44000     4.69      0.37 
  44050     4.97      0.30 
  44100     4.63      0.36 
  44150     4.24      0.28 
  44200     4.92      0.37 
  44250     5.48      0.32 
  44300     4.89      0.36 
  44350     4.83      0.30 
  44400     5.02      0.39 
  44450     4.39      0.30 
  44500     5.02      0.38    
