#  Table rgs12o12_b50_17_0134522401_decay.lc[1]  Wed 15:45:23 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
         
   5000     4.65      0.34 
   5050     4.28      0.27 
   5100     4.29      0.34 
   5150     4.03      0.26 
   5200     4.65      0.35 
   5250     3.73      0.26 
   5300     3.92      0.33 
   5349     4.16      0.27 
   5400     4.33      0.34 
   5450     4.02      0.27 
   5500     3.97      0.34 
   5549     4.37      0.32 
   5599     3.96      0.33 
   5650     4.05      0.27 
   5700     4.11      0.33 
   5749     4.32      0.28 
   5799     4.17      0.34 
   5849     4.28      0.28 
   5900     3.93      0.32 
   5949     3.99      0.26 
   6000     3.88      0.32 
   6049     4.03      0.27 
   6099     4.03      0.33 
   6149     4.05      0.27 
   6199     4.17      0.33 
   6250     3.59      0.26 
   6300     3.42      0.31 
   6350     3.72      0.26 
   6400     3.80      0.31 
   6450     3.82      0.27 
   6500     4.11      0.32 
   6550     4.07      0.27 
   6599     4.11      0.33 
   6650     3.86      0.26 
   6700     3.12      0.29 
   6750     3.68      0.26 
   6799     3.63      0.32 
   6849     4.10      0.28 
   6900     3.37      0.31 
   6950     3.41      0.25 
   6999     3.75      0.33 
   7049     3.74      0.26 
   7099     3.52      0.32 
   7150     3.32      0.25 
   7199     3.06      0.29 
   7249     3.12      0.24 
   7299     3.10      0.29 
   7349     3.15      0.25 
   7399     3.68      0.33 
   7449     3.20      0.24 
   7500     3.43      0.31 
   7550     3.19      0.25 
   7600     3.72      0.32 
   7650     4.17      0.28 
   7700     4.01      0.33 
   7750     3.47      0.26 
   7800     3.03      0.31 
   7849     3.07      0.25 
   7900     2.84      0.29 
   7950     3.46      0.29 
   8000     2.85      0.40 
   8050     3.45      0.28 
   8099     3.34      0.33 
   8150     3.23      0.26 
   8199     3.42      0.34 
   8249     2.73      0.30 
   8300     3.37      0.30 
   8349     3.25      0.24 
   8400     3.24      0.30 
   8449     2.87      0.23 
   8499     2.66      0.30 
   8550     3.19      0.30 
   8599     3.26      0.32 
   8649     3.39      0.26 
   8699     3.65      0.34 
   8750     2.93      0.29 
   8800     3.07      0.34 
   8850     3.07      0.30 
   8900     3.18      0.34 
   8949     2.35      0.27 
   9000     2.68      0.30 
   9050     3.14      0.31 
   9099     3.57      0.32 
