#  Table pn_b50_18_0160362701.lc[1]  Wed 10:13:28 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
    550     36.58      1.09 
    600     35.06      1.07 
    650     34.89      1.07 
    699     33.99      1.05 
    750     33.88      1.05 
    800     35.27      1.07 
    849     33.80      1.05 
    900     35.56      1.07 
    949     34.67      1.06 
   1000     33.97      1.05 
   1050     34.33      1.05 
   1100     35.03      1.06 
   1150     34.68      1.06 
   1200     34.57      1.06 
   1250     33.35      1.04 
   1300     36.04      1.08 
   1350     31.53      1.01 
   1400     32.89      1.03 
   1450     33.07      1.04 
   1500     33.70      1.05 
   1550     35.23      1.07 
   1600     33.69      1.04 
   1650     33.60      1.05 
   1700     33.26      1.04 
   1750     32.76      1.04 
   1800     31.78      1.02 
   1850     34.75      1.06 
   1900     32.75      1.03 
   1950     32.77      1.03 
   2000     32.66      1.03 
   2050     33.78      1.05 
   2100     31.22      1.02 
   2150     31.08      1.01 
   2200     32.65      1.03 
   2250     31.38      1.01 
   2300     30.93      1.01 
   2350     31.94      1.02 
   2400     30.87      1.00 
   2450     32.92      1.03 
   2500     29.45      0.98 
   2550     29.72      0.99 
   2600     31.32      1.01 
   2650     29.32      0.98 
   2700     29.92      0.99 
   2750     30.30      0.99 
   2800     31.22      1.01 
   2850     28.43      0.97 
   2900     29.62      0.98 
   2950     30.31      0.99 
   3000     31.39      1.01 
   3050     29.69      0.98 
   3100     30.51      0.99 
   3150     29.25      0.97 
   3200     29.58      0.99 
   3250     30.14      0.99 
   3300     28.91      0.97 
   3350     28.92      0.97 
   3400     28.84      0.97 
   3450     29.74      0.98 
   3500     27.73      0.95 
   3550     29.81      0.98 
   3600     27.55      0.94 
   3650     28.44      0.96 
   3700     27.35      0.94 
   3750     28.40      0.96 
   3800     26.97      0.93 
   3850     26.78      0.93 
   3900     25.34      0.91 
   3950     27.94      0.95 
   4000     27.66      0.95 
   4050     27.20      0.94 
   4100     26.43      0.93 
   4150     27.79      0.95 
   4200     27.08      0.94 
   4250     26.09      0.92 
   4300     27.32      0.94 
   4349     27.73      0.95 
   4400     27.71      0.95 
   4450     28.25      0.96 
   4500     27.65      0.95 
   4550     27.96      0.96 
   4600     26.65      0.94 
   4650     28.44      0.97 
   4700     29.14      0.97 
   4750     27.90      0.96 
   4800     29.94      1.00 
   4850     29.73      0.99 
   4900     28.72      0.97 
   4950     29.80      0.99 
   5000     29.21      0.98 
   5050     28.71      0.97 
   5100     29.77      0.99 
   5150     27.40      0.95 
   5200     27.27      0.94 
   5250     27.51      0.95 
   5300     25.57      0.92 
   5349     26.62      0.94 
   5400     26.53      0.93 
   5450     27.53      0.95 
   5500     26.23      0.93 
   5549     25.41      0.92 
   5599     27.03      0.94 
   5650     25.90      0.92 
   5700     25.81      0.92 
   5749     26.64      0.93 
   5799     26.92      0.94 
   5849     26.69      0.94 
   5900     25.74      0.92 
   5949     25.60      0.91 
   6000     26.59      0.93 
   6049     24.14      0.89 
   6099     24.02      0.89 
   6149     26.05      0.92 
   6199     23.11      0.87 
   6250     24.60      0.90 
   6300     24.78      0.90 
   6350     24.68      0.90 
   6400     24.58      0.90 
   6450     24.59      0.90 
   6500     25.20      0.91 
   6550     25.35      0.91 
   6599     24.07      0.89 
   6650     23.53      0.88 
   6700     24.50      0.89 
   6750     22.69      0.86 
   6799     24.73      0.90 
   6849     24.13      0.89 
   6900     24.66      0.90 
   6950     22.94      0.87 
   6999     23.85      0.88 
   7049     24.89      0.90 
   7099     23.33      0.87 
   7150     23.59      0.88 
   7199     23.67      0.88 
   7249     23.94      0.88
