#  Table rgs12o12_b50_21_0160363001_decay.lc[1]  Wed 15:45:32 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
      0     5.99      0.43 
     50     5.86      0.34 
    100     5.70      0.41 
    150     4.87      0.31 
    200     4.97      0.37 
    250     5.33      0.32 
    300     5.43      0.40 
    350     5.07      0.32 
    400     5.69      0.42 
    450     5.33      0.32 
    500     4.75      0.38 
    550     4.90      0.31 
    600     4.74      0.39 
    650     4.96      0.32 
    699     5.26      0.39 
    750     5.06      0.32 
    800     4.94      0.38 
    849     4.82      0.31 
    900     4.38      0.35 
    949     6.03      0.34 
   1000     5.49      0.42 
   1050     5.81      0.33 
   1100     5.75      0.41 
   1150     4.84      0.31 
   1200     5.35      0.39 
   1250     5.60      0.33 
   1300     5.14      0.38 
   1350     5.10      0.32 
   1400     5.56      0.39 
   1450     5.24      0.34 
   1500     4.13      0.35 
   1550     4.90      0.30 
   1600     5.27      0.41 
   1650     4.96      0.31 
   1700     4.81      0.38 
   1750     4.54      0.29 
   1800     4.87      0.37 
   1850     5.19      0.32 
   1900     5.09      0.38 
   1950     4.84      0.32 
   2000     5.06      0.38 
   2050     5.03      0.31 
   2100     5.02      0.38 
   2150     4.29      0.30 
   2200     3.78      0.35 
   2250     4.22      0.29 
   2300     4.62      0.38 
   2350     4.41      0.29 
   2400     4.37      0.35 
   2450     4.04      0.29 
   2500     5.17      0.38 
   2550     4.00      0.28 
   2600     4.29      0.34 
   2650     4.66      0.30 
   2700     4.48      0.37 
   2750     4.58      0.30 
   2800     5.13      0.41 
   2850     4.90      0.31 
   2900     4.63      0.37 
   2950     4.86      0.31 
   3000     5.21      0.39 
   3050     4.57      0.30 
   3100     3.90      0.47 
   3150     4.78      0.31 
   3200     4.77      0.37 
   3250     4.67      0.30 
   3300     5.87      0.43 
   3350     4.67      0.30 
   3400     4.81      0.38 
   3450     4.65      0.30 
   3500     4.88      0.39 
   3550     5.16      0.32 
   3600     4.89      0.37 
   3650     5.06      0.32 
   3700     4.97      0.36 
   3750     4.63      0.30 
   3800     4.84      0.38 
   3850     4.48      0.29 
   3900     4.47      0.37 
   3950     4.45      0.29 
   4000     5.10      0.41 
   4050     4.56      0.30 
   4100     4.92      0.38 
   4150     4.61      0.30 
   4200     4.47      0.37 
   4250     4.66      0.30 
   4300     4.45      0.34 
   4349     4.45      0.31 
   4400     4.60      0.39 
   4450     4.02      0.28 
   4500     4.62      0.38 
   4550     4.72      0.31 
   4600     4.64      0.37 
   4650     4.64      0.31 
   4700     3.90      0.34 
   4750     4.59      0.30 
   4800     3.49      0.32 
   4850     4.15      0.29 
   4900     4.19      0.36 
   4950     3.88      0.28 
   5000     4.37      0.35 
   5050     4.21      0.29 
   5100     4.32      0.35 
   5150     3.77      0.28 
   5200     3.57      0.34 
   5250     4.48      0.30 
   5300     4.39      0.36 
   5349     3.40      0.26 
   5400     4.47      0.35 
   5450     3.90      0.28 
   5500     4.22      0.35 
   5549     3.90      0.28 
   5599     4.13      0.36 
   5650     3.57      0.27 
   5700     4.34      0.39 
   5749     3.57      0.27 
   5799     4.35      0.35 
   5849     4.15      0.29 
   5900     3.75      0.33 
   5949     3.23      0.26 
   6000     3.08      0.30 
   6049     4.01      0.29 
   6099     3.52      0.31 
   6149     3.77      0.27 
   6199     3.64      0.34 
   6250     3.91      0.27 
   6300     3.92      0.35 
   6350     4.24      0.29 
   6400     4.16      0.37 
   6450     3.68      0.27 
   6500     3.55      0.34 
   6550     3.64      0.27 
   6599     3.66      0.32 
   6650     3.56      0.26 
   6700     3.90      0.33 
   6750     3.95      0.28 
   6799     3.94      0.37 
   6849     3.49      0.25 
   6900     3.41      0.32 
   6950     3.72      0.27 
   6999     3.56      0.34 
   7049     3.36      0.26 
   7099     3.07      0.31 
   7150     3.34      0.26 
   7199     3.42      0.31 
   7249     3.62      0.26 
   7299     3.57      0.32 
   7349     3.99      0.29 
   7399     3.44      0.34 
   7449     3.50      0.26 
   7500     2.75      0.29 
   7550     3.46      0.27 
   7600     4.04      0.35 
   7650     3.45      0.26 
   7700     3.86      0.32 
   7750     3.59      0.26 
   7800     3.77      0.35 
   7849     2.93      0.26 
   7900     3.48      0.33 
   7950     3.48      0.26 
   8000     3.53      0.34 
   8050     3.10      0.25 
   8099     2.92      0.31 
   8150     3.57      0.27 
   8199     3.51      0.32 
   8249     3.53      0.27 
   8300     3.36      0.31 
   8349     3.22      0.27 
   8400     3.19      0.29 
   8449     2.96      0.25 
   8499     3.14      0.30 
   8550     3.58      0.26 
   8599     4.35      0.38 
   8649     3.63      0.26 
   8699     3.35      0.31 
   8750     3.79      0.26 
   8800     3.75      0.32 
   8850     3.29      0.26 
   8900     3.45      0.32 
   8949     3.80      0.28 
   9000     3.36      0.31 
   9050     3.39      0.25 
   9099     3.28      0.32 
   9150     4.73      0.30 
   9199     5.11      0.40 
   9250     5.47      0.33 
   9300     5.58      0.41 
   9349     4.99      0.31 
   9400     5.23      0.40 
   9449     5.36      0.32 
   9499     5.55      0.40 
   9550     4.85      0.31 
   9599     4.72      0.37 
   9650     4.32      0.30 
   9699     4.82      0.39 
   9749     4.99      0.31 
   9800     4.28      0.36 
   9849     5.04      0.32 
   9899     4.66      0.38 
   9949     4.55      0.31 
  10000     4.88      0.38 
  10050     4.83      0.31 
  10100     4.58      0.35 
  10150     4.53      0.30 
  10200     4.71      0.38 
  10250     4.38      0.29 
  10300     3.66      0.36 
  10350     4.36      0.28 
  10400     3.99      0.35 
  10450     4.87      0.31 
  10500     4.38      0.36 
  10550     4.35      0.28 
  10600     3.92      0.33 
  10650     4.10      0.28 
  10700     3.68      0.33 
  10750     3.68      0.28 
  10800     4.16      0.36 
  10850     3.48      0.26 
  10900     3.68      0.33 
  10950     3.27      0.26 
  11000     3.80      0.34 
  11050     3.33      0.26 
  11100     3.49      0.33 
  11150     3.64      0.26 
  11200     3.56      0.32 
  11250     3.61      0.27 
  11300     3.39      0.31 
  11350     3.78      0.28 
  11400     3.30      0.31 
  11450     3.12      0.25 
  11500     3.27      0.32 
  11550     3.52      0.27 
  11600     3.16      0.30 
  11650     3.69      0.27 
  11700     3.47      0.31 
  11750     3.76      0.28 
  11800     3.03      0.30 
  11850     2.81      0.24 
  11900     3.28      0.30 
  11950     3.13      0.26 
  12000     3.71      0.35 
  12050     4.00      0.28 
  12100     3.23      0.32 
  12150     3.03      0.25 
  12200     3.17      0.30 
  12250     3.51      0.27 
  12300     3.76      0.32 
  12350     3.64      0.27 
  12400     3.97      0.33 
  12450     3.13      0.26 
  12500     3.11      0.30 
  12550     2.97      0.25 
  12600     2.66      0.31 
  12650     3.05      0.25 
  12700     3.70      0.34 
  12750     3.15      0.25 
  12800     3.63      0.33 
  12850     3.07      0.25 
  12900     3.23      0.30 
  12950     3.21      0.25 
  13000     3.15      0.30 
  13050     3.37      0.26 
  13100     3.41      0.31 
  13150     2.78      0.23 
  13200     3.28      0.32 
  13250     3.24      0.25 
  13300     3.78      0.35 
  13350     3.35      0.26 
  13400     2.92      0.31 
  13450     3.32      0.26 
  13500     3.85      0.34 
  13550     3.59      0.26 
  13600     3.11      0.31 
  13650     3.13      0.25 
  13700     2.94      0.29 
  13750     3.05      0.25 
  13800     3.31      0.33 
  13850     3.40      0.26 
  13900     3.28      0.33 
  13950     3.19      0.25 
  14000     3.59      0.33 
  14050     2.98      0.24 
  14100     3.37      0.32 
  14150     2.93      0.25 
  14200     3.25      0.31 
  14250     3.19      0.26 
  14300     3.74      0.33 
  14350     2.99      0.24 
  14400     3.10      0.32 
  14450     3.09      0.26 
  14500     2.86      0.29 
  14550     2.96      0.24 
  14600     3.02      0.31 
  14650     3.25      0.26 
  14700     3.43      0.32 
  14750     3.46      0.27 
  14800     3.05      0.31 
  14850     3.30      0.26 
  14900     3.30      0.32 
  14950     3.32      0.26 
  15000     3.03      0.32 
  15050     3.70      0.28 
  15100     3.20      0.32 
  15150     3.04      0.25 
  15200     3.33      0.31 
  15250     3.14      0.26 
  15300     3.01      0.31 
  15350     2.83      0.25 
  15400     3.26      0.30 
  15450     3.36      0.26 
  15500     3.42      0.34 
  15550     3.48      0.26 
  15600     3.26      0.32 
  15650     3.10      0.25 
  15700     2.72      0.29 
  15750     3.33      0.26 
  15800     3.42      0.33 
  15850     3.43      0.26 
  15900     2.87      0.29 
  15950     2.56      0.22 
  16000     2.78      0.30 
  16050     3.09      0.25 
  16100     3.12      0.31 
  16150     3.21      0.25 
  16200     3.04      0.32 
  16250     2.80      0.24 
  16300     3.41      0.32 
  16350     3.05      0.25 
  16400     2.89      0.30 
  16450     3.30      0.26 
  16500     2.69      0.28 
  16550     2.75      0.24 
  16600     3.42      0.33 
  16650     3.28      0.25 
  16700     3.23      0.33 
  16750     3.51      0.26 
  16800     2.55      0.29 
  16850     3.06      0.25 
  16900     3.48      0.33 
  16950     2.93      0.24 
  17000     3.36      0.32 
  17050     3.00      0.25 
  17100     3.33      0.31 
  17150     2.76      0.23 
  17200     3.09      0.30 
  17250     3.08      0.25 
  17300     3.21      0.32 
  17350     3.34      0.25 
  17400     2.97      0.31 
  17450     3.82      0.28 
  17500     3.09      0.30 
  17550     2.94      0.24 
  17600     3.47      0.31 
  17650     2.86      0.25 
  17700     3.35      0.31 
  17750     2.85      0.24 
  17800     3.01      0.31 
  17850     3.46      0.26 
  17900     2.99      0.29 
  17950     3.18      0.25 
  18000     3.68      0.35 
  18050     2.75      0.23 
  18100     2.86      0.29 
  18150     2.71      0.24 
  18200     3.20      0.31 
  18250     3.38      0.27 
  18300     2.80      0.28 
  18350     3.95      0.27 
  18400     2.91      0.29 
  18450     3.26      0.25 
  18500     3.62      0.35 
  18550     3.15      0.26 
  18600     2.61      0.28 
  18650     2.60      0.23 
  18700     2.98      0.31 
  18750     3.46      0.27 
  18800     3.04      0.29 
  18850     3.41      0.26 
  18900     3.30      0.31 
  18950     2.75      0.24 
  19000     2.98      0.33 
  19050     3.27      0.25 
  19100     3.16      0.31 
  19150     2.90      0.24 
  19200     2.76      0.30 
  19250     3.36      0.27 
  19300     2.92      0.30 
  19350     2.79      0.24 
  19400     3.30      0.31 
  19450     3.29      0.26 
  19500     3.89      0.35 
  19550     2.78      0.24 
  19600     3.29      0.33 
  19650     2.80      0.24 
  19700     3.30      0.33 
  19750     3.28      0.31 
  19800     3.20      0.32 
  19850     3.02      0.24 
  19900     3.40      0.31 
  19950     3.17      0.25 
  20000     3.45      0.31 
  20050     3.08      0.26 
