 #  Table rgs12o12_b50_22_0160363201_decay1.lc[1]  Wed 15:45:35 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
  14750     5.21      0.32 
  14800     4.64      0.36 
  14850     5.89      0.34 
  14900     5.87      0.42 
  14950     5.11      0.31 
  15000     4.90      0.40 
  15050     4.74      0.31 
  15100     4.68      0.37 
  15150     4.64      0.37 
  15200     4.75      0.38 
  15250     4.18      0.31 
  15300     4.02      0.35 
  15350     3.82      0.29 
  15400     4.32      0.35 
  15450     3.92      0.28 
  15500     4.61      0.41 
  15550     4.20      0.29 
  15600     3.89      0.35 
  15650     3.90      0.28 
  15700     3.96      0.36 
  15750     4.02      0.29 
  15800     3.35      0.32 
  15850     3.24      0.27 
  15900     3.54      0.32 
  15950     4.06      0.28 
  16000     4.49      0.36 
  16050     4.26      0.30 
  16100     3.70      0.35 
  16150     3.66      0.27 
  16200     3.47      0.34 
  16250     3.44      0.26 
  16300     3.67      0.33 
  16350     4.02      0.29 
  16400     3.63      0.33 
  16450     4.24      0.29 
  16500     3.95      0.33 
  16550     3.50      0.27 
  16600     3.86      0.35 
  16650     3.95      0.28 
  16700     4.11      0.36 
  16750     3.61      0.27 
  16800     3.94      0.35 
  16850     3.61      0.34 
  16950     3.64      0.26 
  17000     3.87      0.33 
  17050     4.45      0.57 
  17100     3.77      0.36 
  17150     4.14      0.29 
  17200     3.33      0.32 
  17250     3.26      0.25 
  17300     3.28      0.32 
  17350     2.94      0.24 
  17400     4.05      0.35 
  17450     4.08      0.30 
  17500     4.29      0.38 
  17550     3.12      0.25 
  17600     3.18      0.30 
  17650     4.03      0.29 
  17700     3.84      0.34 
  17750     3.69      0.27 
  17800     3.51      0.33 
  17850     3.38      0.26 
  17900     3.78      0.35 
  17950     3.69      0.27 
  18000     3.81      0.36 
  18050     3.53      0.26 
  18100     3.55      0.33 
  18150     3.03      0.25 
  18200     2.73      0.29 
  18250     3.24      0.26 
  18300     3.75      0.34 
  18350     3.72      0.28 
