  #  Table rgs12o12_b50_24_0412580201_decay.lc[1]  Wed 15:45:41 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
  44400     7.74      0.46 
  44450     6.54      0.35 
  44500     6.59      0.42 
  44550     6.71      0.35 
  44600     7.00      0.44 
  44650     6.78      0.35 
  44700     7.18      0.44 
  44750     7.19      0.36 
  44800     6.56      0.43 
  44850     6.39      0.35 
  44900     6.50      0.43 
  44950     6.38      0.34 
  45000     5.80      0.40 
  45050     6.59      0.34 
  45100     6.74      0.43 
  45150     6.51      0.35 
  45200     6.69      0.43 
  45250     7.75      0.37 
  45300     6.22      0.42 
  45350     6.91      0.36 
  45400     5.47      0.39 
  45450     6.44      0.34 
  45500     6.08      0.41 
  45550     6.31      0.34 
  45600     6.39      0.42 
  45650     5.53      0.32 
  45700     5.20      0.39 
  45750     5.70      0.33 
  45800     5.23      0.39 
  45850     5.26      0.32 
  45900     5.95      0.41 
  45950     5.96      0.33 
  46000     5.05      0.39 
  46050     5.10      0.31 
  46100     5.29      0.40 
  46150     5.09      0.31 
  46200     4.56      0.37 
  46250     5.57      0.33 
  46300     4.70      0.38 
  46350     5.65      0.33 
  46400     5.57      0.40 
  46450     5.14      0.32 
  46500     5.11      0.38 
  46549     5.26      0.31 
  46600     5.56      0.40 
  46650     5.29      0.31 
  46700     4.68      0.37 
  46750     5.45      0.31 
  46800     5.03      0.38 
  46850     5.01      0.30 
  46900     4.45      0.36 
  46950     4.90      0.30 
  47000     4.61      0.38 
  47050     4.47      0.29 
  47100     4.91      0.37 
  47150     4.06      0.28 
  47200     4.50      0.37 
  47250     4.09      0.28 
  47300     4.45      0.36 
  47350     4.62      0.30 
  47400     5.09      0.38 
  47450     4.72      0.30 
  47500     4.17      0.36 
  47550     4.72      0.30 
  47600     4.90      0.38 
  47650     4.69      0.30 
  47700     4.57      0.36 
  47750     5.33      0.31 
  47799     4.78      0.37 
  47850     4.51      0.29 
  47900     4.90      0.38 
  47950     4.72      0.30 
  48000     4.38      0.36 
  48050     4.57      0.29 
  48100     4.38      0.36 
  48149     4.93      0.30 
  48200     4.84      0.37 
  48250     4.44      0.30 
  48300     4.35      0.36 
  48350     4.51      0.30 
  48400     4.27      0.36 
  48450     4.51      0.30 
  48500     4.40      0.36 
  48549     4.01      0.28 
  48600     3.85      0.34 
  48650     3.84      0.28 
  48700     4.49      0.37 
  48750     5.03      0.31 
  48800     4.58      0.30 
