#  Table rgs12o12_b50_25_0412580301.lc[1]  Wed 15:45:44 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 

  17500     7.65      0.46 
  17550     7.53      0.36 
  17600     7.49      0.45 
  17650     7.55      0.37 
  17700     7.15      0.43 
  17750     7.63      0.37 
  17800     8.08      0.46 
  17850     6.82      0.35 
  17900     7.17      0.44 
  17950     7.26      0.36 
  18000     7.11      0.43 
  18050     7.18      0.35 
  18100     6.43      0.42 
  18150     6.10      0.33 
  18200     6.32      0.41 
  18250     6.56      0.34 
  18300     6.37      0.41 
  18350     6.27      0.33 
  18400     5.85      0.40 
  18450     6.06      0.33 
  18500     6.26      0.41 
  18550     5.46      0.31 
  18600     5.96      0.40 
  18650     5.74      0.32 
  18700     5.79      0.40 
  18750     5.50      0.31 
  18800     5.87      0.40 
  18850     5.39      0.31 
  18900     5.62      0.38 
  18950     5.52      0.31 
  19000     5.40      0.40 
  19050     5.57      0.31 
  19100     5.85      0.39 
  19150     5.15      0.30 
  19200     4.64      0.36 
  19250     5.56      0.32 
  19300     5.70      0.39 
  19350     4.86      0.29 
  19400     5.45      0.38 
  19450     5.32      0.31 
  19500     6.03      0.40 
  19550     5.43      0.31 
  19600     5.29      0.37 
  19650     5.71      0.32 
  19700     6.37      0.41 
  19750     5.82      0.32 
  19800     5.85      0.39 
  19850     5.94      0.32 
  19900     5.90      0.39 
  19950     5.25      0.31 
  20000     5.45      0.38 
  20050     4.79      0.30 
  20100     5.18      0.37 
  20150     5.68      0.31 
  20200     4.83      0.36 
  20250     5.77      0.32 
  20300     5.51      0.38 
  20350     5.01      0.30 
  20400     5.86      0.39 
  20450     5.35      0.31 
  20500     5.46      0.38 
  20550     5.41      0.31 
  20600     5.49      0.38 
  20650     5.63      0.31 
  20700     5.52      0.38 
  20750     5.14      0.30 
  20800     5.55      0.38 
  20850     5.33      0.31 
  20900     5.06      0.55 
  20950     5.49      0.33 
  21000     4.83      0.36 
  21050     5.46      0.31 
  21100     5.50      0.39 
  21150     5.13      0.30 
  21200     5.99      0.40 
  21250     5.55      0.31 
  21300     5.21      0.37 
  21350     6.03      0.32 
  21400     4.95      0.37 
  21450     5.38      0.31 
  21500     4.58      0.36 
  21550     5.38      0.31 
  21600     5.59      0.38 
  21650     5.53      0.31 
  21700     5.44      0.38 
  21750     5.25      0.31 
  21800     5.15      0.37 
  21850     5.91      0.32 
  21900     4.83      0.36 
  21950     5.89      0.32 
  22000     5.60      0.39 
  22050     5.67      0.32 
  22100     6.48      0.41 
  22150     5.98      0.32 
  22200     5.65      0.39 
  22250     4.75      0.29 
  22300     5.88      0.40 
  22350     5.86      0.32 
  22400     5.62      0.39 
  22450     5.77      0.32 
  22500     5.20      0.37 
  22550     5.37      0.31 
  22600     5.78      0.39 
  22650     5.57      0.31 
  22700     4.89      0.36 
  22750     5.93      0.32 
  22800     5.68      0.40 
  22850     5.46      0.31 
  22900     5.60      0.38 
  22950     5.73      0.32 
  23000     6.03      0.40 
  23050     5.19      0.30 
  23100     5.20      0.37 
  23150     4.91      0.30 
  23200     5.23      0.37 
  23250     5.37      0.31 
  23300     5.09      0.37 
  23350     5.15      0.30 
  23400     4.89      0.36 
  23450     5.43      0.31 
  23500     5.59      0.39 
  23550     4.79      0.29 
  23600     5.29      0.38 
  23650     4.86      0.30 
  23700     4.57      0.36 
  23750     4.89      0.30 
  23800     4.72      0.35 
  23850     4.75      0.29 
  23900     5.31      0.38 
  23950     5.43      0.31 
  24000     5.16      0.37 
  24050     4.86      0.30 
  24100     5.06      0.36 
  24150     4.76      0.29 
  24200     4.77      0.36 
  24250     4.43      0.28 
  24300     5.13      0.37 
  24350     4.58      0.29 
  24400     4.89      0.36 
  24450     4.56      0.28 
  24500     4.17      0.34 
  24550     5.30      0.30 
  24600     5.04      0.36 
  24650     4.70      0.29 
  24700     4.78      0.36 
  24750     4.50      0.29 
  24800     5.10      0.37 
  24850     5.47      0.31 
  24900     5.16      0.37 
  24950     4.61      0.29 
  25000     5.08      0.36 
  25050     5.17      0.30 
  25100     5.02      0.37 
  25150     4.84      0.29 
  25200     5.38      0.38 
  25250     5.33      0.31 
  25300     5.53      0.38 
  25350     5.51      0.31 
  25400     5.03      0.37 
  25450     5.67      0.33 
  25500     5.31      0.38 
  25550     6.04      0.33 
  25600     4.52      0.35 
  25650     5.18      0.31 
  25700     5.37      0.38 
  25750     5.02      0.30 
  25800     5.18      0.37 
  25850     5.45      0.31 
  25900     5.23      0.37 
  25950     5.41      0.31 
  26000     5.83      0.42 
  26050     6.28      0.33 
  26100     5.93      0.40 
  26150     6.12      0.33 
  26200     6.09      0.40 
  26250     5.49      0.32 
  26300     5.92      0.40 
  26350     5.98      0.32 
  26400     6.44      0.41 
  26450     5.54      0.31 
  26500     5.75      0.39 
  26550     5.60      0.32 
  26600     4.62      0.35 
  26650     5.10      0.31 
  26700     5.46      0.38 
  26750     5.27      0.31 
  26800     5.99      0.39 
  26850     4.67      0.29 
  26900     5.02      0.37 
  26950     5.22      0.31 
  27000     4.75      0.35 
  27050     5.58      0.31 
  27100     5.99      0.39 
  27150     4.83      0.29 
  27200     5.57      0.39 
  27250     4.89      0.29 
  27300     4.78      0.36 
  27350     4.81      0.29 
