   #  Table rgs12o12_b50_26_0412580401_decay2.lc[1]  Wed 15:46:41 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
  23750     3.22      0.24 
  23800     3.25      0.30 
  23850     3.16      0.24 
  23900     3.38      0.30 
  23950     3.51      0.25 
  24000     2.92      0.28 
  24050     3.11      0.23 
  24100     3.12      0.29 
  24150     3.27      0.24 
  24200     2.93      0.28 
  24250     3.37      0.24 
  24300     2.76      0.28 
  24350     2.61      0.22 
  24400     3.01      0.29 
  24450     3.15      0.24 
  24500     2.85      0.28 
  24550     3.27      0.24 
  24600     2.65      0.27 
  24650     3.25      0.24 
  24700     3.00      0.29 
  24750     2.82      0.23 
  24800     3.30      0.30 
  24850     3.48      0.25 
  24900     2.91      0.29 
  24950     3.00      0.24 
  25000     2.87      0.29 
  25050     3.54      0.25 
  25100     2.51      0.27 
  25150     3.38      0.25 
  25200     2.85      0.28 
  25250     3.20      0.24 
  25300     3.04      0.28 
  25350     2.66      0.22 
  25400     3.20      0.29 
  25450     2.91      0.23 
  25500     3.32      0.30 
  25550     3.06      0.24 
  25600     3.11      0.29 
  25650     3.04      0.24 
  25700     3.24      0.30 
  25750     3.35      0.25 
  25800     3.49      0.30 
  25850     2.73      0.22 
  25900     3.09      0.29 
  25950     2.44      0.21 
  26000     3.09      0.28 
  26050     2.81      0.23 
  26100     2.92      0.28 
  26150     2.81      0.22 
  26200     2.47      0.31 
  26250     1.95      0.35 
  26300     3.07      0.29 
  26350     3.19      0.24 
  26400     2.73      0.27 
  26450     2.96      0.23 
  26500     2.45      0.27 
  26550     3.50      0.25 
  26600     2.54      0.26 
  26650     2.74      0.23 
  26700     2.64      0.27 
  26750     2.86      0.23 
  26800     3.18      0.30 
  26850     2.81      0.23 
  26900     3.01      0.29 
  26950     2.79      0.22 
  27000     3.13      0.29 
  27050     2.97      0.23 
  27100     2.89      0.28 
  27150     2.96      0.23 
  27200     2.71      0.30 
  27250     2.77      0.22 
  27300     2.48      0.26 
  27350     2.48      0.22 
  27400     2.40      0.26 
  27450     2.53      0.22 
