,timestamps,ls
0,0.0,193569.11
1,0.33337402,195916.78
2,0.66662598,199286.92
3,1.0,199660.03
4,1.3166504,197348.16
5,1.6500244,192683.94
6,1.9832764,185226.14
7,2.3166504,185027.27
8,2.6500244,190857.08
9,2.9832764,197942.95
10,3.3166504,206965.0
11,3.6333008,209503.66
12,3.9666748,210104.69
13,4.2999268,215492.97
14,4.6333008,222743.45
15,4.9666748,223957.61
16,5.2999268,215054.31
17,5.6166992,200418.47
18,5.9499512,193904.23
19,6.2833252,194128.81
20,6.6166992,201716.95
21,6.9499512,214329.94
22,7.2833252,220539.66
23,7.6166992,224375.55
24,7.9499512,225307.06
25,8.2666016,224731.16
26,8.5999756,216527.42
27,8.9333496,208275.22
28,9.2666016,213762.98
29,9.5999756,213940.09
30,9.916626,217858.16
31,10.333374,222561.77
32,10.666626,218188.08
33,11.150024,200757.36
34,11.466675,193189.28
35,11.799927,195143.36
36,12.133301,200113.48
37,12.466675,209450.86
38,12.783325,218983.56
39,13.116699,218451.59
40,13.449951,219141.31
41,13.783325,212155.09
42,14.116699,201312.78
43,14.449951,218311.88
44,14.783325,236606.3
45,15.116699,231199.75
46,15.43335,223613.17
47,15.766602,218757.16
48,16.099976,220501.52
49,16.43335,215035.98
50,16.766602,203616.39
51,17.099976,201923.77
52,17.43335,203198.94
53,17.75,203533.67
54,18.083374,208727.2
55,18.416626,206654.56
56,18.75,201535.52
57,19.083374,197735.83
58,19.416626,195369.42
59,19.75,199888.59
60,20.083374,211003.42
61,20.416626,211517.45
62,20.733276,209807.16
63,21.06665,204497.06
64,21.400024,200845.05
65,21.733276,202563.34
66,22.083374,206635.41
67,22.416626,208264.16
68,22.75,209258.58
69,23.083374,211007.44
70,23.400024,205890.97
71,23.733276,205999.06
72,24.06665,210858.38
73,24.400024,208986.89
74,24.733276,208140.47
75,25.049927,207248.02
76,25.383301,211431.94
77,25.716675,215550.08
78,26.049927,216609.58
79,26.383301,211121.02
80,26.716675,207473.39
81,27.049927,206575.44
82,27.383301,203309.97
83,27.716675,202087.7
84,28.049927,204958.22
85,28.383301,209092.2
86,28.716675,213915.2
87,29.049927,213547.23
88,29.383301,216325.8
89,29.716675,211707.53
90,30.049927,203348.5
91,30.383301,203976.28
