,timestamps,ls
0,0.0,62.797028
1,0.31665039,63.473293
2,0.64990234,63.85136
3,0.98327637,76.825096
4,1.3166504,85.710617
5,1.6333008,83.451309
6,1.9666748,81.590233
7,2.2999268,81.958694
8,2.6333008,84.553741
9,2.9666748,80.848473
10,3.2999268,82.901764
11,3.6333008,86.040092
12,3.9666748,83.681847
13,4.2833252,76.79335
14,4.6165771,73.158043
15,4.9499512,69.735809
16,5.2833252,68.108803
17,5.6165771,69.336502
18,5.9333496,77.248611
19,6.2666016,87.691185
20,6.5999756,84.492531
21,6.9333496,75.526741
22,7.2666016,68.999954
23,7.5999756,59.510113
24,7.9333496,59.226555
25,8.2666016,63.468624
26,8.583252,63.848915
27,8.916626,55.657669
28,9.25,43.487785
29,9.583252,38.819565
30,9.916626,39.48325
31,10.266602,37.208096
32,10.649902,38.541927
33,11.083252,37.493271
34,11.466675,20.455824
35,11.783325,7.0405779
36,12.116577,1.5233669
37,12.449951,-0.53416365
38,12.783325,-1.1015666
39,13.116577,1.2655956
40,13.43335,5.2419734
41,13.766602,5.2814384
42,14.099976,0.69008213
43,14.43335,-13.570404
44,14.766602,-14.414993
45,15.099976,-11.773614
46,15.43335,-21.682049
47,15.75,-35.342167
48,16.083252,-28.039457
49,16.43335,-22.748724
50,16.75,-19.427053
51,17.083252,-20.974285
52,17.416626,-16.412542
53,17.75,4.7654805
54,18.06665,10.204345
55,18.399902,0.12810881
56,18.733276,0.13117029
57,19.06665,5.6181254
58,19.399902,3.4382405
59,19.733276,-3.270556
60,20.06665,-10.69001
61,20.399902,-12.209201
62,20.733276,-5.416069
63,21.049927,10.977861
64,21.383301,18.402727
65,21.716675,12.54204
66,22.06665,4.6629672
67,22.399902,-2.6977911
68,22.733276,-1.7270758
69,23.06665,3.7871435
70,23.399902,8.4298372
71,23.716675,15.499248
72,24.049927,23.051968
73,24.383301,23.598948
74,24.716675,28.338959
75,25.049927,33.749332
76,25.366577,35.313698
77,25.699951,42.176327
78,26.033325,46.152409
79,26.366577,37.686375
80,26.699951,37.91885
81,27.033325,37.204941
82,27.366577,31.73476
83,27.699951,21.387049
84,28.033325,20.112688
85,28.366577,25.277063
86,28.699951,26.526518
87,29.033325,22.876923
88,29.366577,21.312017
89,29.699951,26.758831
90,30.033325,32.694736
91,30.366577,31.355961
