,timestamps,ls
0,0.0,-1.0048927
1,34.0,-1.3664176
2,68.0,-0.93389636
3,102.0,-1.2453566
4,136.0,-1.0319774
5,170.0,-0.33265597
6,204.0,0.22004157
7,238.0,-0.55814517
8,272.0,0.09210173
9,306.0,-0.97351986
10,340.0,-1.3558875
11,374.0,-1.0387536
12,408.0,-1.276939
13,442.0,-1.4120665
14,476.0,-0.945297
15,510.0,-0.92081046
16,544.0,-0.73363131
17,578.0,-0.64680916
18,612.0,-0.75324678
19,646.0,-0.79907405
20,680.0,-0.68042892
21,714.0,-0.82036066
22,748.0,-0.56683069
23,782.0,-0.16235217
24,816.0,0.0032854334
25,850.0,-0.25215721
26,884.0,-0.49019375
27,918.0,-0.97286224
28,952.0,-0.92855376
29,986.0,0.23510194
30,1020.0,-0.70619088
31,1054.0,-0.01545369
32,1088.0,-0.50433654
33,1122.0,-0.2846148
34,1156.0,-0.48295075
35,1190.0,-0.41107377
36,1224.0,-1.061829
37,1258.0,-0.92091089
38,1292.0,-1.0300757
39,1326.0,-0.55359334
40,1360.0,-0.60849333
41,1394.0,0.49454388
42,1428.0,0.42087105
43,1462.0,1.0777351
44,1496.0,-0.14619407
45,1530.0,0.081712432
46,1564.0,0.44950584
47,1598.0,0.7776342
48,1632.0,0.62805307
49,1666.0,-0.57912731
50,1700.0,-0.84510618
51,1734.0,-0.182221
52,1768.0,1.2145365
53,1802.0,2.5262055
54,1836.0,0.61352021
55,1870.0,-0.31863737
56,1904.0,-0.84390032
57,1938.0,-0.7389614
58,1972.0,-0.16501722
59,2006.0,0.97912717
60,2040.0,1.4288423
61,2074.0,0.55762213
62,2108.0,0.09200763
63,2142.0,0.21891175
64,2176.0,-0.14298509
65,2210.0,-0.41793984
66,2244.0,0.090169571
67,2278.0,0.92719686
68,2312.0,1.5662675
69,2346.0,1.0360895
70,2380.0,-0.4626357
71,2414.0,-0.40105167
72,2448.0,0.37911257
73,2482.0,0.42277059
74,2516.0,0.5502727
75,2550.0,-0.06548173
76,2584.0,-0.090508088
77,2618.0,-0.18118058
78,2652.0,0.69465536
79,2686.0,1.0622205
80,2720.0,0.60551339
81,2754.0,-0.21880525
82,2788.0,-0.45684716
83,2822.0,0.6139034
84,2856.0,-0.34452131
85,2890.0,-0.56054235
86,2924.0,-0.075152181
87,2958.0,0.13494073
88,2992.0,0.32402003
89,3026.0,-0.28737512
90,3060.0,-0.58635736
91,3094.0,-0.47948086
92,3128.0,-0.66196883
93,3162.0,-0.11765111
94,3196.0,0.0022881429
95,3230.0,0.83259499
96,3264.0,0.72644901
97,3298.0,-0.99130219
98,3332.0,-1.465472
99,3366.0,-0.62874085
100,3400.0,-0.54915142
101,3434.0,-0.82560575
102,3468.0,-0.046443753
103,3502.0,0.57629865
104,3536.0,1.0963862
105,3570.0,0.44881392
106,3604.0,-0.41944036
107,3638.0,-0.98132575
108,3672.0,-1.1308833
109,3706.0,-0.62338179
110,3740.0,0.25171778
111,3774.0,1.005919
112,3808.0,0.45072401
113,3842.0,-0.24634166
114,3876.0,-0.26877511
115,3910.0,0.48354894
116,3944.0,0.91078484
117,3978.0,0.38935339
118,4012.0,-0.71002376
119,4046.0,-0.55156618
120,4080.0,-0.34845445
121,4114.0,0.092841759
122,4148.0,0.017318394
123,4182.0,-0.0074845687
124,4216.0,0.16935088
125,4250.0,-0.17818922
126,4284.0,0.321464
127,4318.0,-0.071531728
128,4352.0,-0.6368261
129,4386.0,-0.64415365
130,4420.0,-0.30736974
131,4454.0,0.051412452
132,4488.0,0.4609462
133,4522.0,0.91117483
134,4556.0,0.45826572
135,4590.0,-0.36626798
136,4624.0,-0.46583319
137,4658.0,-0.47437683
138,4692.0,-0.08850693
139,4726.0,-0.064933948
140,4760.0,-0.12608929
141,4794.0,0.12947625
142,4828.0,0.33364373
143,4862.0,-0.16606726
144,4896.0,-0.24360156
